50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,635c94db-eb25-485e-9d39-400ed71c97cf,1,,,,3893788,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Australia Women's,1205,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 42787, 'name': 'Mackenzie Arnold'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 5095, 'name': 'Ellie Madison Carpenter'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 401635, 'name': 'Clare Hunt'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 5078, 'name': 'Alanna Stephanie Kennedy'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 5000, 'name': 'Stephanie-Elise Catley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 4979, 'name': 'Katrina Gorry'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 131586, 'name': 'Kyra Lillee Cooney-Cross'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 6818, 'name': 'Hayley Emma Raso'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 35693, 'name': 'Mary Boio Fowler'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 401634, 'name': 'Cortnee Brooke Vine'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 5}, {'player': {'id': 11338, 'name': 'Caitlin Jade Foord'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Australia Women's,1205,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1bea5858-0e87-4153-bf83-a61521ea26fa,2,,,,3893788,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Australia Women's,1205,,0,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 31555, 'name': 'Courtney Brosnan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19777, 'name': 'Niamh Fahey'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 15621, 'name': 'Louise Quinn'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 23413, 'name': 'Megan Connolly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 16382, 'name': 'Heather Payne'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 14}, {'player': {'id': 15620, 'name': 'Katie McCabe'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 5084, 'name': ""Denise O'Sullivan""}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 35406, 'name': 'Ruesha Littlejohn'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 389494, 'name': 'Sinead Farrelly'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 42207, 'name': 'Marissa Maeve Sheva'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 20}, {'player': {'id': 142768, 'name': 'Kyra Carusa'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 18}]}",Republic of Ireland Women's,16768,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,78acb9c4-d0be-4182-aded-5b3fb11b802c,3,,,,3893788,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Australia Women's,1205,['89a7c873-43ae-4073-a947-6a5020428a45'],0,,,,,,,,,,,,,,,,Australia Women's,1205,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,89a7c873-43ae-4073-a947-6a5020428a45,4,,,,3893788,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Australia Women's,1205,['78acb9c4-d0be-4182-aded-5b3fb11b802c'],0,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2c8b04a6-34cb-410d-badf-2addbd02257d,1742,,,,3893788,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,87,Republic of Ireland Women's,16768,['92fd0a83-7eb1-4be8-abe6-a7064fd076e4'],0,,,,,,,,,,,,,,,,Australia Women's,1205,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,92fd0a83-7eb1-4be8-abe6-a7064fd076e4,1743,,,,3893788,45,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,87,Republic of Ireland Women's,16768,['2c8b04a6-34cb-410d-badf-2addbd02257d'],0,,,,,,,,,,,,,,,,Republic of Ireland Women's,16768,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.813704,,,,,,,,,,,,,,3123d197-4d63-4904-952a-52bcae588199,5,,,"[60.0, 40.0]",3893788,0,,,,,-3.115283,,Right Foot,,,,"[56.2, 39.9]",Ground Pass,,3.8013155,,Katrina Gorry,4979.0,,,,,Kick Off,1,From Kick Off,Kyra Lillee Cooney-Cross,131586.0,Left Defensive Midfield,2,Australia Women's,1205,['0c1039fd-32f9-4c03-8f52-068cfbe4fdc9'],0,,,,,,,,,,,,,,,,Australia Women's,1205,00:00:00.746,Pass,
,,,,,,,,,,,,,,,,,,2.751006,,,,,,,,,,,,,,a20ebe09-afaf-467c-a20b-12475649e069,9,,,"[62.9, 39.3]",3893788,0,,,,,-1.1050005,,Right Foot,,,,"[81.6, 2.1]",High Pass,,41.63568,,Caitlin Jade Foord,11338.0,,,,,,1,From Kick Off,Katrina Gorry,4979.0,Right Defensive Midfield,2,Australia Women's,1205,"['361a53cb-a955-423c-b977-2b9ff7f07593', 'd5baa866-7a1a-4c29-823e-90c5684d4ea7']",2,,,,,,,,,,,,,,,,Australia Women's,1205,00:00:02.620,Pass,True
,,,,,,,,,,,,,,,,,,0.751486,,,,,,,,,,,,,,bf664f54-da1e-4f9c-99d3-2174a0bddba3,14,,,"[99.5, 0.1]",3893788,0,,,,,0.7246036,,,,,,"[105.6, 5.5]",Low Pass,,8.146778,,Mary Boio Fowler,35693.0,,,,,Throw-in,1,From Throw In,Stephanie-Elise Catley,5000.0,Left Back,3,Australia Women's,1205,['05e3c292-767d-4953-80a9-22cc1e9cdf07'],15,,,,,,,,,,,,,,,,Australia Women's,1205,00:00:15.966,Pass,
,,,,,,,,,,,,,,,,,,0.548354,,,,,,,,,,,,,,23c10434-c79f-4b19-b9bb-e3a673a71704,18,,,"[101.5, 4.5]",3893788,0,,,,,-1.1071488,,Left Foot,,,,"[103.7, 0.1]",Ground Pass,,4.9193497,,Stephanie-Elise Catley,5000.0,,,,,,1,From Throw In,Mary Boio Fowler,35693.0,Center Attacking Midfield,3,Australia Women's,1205,"['0d86383c-fd2d-45c4-a521-02ff9f8fca90', '959f83bd-58bc-4de3-86ff-e08ff7124957']",17,,,,,,,,,,,,,,,,Australia Women's,1205,00:00:17.310,Pass,True
