50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e8b0a75a-ddb3-471c-b131-c9357f8a4fbc,1,,,,3893800,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 32152, 'name': 'Francesca Durante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 46224, 'name': 'Lucia Di Guglielmo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 10370, 'name': 'Cecilia Salvai'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 25770, 'name': 'Lisa Boattin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 32162, 'name': 'Arianna Caruso'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 349028, 'name': 'Giulia Dragoni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 135571, 'name': 'Chiara Beccari'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 25541, 'name': 'Valentina Giacinti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Italy Women's,855,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,15b732d3-3750-4978-a02c-1c703a4aaf99,2,,,,3893800,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25611, 'name': 'Vanina Noemí Correa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 370851, 'name': 'Sophie Wais Braun'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 25617, 'name': 'Miriam Anahí Mayorga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 25634, 'name': 'Aldana Cometti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 25633, 'name': 'Eliana Noemí Stábile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 402461, 'name': 'Daiana Micaela Falfán'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 25615, 'name': 'Flavia Lorena Benítez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 402467, 'name': 'Romina Stefania Núñez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 25640, 'name': 'María Florencia Bonsegundo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 25602, 'name': 'Mariana Valeria Larroquette'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Argentina Women's,1204,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,77055ae5-8ed3-42a1-898c-daa732631913,3,,,,3893800,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,['a6289b0f-7644-4453-9714-bc331a4fc95c'],0,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a6289b0f-7644-4453-9714-bc331a4fc95c,4,,,,3893800,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Italy Women's,855,['77055ae5-8ed3-42a1-898c-daa732631913'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6dca4da5-99f3-4755-8a97-2a0412c33d5f,1840,,,,3893800,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Italy Women's,855,['d177d57a-7e64-4efa-a7d0-5850d3ac1c29'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d177d57a-7e64-4efa-a7d0-5850d3ac1c29,1841,,,,3893800,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,96,Italy Women's,855,['6dca4da5-99f3-4755-8a97-2a0412c33d5f'],0,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.152235,,,,,,,,,,,,,,6816916f-98da-4675-b291-398c24bb550b,5,,,"[61.0, 40.1]",3893800,0,,,,,-2.6912775,,Right Foot,,,,"[45.9, 32.8]",,Ground Pass,,16.772001,,,,Flavia Lorena Benítez,25615.0,,,,,Kick Off,1,From Kick Off,Mariana Valeria Larroquette,25602.0,Center Forward,2,Argentina Women's,1204,['e828d416-04e8-415c-aa09-01ceab193e9a'],0,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:00.538,Pass,
,,,,,,,,,,,,,,,,2.179486,,,,,,,,,,,,,,c5bf9629-0700-492f-8b12-593c85b93e00,8,,,"[46.3, 31.7]",3893800,0,,,,,-1.9074712,,Right Foot,,,,"[38.6, 9.7]",,Ground Pass,,23.308582,,,,Eliana Noemí Stábile,25633.0,,,,,,1,From Kick Off,Flavia Lorena Benítez,25615.0,Left Defensive Midfield,2,Argentina Women's,1204,['4ca75809-afd6-42d2-9d02-7ad9296fd93c'],2,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:02.752,Pass,
,,,,,,,,,,,,,,,,0.738119,,,,,,,,,,,,,,1d57ad3a-f5ef-4968-9b11-3cbb9612f0df,11,,,"[38.3, 9.9]",3893800,0,,,,,0.8139618,,Left Foot,,,,"[48.5, 20.7]",,Ground Pass,,14.855302,,,,Flavia Lorena Benítez,25615.0,,,,,,1,From Kick Off,Eliana Noemí Stábile,25633.0,Left Back,2,Argentina Women's,1204,['c8fc1c15-3cf3-4c70-b549-da71cdca72df'],5,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:05.996,Pass,
,,,,,,,,,,,,,,,,1.030729,,,,,,,,,,,,,,654ba5a4-5627-4aa5-ab8f-2dbd2730b1b4,14,,,"[51.9, 16.6]",3893800,0,,,,,-1.1839206,,Right Foot,,,,"[56.3, 5.8]",,Ground Pass,,11.661903,,,,Estefanía Romina Banini Ruiz,4944.0,,,,,,1,From Kick Off,Flavia Lorena Benítez,25615.0,Left Defensive Midfield,2,Argentina Women's,1204,['f1f1ca0c-b63a-464d-b8cd-57daa718a7c4'],8,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:08.334,Pass,
