50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,52c33032-b7a7-471f-a2c6-cbf24e1edd49,1,,,,3893819,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Korea Republic Women's,1211,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 403284, 'name': 'Jung-Mi Kim'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 25451, 'name': 'Hye-Ri Kim'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 34550, 'name': 'Hye-Ji Hong'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 403287, 'name': 'Seo-Yeon Shim'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 403286, 'name': 'Hyo-Joo Choo'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 25447, 'name': 'Sel-Gi Jang'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 16}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 25453, 'name': 'Geum-Min Lee'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 9}, {'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 34509, 'name': 'Hwa-Yeon Son'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 403289, 'name': 'Eun-Sun Park'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 13}]}",Korea Republic Women's,1211,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9d871873-e5ec-4a48-8aba-a87848c76787,2,,,,3893819,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Korea Republic Women's,1211,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 402656, 'name': 'Khadija Er-Rmichi'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 402658, 'name': 'Hanane Aït El Haj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 17}, {'player': {'id': 135153, 'name': 'Nesryne El Chad'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 402660, 'name': 'Nouhaila Benzina'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 402665, 'name': 'Zineb Redouani'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 31641, 'name': 'Elodie Nakkach'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 402663, 'name': 'Ghizlane Chebbak'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 402655, 'name': 'Sakina Ouzraoui Diki'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 19}, {'player': {'id': 402666, 'name': 'Fatima Zahra Tagnaout'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 46564, 'name': 'Salma Amani'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 402661, 'name': 'Ibtissam Jraïdi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Morocco Women's,2391,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,31713c18-2ffb-4476-a7b5-d4fd9c6630e3,3,,,,3893819,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Korea Republic Women's,1211,['471ea881-9b2f-428b-af77-b1e280f7e4e3'],0,,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,471ea881-9b2f-428b-af77-b1e280f7e4e3,4,,,,3893819,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Korea Republic Women's,1211,['31713c18-2ffb-4476-a7b5-d4fd9c6630e3'],0,,,,,,,,,,,,,,,,,,Morocco Women's,2391,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f82a0b1a-c71d-4402-8ab6-2797e970c8fe,1622,,,,3893819,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,112,Morocco Women's,2391,['de265cd7-8eff-452a-9753-c21129da6765'],0,,,,,,,,,,,,,,,,,,Morocco Women's,2391,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,de265cd7-8eff-452a-9753-c21129da6765,1623,,,,3893819,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,112,Morocco Women's,2391,['f82a0b1a-c71d-4402-8ab6-2797e970c8fe'],0,,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.502223,,,,,,,,,,,,,1615fc9f-c16a-4d43-a608-4a83d0d47f28,5,,,"[61.0, 40.1]",3893819,0,,,,,-3.0207558,,Right Foot,,,,"[47.0, 38.4]",,Ground Pass,,14.102837,,,,Hye-Ji Hong,34550.0,,,,,,Kick Off,1,From Kick Off,Hwa-Yeon Son,34509.0,Right Center Forward,2,Korea Republic Women's,1211,['02de4671-4047-4207-95b1-17003799ae80'],0,,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:00.199,Pass,
,,,,,,,,,,,,,,,3.371951,,,,,,,,,,,,,d601b854-d6eb-4dc7-866c-84fe09ee8b56,8,,,"[45.6, 37.8]",3893819,0,,,,,-0.16702434,,Right Foot,,,,"[106.1, 27.6]",,High Pass,,61.35381,,Incomplete,,,,,,,,,,1,From Kick Off,Hye-Ji Hong,34550.0,Center Back,2,Korea Republic Women's,1211,['ed99972a-0ddc-4472-8445-f180734f0f86'],1,,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:01.760,Pass,
,,,,,,,,,,,,,,,1.729058,,,,,,,,,,,,,ed99972a-0ddc-4472-8445-f180734f0f86,9,,,"[14.0, 52.5]",3893819,0,,,,,0.77349395,,Head,,,,"[22.5, 60.8]",,Low Pass,,11.880236,,,,Hanane Aït El Haj,402658.0,,,,,,Recovery,1,From Kick Off,Nesryne El Chad,135153.0,Right Center Back,2,Korea Republic Women's,1211,"['3ca2a6b9-b4d5-4321-bf4e-c5df10ccab34', 'd601b854-d6eb-4dc7-866c-84fe09ee8b56']",5,,,,,,,,,,,,,,,,,,Morocco Women's,2391,00:00:05.132,Pass,
,,,,,,,,,,,,,,,2.272888,,,,,,,,,,,,,f858033d-724b-4dac-8d75-a45ea6e930d7,12,,,"[22.3, 62.4]",3893819,0,,,,,-0.32370368,,Right Foot,,,,"[53.0, 52.1]",,High Pass,,32.381786,,Incomplete,,,,,,,,,,1,From Kick Off,Hanane Aït El Haj,402658.0,Right Back,2,Korea Republic Women's,1211,['3cbbf97e-f8c6-4423-ad21-4fc79a29c224'],7,,,,,,,,,,,,,,,,,,Morocco Women's,2391,00:00:07.042,Pass,
