50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2c6698d2-0d21-46f6-8f20-93861b7fe392,1,,,,3893814,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 62713, 'name': 'Zecira Musovic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26093, 'name': 'Gun Nathalie Björn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 26092, 'name': 'Amanda Ilestedt'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 62666, 'name': 'Ingrid Filippa Angeldal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 10221, 'name': 'Elin Ingrid Johanna Rubensson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 62710, 'name': 'Johanna Rytting-Kaneryd'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 10220, 'name': 'Kosovare Asllani'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 10215, 'name': 'Fridolina Rolfö'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 10229, 'name': 'Emma Stina Blackstenius'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Sweden Women's,858,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,8d9f283c-72de-4c8d-b970-ff0eb7bf2cef,2,,,,3893814,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 32152, 'name': 'Francesca Durante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 46224, 'name': 'Lucia Di Guglielmo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 10370, 'name': 'Cecilia Salvai'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 23}, {'player': {'id': 25770, 'name': 'Lisa Boattin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 32162, 'name': 'Arianna Caruso'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 45638, 'name': 'Sofia Cantore'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 349028, 'name': 'Giulia Dragoni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 135571, 'name': 'Chiara Beccari'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Italy Women's,855,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,36727502-2839-4be6-b71d-0a952329b872,3,,,,3893814,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,['323fad72-bdb7-41de-991e-1678c59482cc'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,323fad72-bdb7-41de-991e-1678c59482cc,4,,,,3893814,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sweden Women's,858,['36727502-2839-4be6-b71d-0a952329b872'],0,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,9f9466e0-8476-42fc-8d5a-e51114d08567,1901,,,,3893814,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Sweden Women's,858,['0efbe6db-4cb8-4b13-bfb8-4ab14255ef66'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0efbe6db-4cb8-4b13-bfb8-4ab14255ef66,1902,,,,3893814,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,92,Sweden Women's,858,['9f9466e0-8476-42fc-8d5a-e51114d08567'],0,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.96353,,,,,,,,,,,d5f3e14a-5d6d-4285-9b11-9c74cb37d884,5,,,"[60.0, 40.0]",3893814,0,,,,,2.8838215,,Right Foot,,,,"[49.0, 42.9]",,Ground Pass,,11.375852,,,,Ingrid Filippa Angeldal,62666.0,,,,,,Kick Off,1,From Kick Off,Emma Stina Blackstenius,10229.0,Center Forward,2,Sweden Women's,858,['c5da951f-442a-4f3a-aa75-7d3592134e14'],0,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.729,Pass,
,,,,,,,,,,,,,,,1.363362,,,,,,,,,,,bb12c1f5-08a0-4907-a229-42934cdac759,8,,,"[50.8, 42.3]",3893814,0,,,,,-1.7411296,,Right Foot,,,,"[46.5, 17.3]",,Ground Pass,,25.367105,,,,Magdalena Lilly Eriksson,4633.0,,,,,,,1,From Kick Off,Ingrid Filippa Angeldal,62666.0,Right Defensive Midfield,2,Sweden Women's,858,['0fda2a9c-5772-4468-b382-62ec2c329950'],2,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:02.709,Pass,
,,,,,,,,,,,,,,,2.524652,,,,,,,,,,,5c4a019a-9be6-45f4-9396-e11d8563eb2e,11,,,"[47.8, 16.8]",3893814,0,,,,,-0.060061306,,Left Foot,,,,"[92.7, 14.1]",,High Pass,,44.981106,,Incomplete,,Fridolina Rolfö,10215.0,,,,,,,1,From Kick Off,Magdalena Lilly Eriksson,4633.0,Left Center Back,2,Sweden Women's,858,"['716bdd64-d7f1-4691-8f9f-981928401fcd', 'd0f7f591-84b0-4616-9c3b-f40b8e244e50']",6,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:06.022,Pass,
,,,,,,,,,,,,,,,1.007835,,,,,,,,,,,d0f7f591-84b0-4616-9c3b-f40b8e244e50,13,,,"[27.4, 66.0]",3893814,0,,,,,0.61072594,,Head,,,,"[36.4, 72.3]",,Low Pass,,10.9859,,,,Sofia Cantore,45638.0,,,,,,Recovery,1,From Kick Off,Lucia Di Guglielmo,46224.0,Right Back,2,Sweden Women's,858,"['5c4a019a-9be6-45f4-9396-e11d8563eb2e', '62105b5c-4c20-4ded-b840-6d956b9d50aa']",8,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:08.547,Pass,
