50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_follows_dribble,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9ff781eb-9942-476e-a4aa-769b4c37d46b,1,,,,3893812,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina Women's,1204,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25611, 'name': 'Vanina Noemí Correa'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 370851, 'name': 'Sophie Wais Braun'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 25617, 'name': 'Miriam Anahí Mayorga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 25634, 'name': 'Aldana Cometti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 25633, 'name': 'Eliana Noemí Stábile'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 402461, 'name': 'Daiana Micaela Falfán'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 25615, 'name': 'Flavia Lorena Benítez'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 25602, 'name': 'Mariana Valeria Larroquette'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 4944, 'name': 'Estefanía Romina Banini Ruiz'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 22}, {'player': {'id': 25640, 'name': 'María Florencia Bonsegundo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 15}, {'player': {'id': 273315, 'name': 'Paulina Gramaglia'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Argentina Women's,1204,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,92def505-e96a-4a03-9479-eaf0fa67b246,2,,,,3893812,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina Women's,1204,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25746, 'name': 'Kaylin Swart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25520, 'name': 'Lebogang Ramalepe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25747, 'name': 'Bambanani Nolufefe Mbane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 402119, 'name': 'Bongeka Gamede'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 402118, 'name': 'Karabo Dhlamini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 25516, 'name': 'Refiloe Jane'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 316798, 'name': 'Noxolo Cesane'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 6}, {'player': {'id': 25511, 'name': 'Jermaine Seoposenwe'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 12}, {'player': {'id': 402126, 'name': 'Hildah Tholakele Magaia'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 5052, 'name': 'Thembi Kgatlana'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",South Africa Women's,1216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4a4efdcc-a81d-42bf-a894-bdef7f870923,3,,,,3893812,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina Women's,1204,['c5c7e3d5-45f2-432c-9a6a-ee11fbd9f1ed'],0,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c5c7e3d5-45f2-432c-9a6a-ee11fbd9f1ed,4,,,,3893812,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Argentina Women's,1204,['4a4efdcc-a81d-42bf-a894-bdef7f870923'],0,,,,,,,,,,,,,,,,,South Africa Women's,1216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5461dfb5-676d-47e4-b639-8515bd05f7cf,1863,,,,3893812,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,South Africa Women's,1216,['b55dc8f3-c7af-4680-b50a-6f3f5c60b66d'],0,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b55dc8f3-c7af-4680-b50a-6f3f5c60b66d,1864,,,,3893812,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,111,South Africa Women's,1216,['5461dfb5-676d-47e4-b639-8515bd05f7cf'],0,,,,,,,,,,,,,,,,,South Africa Women's,1216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.192991,,,,,,,,,,,,,5e5986df-bae7-4373-b518-ba9f0da3667d,5,,,"[60.0, 40.0]",3893812,0,,,,,-2.9330301,,Right Foot,,,"[41.1, 36.0]",,Ground Pass,,19.318644,,,Flavia Lorena Benítez,25615.0,,,,,,Kick Off,1,From Kick Off,Paulina Gramaglia,273315.0,Center Forward,2,Argentina Women's,1204,['ca26a6db-9ee7-4bf7-9b80-8dfd9ddff461'],1,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:01.370,Pass,
,,,,,,,,,,,,,,,,,1.715182,,,,,,,,,,,,,76540bce-3dd3-4760-9e51-d1ff8ef38ead,8,,,"[41.1, 36.0]",3893812,0,,,,,-1.9018924,,Right Foot,,,"[32.3, 10.4]",,Ground Pass,,27.070278,,,Eliana Noemí Stábile,25633.0,,,,,,,1,From Kick Off,Flavia Lorena Benítez,25615.0,Left Defensive Midfield,2,Argentina Women's,1204,['2ad2692d-2d65-4a71-9128-47fb1fdb9f07'],3,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:03.394,Pass,
,,,,,,,,,,,,,,,,,1.675278,,,,,,,,,,,,,1e9f1bd5-5c9a-4e15-9094-7a3f90b51bfd,12,,,"[35.2, 5.6]",3893812,0,,,,,0.0,,Left Foot,,,"[65.2, 5.6]",,High Pass,,30.0,,Incomplete,María Florencia Bonsegundo,25640.0,,,,,,,1,From Kick Off,Eliana Noemí Stábile,25633.0,Left Back,2,Argentina Women's,1204,"['04a81926-9a3e-4903-989e-b61a29014a96', '10fd3014-7fa4-4dd8-959e-572b91e98e73', 'd3f2e83d-f0d6-4d4b-b7de-d8e001ddbd19']",8,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:08.518,Pass,True
,,,,,,,,,,,,,,,,,1.853104,,,,,,,,,,,,,5b224f88-4b41-4acb-864d-655d382834c6,15,,,"[55.0, 0.1]",3893812,0,,,,,0.13658503,,,,,"[76.1, 3.0]",,High Pass,,21.298357,,,María Florencia Bonsegundo,25640.0,,,,,,Throw-in,1,From Throw In,Eliana Noemí Stábile,25633.0,Left Back,3,Argentina Women's,1204,['cc144236-9f2e-4bf9-98d2-3ea31bacd1b6'],18,,,,,,,,,,,,,,,,,Argentina Women's,1204,00:00:18.597,Pass,
