50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d7b3066b-0c4a-4aef-aac1-eccd4c1870bf,1,,,3893828,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,China PR Women's,1207,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 131695, 'name': 'Yu Zhu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 131575, 'name': 'Mengwen Li'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25485, 'name': 'Shanshan Wang'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 11}, {'player': {'id': 25484, 'name': 'Yao Wei'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 8}, {'player': {'id': 131583, 'name': 'Qiaozhu Chen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 402024, 'name': 'Lingwei Yao'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 131579, 'name': 'Lina Yang'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 402019, 'name': 'Chengshu Wu'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 402025, 'name': 'Linyan Zhang'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 25482, 'name': 'Jiahui Lou'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 14}, {'player': {'id': 24461, 'name': 'Shuang Wang'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",China PR Women's,1207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d960f0c1-8880-4f28-8100-744a48e92e27,2,,,3893828,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,China PR Women's,1207,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 31538, 'name': 'Mary Alexandra Earps'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 19422, 'name': 'Jessica Carter'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 16}, {'player': {'id': 4642, 'name': 'Millie Bright'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 6}, {'player': {'id': 10252, 'name': 'Alex Greenwood'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 10178, 'name': 'Lucy Bronze'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 5058, 'name': 'Rachel Daly'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 9}, {'player': {'id': 4643, 'name': 'Georgia Stanway'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 31540, 'name': 'Katie Zelem'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 31531, 'name': 'Lauren James'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 7}, {'player': {'id': 47521, 'name': 'Alessia Russo'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 23}, {'player': {'id': 15555, 'name': 'Lauren Hemp'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",England Women's,865,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,60127907-d11e-43f8-839d-007a69d0fb87,3,,,3893828,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,China PR Women's,1207,['f946a046-6754-47fb-a626-6b2667a87cc5'],0,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f946a046-6754-47fb-a626-6b2667a87cc5,4,,,3893828,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,China PR Women's,1207,['60127907-d11e-43f8-839d-007a69d0fb87'],0,,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9e0f36d6-4cf1-463a-a3a2-b9f75b3e3eab,2068,,,3893828,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,76,China PR Women's,1207,['3924335c-a7b8-4e5b-be0e-d7dabb8be4c0'],0,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3924335c-a7b8-4e5b-be0e-d7dabb8be4c0,2069,,,3893828,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,76,China PR Women's,1207,['9e0f36d6-4cf1-463a-a3a2-b9f75b3e3eab'],0,,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.099049,,,,,,,,,,,,,,0689a439-45e4-44cb-a449-26c9b035e2f1,5,,"[61.0, 40.1]",3893828,0,,,,,3.1082716,,Right Foot,,"[46.0, 40.6]",,Ground Pass,,15.008331,,,Katie Zelem,31540.0,,,,,,Kick Off,1,From Kick Off,Alessia Russo,47521.0,Right Center Forward,2,England Women's,865,['b6cd49f9-f355-4182-88d4-01585bd3cb4f'],0,,,,,,,,,,,,,,,,,England Women's,865,00:00:00.451,Pass,
,,,,,,,,,,,,,,,,,,2.232534,,,,,,,,,,,,,,8e730fd0-ef5c-4ae4-9246-936f8a58ebec,8,,"[46.2, 41.9]",3893828,0,,,,,1.7240565,,Right Foot,,"[42.4, 66.5]",,Ground Pass,,24.891766,,,Jessica Carter,19422.0,,,,,,,1,From Kick Off,Katie Zelem,31540.0,Left Defensive Midfield,2,England Women's,865,['9299732b-3f47-4a15-ac96-33d1c127877a'],2,,,,,,,,,,,,,,,,,England Women's,865,00:00:02.608,Pass,
,,,,,,,,,,,,,,,,,,1.103061,,,,,,,,,,,,,,444406c0-acbe-4929-9d2a-0e161aa860c4,11,,"[42.4, 66.0]",3893828,0,,,,,0.6816991,,Right Foot,,"[54.6, 75.9]",,Ground Pass,,15.711461,,,Lucy Bronze,10178.0,,,,,,,1,From Kick Off,Jessica Carter,19422.0,Right Center Back,2,England Women's,865,['5a805f5b-7ad1-4eb1-a3fe-f273ec54dacb'],5,,,,,,,,,,,,,,,,,England Women's,865,00:00:05.090,Pass,
,,,,,,,,,,,,,,,,,,1.509587,,,,,,,,,,,,,,a407ae23-f926-47e5-9496-2fa5558fceaa,15,,"[51.8, 74.6]",3893828,0,,,,,-2.9569082,,Right Foot,,"[33.6, 71.2]",,Ground Pass,,18.514858,,,Jessica Carter,19422.0,,,,,,,1,From Kick Off,Lucy Bronze,10178.0,Right Wing Back,2,England Women's,865,"['852b48ab-2399-4d70-8e2f-7f477c6445e3', 'df8d2375-245d-4c31-ab47-f50e2a44f58b']",8,,,,,,,,,,,,,,,,,England Women's,865,00:00:08.125,Pass,True
