50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,player_off_permanent,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2106edeb-0e80-4e79-9019-e5cc1a386525,1,,,,3893813,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,China PR Women's,1207,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 131695, 'name': 'Yu Zhu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 131575, 'name': 'Mengwen Li'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25485, 'name': 'Shanshan Wang'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 11}, {'player': {'id': 25484, 'name': 'Yao Wei'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 8}, {'player': {'id': 131583, 'name': 'Qiaozhu Chen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 15}, {'player': {'id': 402024, 'name': 'Lingwei Yao'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 131579, 'name': 'Lina Yang'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 402019, 'name': 'Chengshu Wu'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 25490, 'name': 'Rui Zhang'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 402025, 'name': 'Linyan Zhang'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 25482, 'name': 'Jiahui Lou'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",China PR Women's,1207,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,482ec8da-2b42-42bb-a5fd-e1ea5a204bec,2,,,,3893813,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,China PR Women's,1207,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 402008, 'name': 'Kerly Théus'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 402002, 'name': 'Betina Petit-Frère'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 402001, 'name': 'Dougenie Tabita Kerbie Joseph'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 46847, 'name': 'Kethna Louis'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 402003, 'name': 'Ruthny Mathurin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 401999, 'name': 'Maudeline Moryl'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 402006, 'name': 'Dayana Pierre-Louis'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 19}, {'player': {'id': 46830, 'name': 'Batcheba Louis'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 402012, 'name': 'Sherly Jeudy'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 30970, 'name': 'Nérilia Mondesir'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 53993, 'name': 'Roselord Borgella'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Haiti Women's,2355,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,c2cf97e3-9039-4993-8516-f48a7d22be80,3,,,,3893813,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,China PR Women's,1207,['aad53c15-c5a6-481f-85ed-8f92547fdbf3'],0,,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aad53c15-c5a6-481f-85ed-8f92547fdbf3,4,,,,3893813,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,,1,China PR Women's,1207,['c2cf97e3-9039-4993-8516-f48a7d22be80'],0,,,,,,,,,,,,,,,,,Haiti Women's,2355,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4cf99c5a-a80a-4dfe-a054-a27cfb7b84c0,1675,,,,3893813,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,,96,Haiti Women's,2355,['ae43e87f-b76f-4180-9915-2e42dbc7be94'],0,,,,,,,,,,,,,,,,,Haiti Women's,2355,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ae43e87f-b76f-4180-9915-2e42dbc7be94,1676,,,,3893813,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,,96,Haiti Women's,2355,['4cf99c5a-a80a-4dfe-a054-a27cfb7b84c0'],0,,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.91273,,,,,,,,,,,,,1d29ab5d-8ffc-447f-acfa-d91b1902c271,5,,,"[60.0, 40.0]",3893813,0,,,,,2.9441972,,Right Foot,,,,"[49.0, 42.2]",Ground Pass,,11.217843,,,,,Lina Yang,131579.0,,,,,,Kick Off,1,From Kick Off,Jiahui Lou,25482.0,,Center Forward,2,China PR Women's,1207,['6ee2c157-46d5-4465-8716-cedf24ee9124'],0,,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:00.816,Pass,
,,,,,,,,,,,,,,,,4.175431,,,,,,,,,,,,,2a0bab8d-3983-48f7-9823-ae2c2f807def,8,,,"[51.3, 38.6]",3893813,0,,,,,-0.65328926,,Right Foot,,,,"[101.6, 0.1]",High Pass,,63.343033,,,Out,,Chengshu Wu,402019.0,,,,,,,1,From Kick Off,Lina Yang,131579.0,,Left Defensive Midfield,2,China PR Women's,1207,['43eb7716-c1d3-4d10-924f-7230674292e6'],2,,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:02.915,Pass,
,,,,,,,,,,,,,,,,1.888328,,,,,,,,,,,,,3a8113de-63ba-4fa0-b1bd-ce7ba6cdd1b5,10,,,"[27.8, 80.0]",3893813,0,,,,,-0.24497867,,,,,,"[40.6, 76.8]",High Pass,,13.193938,,,Incomplete,,Batcheba Louis,46830.0,,,,,,Throw-in,1,From Throw In,Betina Petit-Frère,402002.0,,Right Back,3,Haiti Women's,2355,"['c4deef9c-8c09-4038-8861-4f6d75f8f7a8', 'ecff637e-d329-47a6-98a2-40a210023050']",22,,,,,,,,,,,,,,,,,Haiti Women's,2355,00:00:22.187,Pass,
,,,,,,,,,,,,,,,,0.444533,,,,,,,,,,,,,ac6c4c61-0c04-4517-8738-4fce18b55445,14,,,"[78.9, 6.0]",3893813,0,,,,,2.1086318,,Left Foot,,,,"[75.5, 11.7]",Ground Pass,,6.6370173,,,,,Lina Yang,131579.0,,,,,,,1,Regular Play,Qiaozhu Chen,131583.0,,Left Back,4,China PR Women's,1207,['6749502b-a385-4e31-a188-ef4f494e5b23'],25,,,,,,,,,,,,,,,,,China PR Women's,1207,00:00:25.261,Pass,
