50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.896828,,,,,,,,,,,9ab8db8a-9fa9-4aae-8029-dbd5a5f0ba66,13,,"[56.7, 65.6]",3893832,0,,,,,-0.4942308,,Left Foot,,,,"[77.3, 54.5]",High Pass,,23.400213,,Incomplete,Débora Cristiane de Oliveira,5044.0,,,,,,1,From Throw In,Rafaelle Leone Carvalho Souza,131570.0,Left Center Back,3,Jamaica Women's,1212,"['48b12d5c-f7f1-4f09-8ae1-878dd626970a', '905d179d-a5c0-4e71-9da5-0e0862a21e13']",20,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:20.076,Pass,
,,,,,,,,,,,,,,,,,,1.561474,,,,,,,,,,,905d179d-a5c0-4e71-9da5-0e0862a21e13,15,,"[42.8, 25.6]",3893832,0,,,,,-0.9429597,,Head,,,,"[47.3, 19.4]",High Pass,,7.6609397,,,Drew Spence,4638.0,,,,,Recovery,1,From Throw In,Vyan Sampson,21014.0,Right Defensive Midfield,3,Jamaica Women's,1212,"['3188380e-9dd9-4934-a61a-9ecb79f4fa28', '9ab8db8a-9fa9-4aae-8029-dbd5a5f0ba66']",21,,,,,,,,,,,,,,,,,Jamaica Women's,1212,00:00:21.973,Pass,
,,,,,,,,,,,,,,,,,,0.930414,,,,,,,,,,,54765417-fe3a-4705-9296-096636aae5c9,18,,"[47.5, 17.1]",3893832,0,,,,,0.19342732,,Right Foot,,,,"[57.2, 19.0]",Low Pass,,9.884331,,Incomplete,Khadija Monifa Shaw,25554.0,,,,,,1,From Throw In,Drew Spence,4638.0,Left Defensive Midfield,3,Jamaica Women's,1212,"['3e6257dc-cc1f-48f7-b55f-9883be6d1d08', 'd0cbac3c-a84f-4994-85df-ba25f3bc56fb', 'de2ad11f-4409-4636-ac72-d5384af51543']",23,,,,,,,,,,,,,,,,,Jamaica Women's,1212,00:00:23.535,Pass,True
,,,,,,,,,,,,,,,,,,1.551856,,,,,,,,,,,de2ad11f-4409-4636-ac72-d5384af51543,20,,"[62.9, 61.1]",3893832,0,,,,,-0.73502064,,Right Foot,,,,"[75.4, 49.8]",High Pass,,16.85052,,Incomplete,Débora Cristiane de Oliveira,5044.0,,,,,Recovery,1,From Throw In,Antonia Ronnycleide da Costa Silva,50003.0,Right Back,3,Jamaica Women's,1212,"['54765417-fe3a-4705-9296-096636aae5c9', '99c3f0fd-c3ee-42f9-b85c-30989cc0a3a8', 'b5d2af45-14b1-4c99-81da-7b0dcb7820d6']",24,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:24.465,Pass,
,,,,,,,,,,,,,,,,,,1.818487,,,,,,,,,,,b5d2af45-14b1-4c99-81da-7b0dcb7820d6,22,,"[44.7, 30.3]",3893832,0,,,,,-0.1162056,,Right Foot,,,,"[70.4, 27.3]",High Pass,,25.874504,,Incomplete,Khadija Monifa Shaw,25554.0,,,,,Recovery,1,From Throw In,Vyan Sampson,21014.0,Right Defensive Midfield,3,Jamaica Women's,1212,"['d2b015a3-42e3-4ed0-9b01-1d8b7e8d17b5', 'de2ad11f-4409-4636-ac72-d5384af51543', 'eed73816-e444-4f91-8c0a-3aac077d5a93']",26,,,,,,,,,,,,,,,,,Jamaica Women's,1212,00:00:26.017,Pass,
,,,,,,,,,,,,,,,,,,1.123172,,,,,,,,,,,eed73816-e444-4f91-8c0a-3aac077d5a93,24,,"[49.7, 52.8]",3893832,0,,,,,0.3468349,,Head,,,,"[58.0, 55.8]",Low Pass,,8.825531,,,Ariadina Alves Borges,389488.0,,,,,Recovery,1,Regular Play,Kathellen Sousa Feitoza,25556.0,Right Center Back,4,Brazil Women's,1203,"['a8697d23-c256-4a63-a6d0-bd70a137b8bd', 'b5d2af45-14b1-4c99-81da-7b0dcb7820d6']",27,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:27.835,Pass,
,,,,,,,,,,,,,,,,,,2.028298,,,,,,,,,,,015dfb90-17bb-4be5-ae1b-124ba398540e,28,,"[56.1, 56.4]",3893832,0,,,,,0.14672127,,Right Foot,,,,"[76.4, 59.4]",High Pass,,20.520477,,Incomplete,,,,,,,,1,Regular Play,Ariadina Alves Borges,389488.0,Right Midfield,4,Brazil Women's,1203,"['a41f21a0-62fb-43ce-8328-f337c3c5ccd3', 'af59e712-ef4b-4bc9-b79f-19c2c669df79']",29,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:29.020,Pass,True
,,,,,,,,,,,,,,,,,,1.929285,,,,,,,,,,,af59e712-ef4b-4bc9-b79f-19c2c669df79,29,,"[43.7, 20.7]",3893832,0,,,,,-0.14037499,,Head,,,,"[52.9, 19.4]",High Pass,,9.291394,,Incomplete,Drew Spence,4638.0,,,,,Recovery,1,Regular Play,Deneisha Selena Blackwood,25557.0,Left Back,4,Brazil Women's,1203,"['015dfb90-17bb-4be5-ae1b-124ba398540e', 'afa57523-d671-40d2-acd3-14cf1a243d25', 'ff631b9a-15a0-4237-8e5e-bb31bd0cd453']",31,,,,,,,,,,,,,,,,,Jamaica Women's,1212,00:00:31.048,Pass,
,,,,,,,,,,,,,,,,,,1.455025,,,,,,,,,,,afa57523-d671-40d2-acd3-14cf1a243d25,32,,"[67.2, 60.7]",3893832,0,,,,True,-0.044415217,,,,,,"[76.2, 60.3]",High Pass,,9.008884,,Incomplete,Marta Vieira da Silva Veiga,5082.0,,,,,Recovery,1,Regular Play,Kerolin Nicoli Israel Ferraz,105708.0,Right Defensive Midfield,4,Brazil Women's,1203,"['3d76df6a-ff6f-48a9-b0c2-e3fdfa8afcc3', 'af59e712-ef4b-4bc9-b79f-19c2c669df79', 'd8af2124-320e-45d3-a3c1-8a7392f0333d', 'f287084a-9cf3-4d86-a54c-b7c810b591a7']",32,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:32.977,Pass,True
,,,,,,,,,,,,,,,,,,1.810163,,,,,,,,,,,d8af2124-320e-45d3-a3c1-8a7392f0333d,34,,"[43.9, 19.8]",3893832,0,,,,,1.4288993,,Head,,,,"[46.9, 40.8]",Low Pass,,21.213203,,Incomplete,Vyan Sampson,21014.0,,,,,Interception,1,Regular Play,Deneisha Selena Blackwood,25557.0,Left Back,4,Brazil Women's,1203,"['59ae3441-b6b6-4b1e-a20e-7d2cb37fe48d', 'afa57523-d671-40d2-acd3-14cf1a243d25', 'bfd76d6a-37d1-497c-82bd-157bf720fcd8']",34,,,,,,,,,,,,,,,,,Jamaica Women's,1212,00:00:34.432,Pass,
