50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1e182afa-31e5-441e-902c-1adc1759b486,1,,,3893789,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Philippines Women's,1106,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 401735, 'name': 'Olivia Alexandra Davies Isip McDaniel'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 401737, 'name': 'Hali Moriah Candido Long'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 389446, 'name': 'Jessika Rebecca Macayan Cowart'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 401731, 'name': 'Angela Beard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 401741, 'name': 'Alicia Balicoco Barker'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 324160, 'name': 'Sofia Nicole Dador Harrison'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 16}, {'player': {'id': 401732, 'name': 'Jaclyn Katrina Demis Sawicki'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 401745, 'name': 'Quinley Mirielle Campomanes Quezada-Keča'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 20}, {'player': {'id': 401748, 'name': 'Sara Kristine Bantan Eggesvik'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 225115, 'name': 'Katrina Jacqueline Rivera Guillou'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 401733, 'name': 'Sarina Isabel Calpo Bolden'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Philippines Women's,1106,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a509272d-3972-4826-ae21-0b7fa855cc5a,2,,,3893789,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Philippines Women's,1106,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10400, 'name': 'Gaëlle Thalmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10407, 'name': 'Eseosa Aigbogun'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 46972, 'name': 'Luana Bühler'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 32101, 'name': 'Julia Stierli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 31630, 'name': 'Coumba Sow'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 10419, 'name': 'Géraldine Reuteler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 32105, 'name': 'Seraina Piubel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 4659, 'name': 'Ramona Bachmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Switzerland Women's,860,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0ab570bb-78a6-411f-b493-106231766e5d,3,,,3893789,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Philippines Women's,1106,['248c4528-2e0b-4806-a4ac-0487941d3fcf'],0,,,,,,,,,,,,,,,,,Philippines Women's,1106,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,248c4528-2e0b-4806-a4ac-0487941d3fcf,4,,,3893789,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Philippines Women's,1106,['0ab570bb-78a6-411f-b493-106231766e5d'],0,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,230402d7-9468-41c3-88d2-ed1e10f946cc,1923,,,3893789,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,77,Switzerland Women's,860,['90ebd55a-1113-47fe-aea7-b10b2f43916b'],0,,,,,,,,,,,,,,,,,Philippines Women's,1106,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,90ebd55a-1113-47fe-aea7-b10b2f43916b,1924,,,3893789,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,77,Switzerland Women's,860,['230402d7-9468-41c3-88d2-ed1e10f946cc'],0,,,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.455027,,,,,,,,,,,,,d9cb2051-63c2-4d44-a7c4-d43e57b7676a,5,,"[60.0, 40.0]",3893789,0,,,,,-3.1127546,,Right Foot,,,,"[49.6, 39.7]",Ground Pass,,10.404326,,,Jaclyn Katrina Demis Sawicki,401732.0,,,,,Kick Off,1,From Kick Off,Sarina Isabel Calpo Bolden,401733.0,Left Center Forward,2,Philippines Women's,1106,['cbccad44-5c31-4f4c-8c43-ef7588c7285f'],0,,,,,,,,,,,,,,,,,Philippines Women's,1106,00:00:00.123,Pass,
,,,,,,,,,,,,,,,,1.833631,,,,,,,,,,,,,66dbf1ea-12c0-4b8a-beee-cb94d0028a46,8,,"[50.5, 40.3]",3893789,0,,,,,2.9699645,,Left Foot,,,,"[28.0, 44.2]",Ground Pass,,22.835499,,,Hali Moriah Candido Long,401737.0,,,,,,1,From Kick Off,Jaclyn Katrina Demis Sawicki,401732.0,Center Defensive Midfield,2,Philippines Women's,1106,['c164974f-1d87-400c-a059-89393c7ec3c0'],2,,,,,,,,,,,,,,,,,Philippines Women's,1106,00:00:02.810,Pass,
,,,,,,,,,,,,,,,,1.281332,,,,,,,,,,,,,49b9e029-d584-44c5-b654-aed0b3901b33,11,,"[29.6, 43.9]",3893789,0,,,,,-1.7185218,,Right Foot,,,,"[27.1, 27.1]",Ground Pass,,16.984993,,,Jessika Rebecca Macayan Cowart,389446.0,,,,,,1,From Kick Off,Hali Moriah Candido Long,401737.0,Right Center Back,2,Philippines Women's,1106,['bdd61d38-6b17-4325-8f33-32fddfdd97bb'],8,,,,,,,,,,,,,,,,,Philippines Women's,1106,00:00:08.292,Pass,
,,,,,,,,,,,,,,,,0.956997,,,,,,,,,,,,,c8024361-9a5c-4d15-bee5-1102b7d2d8db,14,,"[27.1, 27.1]",3893789,0,,,,,-1.3961241,,Right Foot,,,,"[29.2, 15.2]",Ground Pass,,12.083874,,,Angela Beard,401731.0,,,,,,1,From Kick Off,Jessika Rebecca Macayan Cowart,389446.0,Center Back,2,Philippines Women's,1106,['349b58a3-7506-49db-b1f8-5c0905e5349f'],10,,,,,,,,,,,,,,,,,Philippines Women's,1106,00:00:10.142,Pass,
