ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,3e711761-f59e-40ea-970e-8506c3c85aed,1,,,3893817,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland Women's,860,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 10400, 'name': 'Gaëlle Thalmann'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10407, 'name': 'Eseosa Aigbogun'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 19}, {'player': {'id': 10404, 'name': 'Noelle Maritz'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 32101, 'name': 'Julia Stierli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 276579, 'name': 'Nadine Riesen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 8}, {'player': {'id': 10405, 'name': 'Lia Wälti'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 31630, 'name': 'Coumba Sow'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 10419, 'name': 'Géraldine Reuteler'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 32105, 'name': 'Seraina Piubel'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 4659, 'name': 'Ramona Bachmann'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 10}, {'player': {'id': 10408, 'name': 'Ana-Maria Crnogorčević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Switzerland Women's,860,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,05842a95-fcb8-4534-8cdc-1a695a121e0a,2,,,3893817,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland Women's,860,,0,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 214481, 'name': 'Victoria Esson'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 25662, 'name': 'Catherine Joan Bott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 21062, 'name': 'Alexandra Riley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 401642, 'name': 'Malia Grace Steinmetz'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 25660, 'name': 'Annalie Longo'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 2}, {'player': {'id': 392266, 'name': 'Jacqueline Anne Hand'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 16}, {'player': {'id': 24925, 'name': 'Olivia Chance'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 25658, 'name': 'Hannah Wilkinson'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",New Zealand Women's,1215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,fb2e04af-f3ab-441c-b5d9-513e0a899ea3,3,,,3893817,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland Women's,860,['fb64aaf5-d36e-48c3-b86f-d5833019afb7'],0,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,fb64aaf5-d36e-48c3-b86f-d5833019afb7,4,,,3893817,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Switzerland Women's,860,['fb2e04af-f3ab-441c-b5d9-513e0a899ea3'],0,,,,,,,,,,,,,,,New Zealand Women's,1215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,cc898693-083a-453d-b46a-207a607e5dc7,1990,,,3893817,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Switzerland Women's,860,['320de3ff-ac6a-49fd-84b9-6fa2cebdfdcf'],0,,,,,,,,,,,,,,,Switzerland Women's,860,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,320de3ff-ac6a-49fd-84b9-6fa2cebdfdcf,1991,,,3893817,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,93,Switzerland Women's,860,['cc898693-083a-453d-b46a-207a607e5dc7'],0,,,,,,,,,,,,,,,New Zealand Women's,1215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.105381,,,,,,,,,,56252fce-4f6b-449f-90a1-2a2b554ae5ea,5,,"[61.0, 40.1]",3893817,0,,,,,-2.974161,,Right Foot,,,"[53.9, 38.9]",Ground Pass,,7.2006946,,,,,Malia Grace Steinmetz,401642.0,,,,,Kick Off,1,From Kick Off,Jacqueline Anne Hand,392266.0,Right Wing,2,New Zealand Women's,1215,['2bbeb367-be29-440b-aa3e-b129328190aa'],0,,,,,,,,,,,,,,,New Zealand Women's,1215,00:00:00.290,Pass,
,,,,,,,,,,,,,,,,,,1.527331,,,,,,,,,,d6f798f5-2f2a-4d06-a887-ab12fb61aa9e,8,,"[52.5, 37.9]",3893817,0,,,,,-2.1672528,,Right Foot,,,"[39.6, 18.9]",Ground Pass,,22.965408,,,,,Alexandra Riley,21062.0,,,,,,1,From Kick Off,Malia Grace Steinmetz,401642.0,Center Defensive Midfield,2,New Zealand Women's,1215,['d5cca247-4ec9-4072-83d3-148354d5329b'],2,,,,,,,,,,,,,,,New Zealand Women's,1215,00:00:02.275,Pass,
,,,,,,,,,,,,,,,,,,2.03031,,,,,,,,,,3e07d06c-5a44-4f9b-abc5-95a08da88c79,11,,"[39.6, 18.9]",3893817,0,,,,,2.2677164,,Left Foot,,,"[28.3, 32.4]",Ground Pass,,17.605112,,,,,Katie Bowen,5028.0,,,,,,1,From Kick Off,Alexandra Riley,21062.0,Left Back,2,New Zealand Women's,1215,['d02df011-c193-4769-b343-b8c1882e974c'],4,,,,,,,,,,,,,,,New Zealand Women's,1215,00:00:04.894,Pass,
,,,,,,,,,,,,,,,,,,1.501453,,,,,,,,,,70f18534-41c5-4de2-b055-53051c3cd182,14,,"[28.3, 32.4]",3893817,0,,,,,1.3078016,,Right Foot,,,"[36.7, 63.6]",Ground Pass,,32.31099,,,,,Rebekah Ashley Stott,4989.0,,,,,,1,From Kick Off,Katie Bowen,5028.0,Left Center Back,2,New Zealand Women's,1215,['d6514496-ace5-4ba7-aed2-84dc30f877a5'],8,,,,,,,,,,,,,,,New Zealand Women's,1215,00:00:08.346,Pass,
