50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,95296b0e-afb0-4938-835d-f80c22b32eaa,1,,,,3893831,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Africa Women's,1216,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 25746, 'name': 'Kaylin Swart'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25520, 'name': 'Lebogang Ramalepe'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25747, 'name': 'Bambanani Nolufefe Mbane'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 25514, 'name': 'Noko Matlou'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 402118, 'name': 'Karabo Dhlamini'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 402121, 'name': 'Robyn Kimberly Moodaly'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 402119, 'name': 'Bongeka Gamede'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 3}, {'player': {'id': 402126, 'name': 'Hildah Tholakele Magaia'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 8}, {'player': {'id': 5053, 'name': 'Linda Maserame Motlhalo'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 25511, 'name': 'Jermaine Seoposenwe'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 12}, {'player': {'id': 5052, 'name': 'Thembi Kgatlana'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",South Africa Women's,1216,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,014dcc04-5636-42b2-9103-677fe4480166,2,,,,3893831,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Africa Women's,1216,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 32152, 'name': 'Francesca Durante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 46224, 'name': 'Lucia Di Guglielmo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 47117, 'name': 'Benedetta Orsi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 10208, 'name': 'Elena Linari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 25770, 'name': 'Lisa Boattin'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 17}, {'player': {'id': 32162, 'name': 'Arianna Caruso'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 10228, 'name': 'Manuela Giugliano'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 135571, 'name': 'Chiara Beccari'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 14}, {'player': {'id': 349028, 'name': 'Giulia Dragoni'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 16}, {'player': {'id': 10211, 'name': 'Barbara Bonansea'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 8}, {'player': {'id': 25541, 'name': 'Valentina Giacinti'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Italy Women's,855,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e7f076ad-abd8-475f-9ec9-23dce2dfcc6a,3,,,,3893831,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Africa Women's,1216,['0b0762e0-169a-4bbb-bd5d-2f6c116312d7'],0,,,,,,,,,,,,,,,,,South Africa Women's,1216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0b0762e0-169a-4bbb-bd5d-2f6c116312d7,4,,,,3893831,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,South Africa Women's,1216,['e7f076ad-abd8-475f-9ec9-23dce2dfcc6a'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,693d40d7-00d3-48a1-890b-5cc6a0b353ec,1709,,,,3893831,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,South Africa Women's,1216,['0a496fdc-cc80-4950-a710-777442093876'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0a496fdc-cc80-4950-a710-777442093876,1710,,,,3893831,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,104,South Africa Women's,1216,['693d40d7-00d3-48a1-890b-5cc6a0b353ec'],0,,,,,,,,,,,,,,,,,South Africa Women's,1216,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.372034,,,,,,,,,,,,,a5975c9e-4fd6-4853-8905-d615ad728e4f,5,,,"[61.0, 40.1]",3893831,0,,,,2.6110349,,Right Foot,,,"[46.0, 48.9]",,Ground Pass,,17.390802,,,Arianna Caruso,32162.0,,,,,,Kick Off,1,From Kick Off,Valentina Giacinti,25541.0,Center Forward,2,Italy Women's,855,['43dd8c91-f975-44b2-9ab0-abf649088371'],0,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:00.310,Pass,
,,,,,,,,,,,,,,,,,0.83208,,,,,,,,,,,,,f078044a-6da4-427a-8c1d-897ec2576cea,8,,,"[45.4, 47.7]",3893831,0,,,,-1.9217163,,Right Foot,,,"[41.3, 36.5]",,Ground Pass,,11.926861,,,Manuela Giugliano,10228.0,,,,,,,1,From Kick Off,Arianna Caruso,32162.0,Right Defensive Midfield,2,Italy Women's,855,['2c6b1bf9-78c4-4f92-9448-fb8fdd29ef5b'],2,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:02.618,Pass,
,,,,,,,,,,,,,,,,,1.150811,,,,,,,,,,,,,c21eb79c-e07a-4e26-b06b-953b455a697f,12,,,"[40.9, 34.6]",3893831,0,,,,-1.6503825,,Right Foot,,,"[39.6, 18.3]",,Ground Pass,,16.351759,,,Lisa Boattin,25770.0,,,,,,,1,From Kick Off,Manuela Giugliano,10228.0,Left Defensive Midfield,2,Italy Women's,855,"['902a672b-c427-406d-a8f9-e61b3bd95704', 'aa1ee96c-8d2f-46b7-b1ce-33eb26b2aea5']",4,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:04.370,Pass,True
,,,,,,,,,,,,,,,,,1.597926,,,,,,,,,,,,,21ccce99-b95d-4b79-be96-2a36a0f7c0f9,15,,,"[39.0, 18.8]",3893831,0,,,,2.3561945,,Left Foot,,,"[27.0, 30.8]",,Ground Pass,,16.970562,,,Elena Linari,10208.0,,,,,,,1,From Kick Off,Lisa Boattin,25770.0,Left Back,2,Italy Women's,855,['0106ee0f-066e-497e-a4f6-eb6a66f7fd86'],6,,,,,,,,,,,,,,,,,Italy Women's,855,00:00:06.573,Pass,
