50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e538419d-fca6-4cd3-9653-14959ae143f5,1,,,,3893833,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Korea Republic Women's,1211,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 403284, 'name': 'Jung-Mi Kim'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 18}, {'player': {'id': 403286, 'name': 'Hyo-Joo Choo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 25451, 'name': 'Hye-Ri Kim'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 403287, 'name': 'Seo-Yeon Shim'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25447, 'name': 'Sel-Gi Jang'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 16}, {'player': {'id': 25450, 'name': 'Young-Ju Lee'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 403274, 'name': 'Ga-Ram Chun'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 22798, 'name': 'So-Hyun Cho'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 4647, 'name': 'So-Yun Ji'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 403290, 'name': 'Yu-Ri Choe'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 403291, 'name': 'Casey Yu-Jin Phair'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 19}]}",Korea Republic Women's,1211,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ddd8b5fa-1130-469a-998e-091a712c2213,2,,,,3893833,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Korea Republic Women's,1211,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 15443, 'name': 'Merle Frohms'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10374, 'name': 'Svenja Huth'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 9}, {'player': {'id': 10399, 'name': 'Kathrin Julia Hendrich'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 25491, 'name': 'Marina Hegering'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 46999, 'name': 'Chantal Hagel'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 25478, 'name': 'Lena Oberdorf'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 10263, 'name': 'Sara Däbritz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 46987, 'name': 'Jule Brand'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 15178, 'name': 'Alexandra Popp'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 25729, 'name': 'Klara Bühl'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 25476, 'name': 'Lea Schüller'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 7}]}",Germany Women's,857,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,221af068-01e6-4f9c-a9ef-90c964cbc5d8,3,,,,3893833,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Korea Republic Women's,1211,['02c70f91-09cb-4de4-94e3-85ab5f472473'],0,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,02c70f91-09cb-4de4-94e3-85ab5f472473,4,,,,3893833,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Korea Republic Women's,1211,['221af068-01e6-4f9c-a9ef-90c964cbc5d8'],0,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,591348ec-fa2a-41c1-a299-c6ef193e948a,1632,,,,3893833,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Germany Women's,857,['1b9dac04-09ce-41be-a9b4-85c9a943fb14'],0,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1b9dac04-09ce-41be-a9b4-85c9a943fb14,1633,,,,3893833,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Germany Women's,857,['591348ec-fa2a-41c1-a299-c6ef193e948a'],0,,,,,,,,,,,,,,,,,Korea Republic Women's,1211,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,1.02204,,,,,,,,,,,,5f1a3e90-e7b0-4b76-b1c5-f7efb3b39885,5,,,"[61.0, 40.1]",3893833,0,,,,,-2.799196,,Right Foot,,,"[50.9, 36.5]",,Ground Pass,,10.722406,,Sara Däbritz,10263.0,,,,,Kick Off,1,From Kick Off,Alexandra Popp,15178.0,Center Attacking Midfield,2,Germany Women's,857,['b8705aba-b930-41c3-ab32-c4b74aab5f82'],0,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:00.804,Pass,
,,,,,,,,,,,,,,,,,,1.623198,,,,,,,,,,,,cf2acccb-7b37-4052-be16-efc0b920675f,8,,,"[51.8, 36.6]",3893833,0,,,,,-1.9368528,,Right Foot,,,"[44.9, 18.6]",,Ground Pass,,19.27719,,Chantal Hagel,46999.0,,,,,,1,From Kick Off,Sara Däbritz,10263.0,Left Defensive Midfield,2,Germany Women's,857,['691efe6b-4a7f-47ec-be94-27ecea1adf56'],2,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:02.667,Pass,
,,,,,,,,,,,,,,,,,,0.919873,,,,,,,,,,,,85ca29c0-dc86-4266-8b50-ea34220c84d1,11,,,"[46.5, 15.1]",3893833,0,,,,,2.1954317,,Left Foot,,,"[37.2, 28.0]",,Ground Pass,,15.90283,,Marina Hegering,25491.0,,,,,,1,From Kick Off,Chantal Hagel,46999.0,Left Back,2,Germany Women's,857,['0faaf656-ac08-4eb3-8ec3-37e17c9311f4'],5,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:05.614,Pass,
,,,,,,,,,,,,,,,,,,1.464064,,,,,,,,,,,,091ddbb8-8a43-4954-bfdf-072f89bd0fa3,14,,,"[37.2, 28.0]",3893833,0,,,,,1.3927034,,Right Foot,,,"[43.5, 63.0]",,Ground Pass,,35.56248,,Kathrin Julia Hendrich,10399.0,,,,,,1,From Kick Off,Marina Hegering,25491.0,Left Center Back,2,Germany Women's,857,['bf7d1f5b-6e3a-44d1-8a8a-d209308b2842'],8,,,,,,,,,,,,,,,,,Germany Women's,857,00:00:08.817,Pass,
