50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,2.254498,,,,,,,,,,,,f4247cb3-0c3e-49ea-9147-43156359a2f1,20,,"[82.1, 20.0]",3901734,0,,,,,1.4946972,,Right Foot,,,"[84.7, 54.1]",,Ground Pass,,34.19898,,,,Risa Shimizu,25624.0,,,,,,1,From Kick Off,Mina Tanaka,85500.0,Center Forward,2,Japan Women's,1210,['376b9cf9-3ada-4b9f-a2b3-52f24d96d525'],17,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:17.012,Pass,
,,,,,,,,,,,,,,0.189867,,,,,,,,,,,,078a8973-2379-4abb-a212-192fbbe35e25,24,,"[88.3, 75.4]",3901734,0,,,,,-1.0691923,,Right Foot,,,"[90.0, 72.3]",,Ground Pass,,3.535534,,,Incomplete,Aoba Fujino,401925.0,,,,,,1,From Kick Off,Risa Shimizu,25624.0,Right Wing Back,2,Japan Women's,1210,"['07b72591-b68f-48b3-b5a8-bffb341a9717', '191c590b-e1a6-4761-9ee9-0995072437cc', '7d25e936-edea-438e-a01f-c01f6c758e8c']",22,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:22.770,Pass,True
,,,,,,,,,,,,,,1.499395,,,,,,,,,,,,a4712c92-1909-455d-929c-16d49227871e,27,,"[99.7, 80.0]",3901734,0,,,,,-0.8093936,,,,,"[111.9, 67.2]",,Low Pass,,17.68276,,,,Mina Tanaka,85500.0,,,,,Throw-in,1,From Throw In,Risa Shimizu,25624.0,Right Wing Back,3,Japan Women's,1210,['d9b1e973-5106-42fc-b70f-b06a633d3d6a'],34,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:34.225,Pass,
,,,,,,,,,,,,,,1.242368,,,,,,,,,,,,47c4537c-4d7a-4bf6-bc19-444f595579b9,32,,"[113.6, 69.1]",3901734,0,,,,,2.5722795,,Right Foot,,,"[106.1, 73.9]",,Ground Pass,,8.904493,,,,Risa Shimizu,25624.0,,,,,,1,From Throw In,Mina Tanaka,85500.0,Center Forward,3,Japan Women's,1210,"['0948082a-6c23-46d5-9c67-dfabd0256435', '0a3d3983-fa78-4e55-820e-d836412304a6', '10b13510-55e9-4d46-8e9b-ad9255c10598']",36,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:36.261,Pass,True
,,,,,,,,,,,,,,0.958054,,,,,,,,,,,,7ba33cc1-1dde-47e0-860d-8b8006d114d2,34,,"[106.1, 74.3]",3901734,0,,,,,-1.3213831,,Right Foot,,,"[111.5, 53.1]",,Low Pass,,21.876928,,,Incomplete,Fuka Nagano,299860.0,,,,,,1,From Throw In,Risa Shimizu,25624.0,Right Wing Back,3,Japan Women's,1210,"['3946545b-ccc8-4686-8e1a-f947c6498dc2', '8893ca12-5e18-47ac-ba69-10413d8b0ed8']",37,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:37.503,Pass,
,,,,,,,,,,,,,,0.366145,,,,,,,,,,,,fcc9e720-5e31-47b6-86c1-e0385b2cb640,40,,"[3.5, 28.5]",3901734,0,,,,,-1.8438051,,Left Foot,,,"[2.8, 26.0]",,Ground Pass,,2.596151,,,Incomplete,Tuva Hansen,276288.0,,,,,,1,From Throw In,Ingrid Syrstad Engen,24374.0,Center Defensive Midfield,3,Japan Women's,1210,"['65b7b1d5-9963-4e5e-aaa0-fce3c8f676aa', '95e9f266-31a0-448e-ad18-959ed305a7bd', 'b63f218c-2278-478a-a332-0a8628f9ba4a']",43,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:43.056,Pass,True
,,,,,,,,,,,,,,2.857955,,,,,,,,,,,,87cbc9a9-4117-4a4b-af9c-8817b146ec30,46,,"[117.7, 54.1]",3901734,0,,,,,-1.7853892,,Right Foot,True,,"[114.3, 38.5]",,Low Pass,,15.966214,,,Incomplete,Fuka Nagano,299860.0,,,,,,1,From Throw In,Aoba Fujino,401925.0,Right Attacking Midfield,3,Japan Women's,1210,"['31746ceb-6fef-4b09-b32d-b239d3a12e26', '5fcedcdf-9d67-4d01-aae8-fb363acdd17a', 'bc2c161b-075a-417b-9362-d842f032de42']",45,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:45.159,Pass,True
,,,,,,,,,,,,,,1.568202,,,,,,,,,,,,6811f5e4-0f30-450b-972b-6a604067daed,50,,"[29.0, 30.2]",3901734,0,,,,,0.2104302,,Head,,,"[39.3, 32.4]",,High Pass,,10.532331,,,Incomplete,Sophie Roman Haug,24706.0,,,,,Recovery,1,From Throw In,Guro Reiten,10514.0,Left Center Midfield,3,Japan Women's,1210,"['66276a2c-42c1-48d3-be30-f7e619b17681', '6f58c406-9bd7-4f71-a22f-596254eb0b47']",50,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:50.355,Pass,
,,,,,,,,,,,,,,2.704942,,,,,,,,,,,,e997db51-dee2-4530-adad-47368bd81c48,55,,"[80.8, 49.6]",3901734,0,,,,,0.114876606,,Right Foot,,,"[106.8, 52.6]",,High Pass,,26.172504,,,Incomplete,Aoba Fujino,401925.0,,,,,,1,From Throw In,Jun Endo,25608.0,Left Wing Back,3,Japan Women's,1210,"['2ee8f638-3602-4061-8e17-b77c10207fe5', 'c0fb8729-e36c-4a2d-86ca-33ad90227864']",52,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:52.593,Pass,
,,,,,,,,,,,,,,1.370949,,,,,,,,,,,,ffc7e54c-4910-4e77-9132-31850e8c51dc,58,,"[120.0, 80.0]",3901734,1,,,,,-1.66625,,Left Foot,,,"[117.3, 51.8]",,Ground Pass,,28.32896,,,,Mina Tanaka,85500.0,,,,,Corner,1,From Corner,Jun Endo,25608.0,Left Wing Back,4,Japan Women's,1210,['356e3267-593c-484d-8b34-b38e1893f827'],31,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:01:31.839,Pass,
