50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,c59df9e3-bbd4-4ec3-9e13-35b79035d91f,1,,,,3893790,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria Women's,1213,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 25718, 'name': 'Chiamaka Cynthia Nnadozie'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 106836, 'name': 'Michelle Alozie'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 25470, 'name': 'Osinachi Marvis Ohale'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 338631, 'name': 'Oluwatosin Blessing Demehin'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 135755, 'name': 'Ashleigh Plumptre'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 62908, 'name': 'Christy Onyenaturuchi Ucheibe'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 5022, 'name': 'Francisca Ordega'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 50020, 'name': 'Antionette Oyedupe Payne'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 401723, 'name': 'Deborah Ajibola Abiodun'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 13}, {'player': {'id': 5094, 'name': 'Ifeoma Onumonu'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 6}, {'player': {'id': 24881, 'name': 'Asisat Lamina Oshoala'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Nigeria Women's,1213,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,9e4ffc1d-fe51-4ab0-86bd-a684b787bac6,2,,,,3893790,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria Women's,1213,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 4981, 'name': 'Kailen Mary Iacovoni Sheridan'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 25785, 'name': 'Jayde Yuk Fun Riviere'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 15357, 'name': 'Kadeisha Buchanan'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 3}, {'player': {'id': 30854, 'name': 'Vanessa Brigitte Gilles'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 15290, 'name': 'Ashley Elizabeth Marie Lawrence'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 10}, {'player': {'id': 4951, 'name': 'Rebecca Quinn'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 131645, 'name': 'Julia Angela Grosso'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 25601, 'name': 'Deanne Cynthia Rose'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 6}, {'player': {'id': 5020, 'name': 'Christine Margaret Sinclair'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 12}, {'player': {'id': 8297, 'name': 'Adriana Kristina Leon'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 19}, {'player': {'id': 26091, 'name': 'Jordyn Pamela Huitema'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Canada Women's,1206,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,5a8294a5-6f82-42bb-a70b-94056d74af5e,3,,,,3893790,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria Women's,1213,['cf875924-8c46-474f-b1d8-5d904321a939'],0,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,cf875924-8c46-474f-b1d8-5d904321a939,4,,,,3893790,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Nigeria Women's,1213,['5a8294a5-6f82-42bb-a70b-94056d74af5e'],0,,,,,,,,,,,,,,,,,,Canada Women's,1206,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,b05b1a21-879a-40c7-9105-27b97691d450,1497,,,,3893790,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Canada Women's,1206,['35a4026b-ac13-4b68-9de6-e4ccf9c1d19b'],0,,,,,,,,,,,,,,,,,,Canada Women's,1206,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,35a4026b-ac13-4b68-9de6-e4ccf9c1d19b,1498,,,,3893790,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Canada Women's,1206,['b05b1a21-879a-40c7-9105-27b97691d450'],0,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.223868,,,,,,,,,,,,,,,,1b3e044a-2c2d-4691-8cce-bb5041bd12b8,5,,,"[61.0, 40.1]",3893790,0,,,,2.6224465,,Right Foot,,,"[51.2, 45.7]",Ground Pass,,11.287161,,,Rebecca Quinn,4951.0,,,,,,Kick Off,1,From Kick Off,Jordyn Pamela Huitema,26091.0,Center Forward,2,Canada Women's,1206,['52291cbd-633e-4ebe-9778-3d1b0eaf3afb'],1,,,,,,,,,,,,,,,,,,Canada Women's,1206,00:00:01.947,Pass,
,,,,,,,,,,,,,,,1.336554,,,,,,,,,,,,,,,,e3322496-fdeb-4c02-b277-3884a66edacd,8,,,"[53.0, 46.9]",3893790,0,,,,-0.69798106,,Right Foot,,,"[77.2, 26.6]",High Pass,,31.586864,Incomplete,,Adriana Kristina Leon,8297.0,,,,,,,1,From Kick Off,Rebecca Quinn,4951.0,Right Defensive Midfield,2,Canada Women's,1206,"['3d457385-5ca8-4a37-887c-c13f6694f580', '5bef9263-28db-4f9c-b523-0af8a6fc1d62']",4,,,,,,,,,,,,,,,,,,Canada Women's,1206,00:00:04.629,Pass,
,,,,,,,,,,,,,,,2.138737,,,,,,,,,,,,,,,,3b3966e1-0923-4e30-95c0-b29fc136fa79,12,,,"[39.6, 50.2]",3893790,0,,,,3.1415927,,Right Foot,,,"[20.5, 50.2]",Ground Pass,,19.1,,,Osinachi Marvis Ohale,25470.0,,,,,,,1,Regular Play,Francisca Ordega,5022.0,Right Midfield,3,Nigeria Women's,1213,['62968773-b4e7-43f5-97a4-addaeb66c7bd'],8,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:00:08.134,Pass,
,,,,,,,,,,,,,,,0.415378,,,,,,,,,,,,,,,,a930a281-b58d-469a-9d79-12e17518cd4a,15,,,"[19.9, 49.8]",3893790,0,,,,0.17219082,,Right Foot,,,"[22.2, 50.2]",Low Pass,,2.3345234,Incomplete,,,,,,,,,,1,Regular Play,Osinachi Marvis Ohale,25470.0,Right Center Back,3,Nigeria Women's,1213,"['64e427a6-0273-4a48-b54c-c0dc840d2092', '97744fae-5d67-44ff-b9c6-6e8dead12694']",10,,,,,,,,,,,,,,,,,,Nigeria Women's,1213,00:00:10.272,Pass,True
