ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,214905b4-b4ae-46cf-872d-8d07fa95386c,1,,,3893787,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,New Zealand Women's,1215,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 214481, 'name': 'Victoria Esson'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 21}, {'player': {'id': 25662, 'name': 'Catherine Joan Bott'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 4989, 'name': 'Rebekah Ashley Stott'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 5028, 'name': 'Katie Bowen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 14}, {'player': {'id': 21062, 'name': 'Alexandra Riley'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 18145, 'name': 'Ria Percival'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 2}, {'player': {'id': 401642, 'name': 'Malia Grace Steinmetz'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 66217, 'name': 'Indiah-Paige Janita Riley'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 20}, {'player': {'id': 25663, 'name': 'Elizabeth Doon Hassett'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 12}, {'player': {'id': 392266, 'name': 'Jacqueline Anne Hand'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 16}, {'player': {'id': 25658, 'name': 'Hannah Wilkinson'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",New Zealand Women's,1215,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f90414a7-a7ba-4286-8734-2331d1aae442,2,,,3893787,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,New Zealand Women's,1215,,0,,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 36800, 'name': 'Aurora Watten Mikalsen'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 276303, 'name': 'Thea Bjelde'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 10395, 'name': 'Maren Nævdal Mjelde'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 401645, 'name': 'Mathilde Hauge Harviken'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 276288, 'name': 'Tuva Hansen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 4}, {'player': {'id': 24374, 'name': 'Ingrid Syrstad Engen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 10386, 'name': 'Caroline Graham Hansen'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 10516, 'name': 'Frida Maanum'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 10514, 'name': 'Guro Reiten'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 191851, 'name': 'Julie Blakstad'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 10385, 'name': 'Ada Stolsmo Hegerberg'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Norway Women's,852,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,01cf8840-d0f8-464a-ba89-c156b67f86bb,3,,,3893787,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,New Zealand Women's,1215,['526f583c-694d-48f6-851c-0b395cef250c'],0,,,,,,,,,,,,,,,,,,New Zealand Women's,1215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,526f583c-694d-48f6-851c-0b395cef250c,4,,,3893787,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,New Zealand Women's,1215,['01cf8840-d0f8-464a-ba89-c156b67f86bb'],0,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2c92dec8-dbb2-4226-8232-a005efd50972,1654,,,3893787,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,98,New Zealand Women's,1215,['5d25fe4f-c021-474e-a07e-d0fb4075ec04'],0,,,,,,,,,,,,,,,,,,New Zealand Women's,1215,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,5d25fe4f-c021-474e-a07e-d0fb4075ec04,1655,,,3893787,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,98,New Zealand Women's,1215,['2c92dec8-dbb2-4226-8232-a005efd50972'],0,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.57969,,,,,,,,,,,,,,,6a111288-3966-4be5-a4ce-c74e68123652,5,,"[60.0, 40.0]",3893787,0,,,,,-2.5727448,,Right Foot,,,,"[53.9, 36.1]",,Ground Pass,,7.2401657,,,Malia Grace Steinmetz,401642.0,,,,,,Kick Off,1,From Kick Off,Jacqueline Anne Hand,392266.0,Right Center Forward,2,New Zealand Women's,1215,['67e5d8f9-e099-41d7-8538-a8149e368ecf'],0,,,,,,,,,,,,,,,,,,New Zealand Women's,1215,00:00:00.330,Pass,
,,,,,,,,,,,,,,,,1.844572,,,,,,,,,,,,,,,a0e65b2e-e7c3-4dfb-829b-7c0a16eac07a,8,,"[52.8, 37.1]",3893787,0,,,,,2.20542,,Right Foot,,,,"[34.1, 62.5]",,Ground Pass,,31.541243,,,Catherine Joan Bott,25662.0,,,,,,,1,From Kick Off,Malia Grace Steinmetz,401642.0,Left Defensive Midfield,2,New Zealand Women's,1215,['909cec60-2454-46c5-8d22-66ec23e4e004'],1,,,,,,,,,,,,,,,,,,New Zealand Women's,1215,00:00:01.937,Pass,
,,,,,,,,,,,,,,,,2.423776,,,,,,,,,,,,,,,64d159f6-bb4e-43ad-873d-0f3b902ac84e,11,,"[40.1, 66.2]",3893787,0,,,,,-0.06752016,,Right Foot,,,,"[88.9, 62.9]",,High Pass,,48.91145,,Incomplete,Hannah Wilkinson,25658.0,,,,,,,1,From Kick Off,Catherine Joan Bott,25662.0,Right Back,2,New Zealand Women's,1215,"['db1aa0dd-1a82-4b19-b757-d55d6a0ac64e', 'e4ecb7bd-4457-4d68-9746-ef1288d68647']",5,,,,,,,,,,,,,,,,,,New Zealand Women's,1215,00:00:05.737,Pass,
,,,,,,,,,,,,,,,,1.335481,,,,,,,,,,,,,,,e4ecb7bd-4457-4d68-9746-ef1288d68647,13,,"[31.2, 17.2]",3893787,0,,,,,-0.37372681,,Head,,,,"[46.5, 11.2]",,High Pass,,16.434416,,,Julie Blakstad,191851.0,,,,,,Recovery,1,Regular Play,Mathilde Hauge Harviken,401645.0,Left Center Back,3,Norway Women's,852,"['64d159f6-bb4e-43ad-873d-0f3b902ac84e', 'a4deedee-782d-432c-adc3-47e0909b8847']",8,,,,,,,,,,,,,,,,,,Norway Women's,852,00:00:08.160,Pass,
