ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a8a51652-4723-40ec-b8d9-1d163d5d7747,1,,,3902239,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan Women's,1210,,0,,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 25627, 'name': 'Ayaka Yamashita'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 401926, 'name': 'Hana Takahashi'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 15257, 'name': 'Saki Kumagai'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 25638, 'name': 'Moeka Minami'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25624, 'name': 'Risa Shimizu'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 25635, 'name': 'Hina Sugita'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 6}, {'player': {'id': 299860, 'name': 'Fuka Nagano'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 25632, 'name': 'Yui Hasegawa'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 401925, 'name': 'Aoba Fujino'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 15}, {'player': {'id': 401932, 'name': 'Hinata Miyazawa'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 7}, {'player': {'id': 85500, 'name': 'Mina Tanaka'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Japan Women's,1210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,397db4ab-04b6-4a4b-bbcf-dd25d4e0bfba,2,,,3902239,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan Women's,1210,,0,,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 62713, 'name': 'Zecira Musovic'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 26093, 'name': 'Gun Nathalie Björn'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 14}, {'player': {'id': 26092, 'name': 'Amanda Ilestedt'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 13}, {'player': {'id': 4633, 'name': 'Magdalena Lilly Eriksson'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 10222, 'name': 'Jonna Ann-Charlotte Andersson'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 62666, 'name': 'Ingrid Filippa Angeldal'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 10221, 'name': 'Elin Ingrid Johanna Rubensson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 23}, {'player': {'id': 62710, 'name': 'Johanna Rytting-Kaneryd'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 19}, {'player': {'id': 10220, 'name': 'Kosovare Asllani'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 10215, 'name': 'Fridolina Rolfö'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 18}, {'player': {'id': 10229, 'name': 'Emma Stina Blackstenius'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Sweden Women's,858,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9df85f8a-42a3-4512-975a-05fc9d3d643f,3,,,3902239,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan Women's,1210,['51981bb4-fed9-4d34-9678-4c8ed48461c2'],0,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,51981bb4-fed9-4d34-9678-4c8ed48461c2,4,,,3902239,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan Women's,1210,['9df85f8a-42a3-4512-975a-05fc9d3d643f'],0,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a20c7a74-ef1b-49b4-bcde-04ebf8ad4476,2145,,,3902239,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Sweden Women's,858,['8779e354-b196-4884-9a9a-8ac4db822f4e'],0,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8779e354-b196-4884-9a9a-8ac4db822f4e,2146,,,3902239,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,86,Sweden Women's,858,['a20c7a74-ef1b-49b4-bcde-04ebf8ad4476'],0,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,2.717417,,,,,,,,,,,,,,e5918282-9ec9-4104-a8d1-e4db24e90cd2,5,,"[60.0, 40.0]",3902239,0,,,,,-2.821736,,Right Foot,,,,"[28.3, 29.5]",Ground Pass,,33.39371,,,,Ayaka Yamashita,25627.0,,,,,Kick Off,1,From Kick Off,Aoba Fujino,401925.0,Right Wing,2,Japan Women's,1210,['de4b6e75-edae-404f-8306-8a49c0d36895'],1,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:01.318,Pass,
,,,,,,,,,,,,,,,,3.339769,,,,,,,,,,,,,,1b3f4d7d-6ddb-43e7-8ce9-f407ebc3af2b,8,,"[27.2, 23.2]",3902239,0,,,,,-0.35034755,,Left Foot,,,,"[78.1, 4.6]",High Pass,,54.191975,,,,Mina Tanaka,85500.0,,,,,,1,From Kick Off,Ayaka Yamashita,25627.0,Goalkeeper,2,Japan Women's,1210,['848ee681-1a52-4133-a265-9d55915a002e'],5,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:05.701,Pass,
,,,,,,,,,,,,,,,,0.737274,,,,,,,,,,,,,,0708b8c4-f43c-4926-b4a6-2f472a738698,12,,"[37.0, 70.3]",3902239,0,,,,,0.9391057,,Right Foot,,,,"[40.0, 74.4]",Ground Pass,,5.080354,,,,Gun Nathalie Björn,26093.0,,,,,Recovery,1,From Kick Off,Ingrid Filippa Angeldal,62666.0,Right Defensive Midfield,2,Japan Women's,1210,['085b0c24-a68e-48f6-9bd0-a5f40175a17a'],10,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:10.296,Pass,
,,,,,,,,,,,,,,,,0.50737,,,,,,,,,,,,,,fea9e326-2cff-4ae1-ba7a-e3a7e3960159,16,,"[39.4, 74.8]",3902239,0,,,,,-1.6951513,,Right Foot,,,,"[39.0, 71.6]",Ground Pass,,3.224903,,Incomplete,,Ingrid Filippa Angeldal,62666.0,,,,,,1,From Kick Off,Gun Nathalie Björn,26093.0,Right Back,2,Japan Women's,1210,"['5830fcd4-7bf0-4114-afe0-104345ee333c', '7d418c49-02b4-4bbb-b993-d46aad5df26a', 'c0ca846b-4242-4f26-9efe-b63496f6bcaa']",11,,,,,,,,,,,,,,,,,,Sweden Women's,858,00:00:11.605,Pass,True
