50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b7021afd-2b71-4a3d-8dc4-15d248c030ac,1,,,3893797,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 32339, 'name': 'Daphne van Domselaar'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10645, 'name': 'Sherida Spitse'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 8}, {'player': {'id': 10647, 'name': 'Stephanie van der Gragt'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 3}, {'player': {'id': 10666, 'name': 'Dominique Johanna Anna Petrone Janssen'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 63788, 'name': 'Victoria Pelova'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 17}, {'player': {'id': 62962, 'name': 'Esmee Brugts'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 22}, {'player': {'id': 10654, 'name': 'Jackie Groenen'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 10650, 'name': 'Jill Roord'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 10658, 'name': 'Danielle van de Donk'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 10656, 'name': 'Lineth Beerensteyn'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 10649, 'name': 'Lieke Martens'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Netherlands Women's,851,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,5805592c-a2de-4fe2-a6a5-2d8e8a149fb3,2,,,3893797,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,,0,,,,,,,,,,,,,,,,"{'formation': 3412, 'lineup': [{'player': {'id': 34872, 'name': 'Inês Teixeira Pereira'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 10141, 'name': 'Ana Borges'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 9}, {'player': {'id': 10162, 'name': 'Carole da Silva Costa'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 15}, {'player': {'id': 32143, 'name': 'Diana Catarina Ribeiro Gomes'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 10167, 'name': 'Tatiana Vanessa Ferreira Pinto'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 11}, {'player': {'id': 62905, 'name': 'Catarina Amado'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 2}, {'player': {'id': 10140, 'name': 'Dolores Isabel Jacome Silva'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 34873, 'name': 'Fátima Alexandra Figueira Pinto'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 13}, {'player': {'id': 34875, 'name': 'Andreia Alexandra Norton'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 32054, 'name': 'Jéssica da Silva'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 10159, 'name': 'Diana Micaela Abreu de Sousa e Silva'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 16}]}",Portugal Women's,864,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,3c309c2b-3ef7-4869-b7f6-9a939648d569,3,,,3893797,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,['95dc72d2-34bf-4ac9-994e-a09e2a1d73ef'],0,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,95dc72d2-34bf-4ac9-994e-a09e2a1d73ef,4,,,3893797,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Netherlands Women's,851,['3c309c2b-3ef7-4869-b7f6-9a939648d569'],0,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,894e5dcb-3464-4384-9aad-3cbd18e30a9b,1590,,,3893797,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,111,Portugal Women's,864,['81686be1-f97a-4a2b-a1c7-da6fece67d98'],0,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,81686be1-f97a-4a2b-a1c7-da6fece67d98,1591,,,3893797,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,111,Portugal Women's,864,['894e5dcb-3464-4384-9aad-3cbd18e30a9b'],0,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.367279,,,,,,,,,,,,,c8208b9f-a842-4f90-aba8-eef4a0474234,5,,"[60.0, 40.0]",3893797,0,,,,,-2.9126287,,Right Foot,,,"[36.4, 34.5]",,Ground Pass,,24.232416,,Stephanie van der Gragt,10647.0,,,,,,Kick Off,1,From Kick Off,Jackie Groenen,10654.0,Center Defensive Midfield,2,Netherlands Women's,851,['b5962fd7-af5e-4707-9e4f-b65c99bbdf5c'],0,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:00.386,Pass,
,,,,,,,,,,,,,,,,,1.475626,,,,,,,,,,,,,80fc504b-2971-48de-85e4-0d8fa005ff4f,8,,"[37.1, 35.3]",3893797,0,,,,,0.033967514,,Right Foot,,,"[78.3, 36.7]",,High Pass,,41.223778,,Danielle van de Donk,10658.0,,,,,,,1,From Kick Off,Stephanie van der Gragt,10647.0,Center Back,2,Netherlands Women's,851,['adf1c9cc-0320-4d26-8a05-3a2cafb75cdf'],3,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:03.447,Pass,
,,,,,,,,,,,,,,,,,2.672522,,,,,,,,,,,,,7ce382f2-cc40-4e7f-bb75-2ed4313ce01b,10,,"[78.8, 36.7]",3893797,0,,,,,1.297234,,Head,,,"[88.2, 70.2]",,High Pass,,34.79382,,Victoria Pelova,63788.0,,,,,,,1,From Kick Off,Danielle van de Donk,10658.0,Left Center Midfield,2,Netherlands Women's,851,['9f0e494a-67ac-4e56-8cbd-5c8140707807'],5,,,,,,,,,,,,,,,,,Netherlands Women's,851,00:00:05.046,Pass,
,,,,,,,,,,,,,,,,,1.695059,,,,,,,,,,,,,58877530-b211-422d-9bb4-bf2ee4dc4306,15,,"[30.3, 0.1]",3893797,0,,,,,0.3332443,,,,,"[53.7, 8.2]",,High Pass,,24.76227,,Diana Micaela Abreu de Sousa e Silva,10159.0,,,,,,Throw-in,1,From Throw In,Catarina Amado,62905.0,Left Wing Back,3,Portugal Women's,864,['cd26f198-b3b2-4301-bc3f-00448a3f4d1d'],20,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:20.574,Pass,
,,,,,,,,,,,,,,,,,0.17819,,,,,,,,,,,,,f720ec70-2f97-433c-b7dc-9fb969231793,19,,"[56.0, 6.8]",3893797,0,,,,,-3.0681953,,Right Foot,,,"[49.2, 6.3]",,Ground Pass,,6.8183575,Incomplete,Catarina Amado,62905.0,,,,,,,1,From Throw In,Diana Micaela Abreu de Sousa e Silva,10159.0,Left Center Forward,3,Portugal Women's,864,"['08d87c60-3156-4cf8-8f8e-b7fadc497060', '7cff2c8e-eaf4-430b-9333-deea0d37ec0e', 'b279e4de-1c15-4425-beef-4eb7b691a4df']",23,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:23.720,Pass,True
,,,,,,,,,,,,,,,,,0.994366,,,,,,,,,,,,,5cc99043-9a27-427f-831e-1388095fed40,22,,"[58.4, 0.1]",3893797,0,,,,,0.28858736,,,,,"[77.6, 5.8]",,Low Pass,,20.02823,Incomplete,Diana Micaela Abreu de Sousa e Silva,10159.0,,,,,,Throw-in,1,From Throw In,Catarina Amado,62905.0,Left Wing Back,4,Portugal Women's,864,"['61310e95-bcdd-4536-a39b-b83310ace956', '7c4ecfcb-e3b0-416c-af4f-6433169bbd85']",36,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:36.488,Pass,
,,,,,,,,,,,,,,,,,0.791115,,,,,,,,,,,,,11c15dc1-f8de-45ab-b84e-8cc239ae5ea9,26,,"[75.6, 20.7]",3893797,0,,,,True,-0.09431395,,,,,"[83.0, 20.0]",,Low Pass,,7.4330344,,Diana Micaela Abreu de Sousa e Silva,10159.0,,,,,,Recovery,1,From Throw In,Andreia Alexandra Norton,34875.0,Center Attacking Midfield,4,Portugal Women's,864,"['13af6fb8-c4c6-49aa-8638-565d0bcbff1a', '9f9d0885-f8b9-4e70-8a3d-20edbf664385']",39,,,,,,,,,,,,,,,,,Portugal Women's,864,00:00:39.797,Pass,True
