50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7f702fff-e2bd-4728-9dac-66265964763e,1,,,3893805,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan Women's,1210,,0,,,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 25627, 'name': 'Ayaka Yamashita'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 131814, 'name': 'Shiori Miyake'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 15257, 'name': 'Saki Kumagai'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 4}, {'player': {'id': 25638, 'name': 'Moeka Minami'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 25624, 'name': 'Risa Shimizu'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 2}, {'player': {'id': 25635, 'name': 'Hina Sugita'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 6}, {'player': {'id': 25632, 'name': 'Yui Hasegawa'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 131653, 'name': 'Honoka Hayashi'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 401925, 'name': 'Aoba Fujino'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 15}, {'player': {'id': 401929, 'name': 'Hikaru Naomoto'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 85500, 'name': 'Mina Tanaka'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Japan Women's,1210,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,72d0d461-d04a-44ce-85ca-7b8f755e84b2,2,,,3893805,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan Women's,1210,,0,,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 401802, 'name': 'Daniela Solera Vega'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 401803, 'name': 'María Paula Coto González'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 401808, 'name': 'Fabiola Villalobos Morales'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 20}, {'player': {'id': 34477, 'name': 'Mariana De Los Angeles Benavidez'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 294448, 'name': 'María Paula Elizondo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 401804, 'name': 'Cristín Yorleny Granados Gómez'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 34480, 'name': 'Katherine Maria Alvarado Aguilar'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 30958, 'name': 'Melissa Herrera Monge'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 7}, {'player': {'id': 34485, 'name': 'Gabriela Guillén Alvarez'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 2}, {'player': {'id': 34478, 'name': 'María Paula Salas'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 9}, {'player': {'id': 34483, 'name': 'Priscila Chinchilla'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 14}]}",Costa Rica Women's,1832,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d2fcc0ba-2a16-4bfe-aa43-1142129cb276,3,,,3893805,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan Women's,1210,['059922fa-7502-4748-9356-3fb3e751c8ca'],0,,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,059922fa-7502-4748-9356-3fb3e751c8ca,4,,,3893805,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Japan Women's,1210,['d2fcc0ba-2a16-4bfe-aa43-1142129cb276'],0,,,,,,,,,,,,,,,,,,,Costa Rica Women's,1832,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,09a5b96d-35a6-4257-99fd-ede57a2bcf08,1865,,,3893805,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Japan Women's,1210,['a2ba8c23-bf12-4caa-a3f3-40755e93c0db'],0,,,,,,,,,,,,,,,,,,,Costa Rica Women's,1832,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a2ba8c23-bf12-4caa-a3f3-40755e93c0db,1866,,,3893805,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Japan Women's,1210,['09a5b96d-35a6-4257-99fd-ede57a2bcf08'],0,,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,2.489491,,,,,,,,,,,,,282a95ac-d267-4a24-9648-4874c112078e,5,,"[60.0, 40.0]",3893805,0,,,,-2.9729397,,Right Foot,,,,"[23.0, 33.7]",,Ground Pass,,37.53252,,,Ayaka Yamashita,25627.0,,,,,,Kick Off,1,From Kick Off,Aoba Fujino,401925.0,Right Attacking Midfield,2,Japan Women's,1210,['9a6552bb-2b57-4630-8db8-78be393479ac'],0,,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:00.401,Pass,
,,,,,,,,,,,,,,,,,,2.826899,,,,,,,,,,,,,1a7d9d6c-cfa9-4afb-bb4e-a3e697f19cf1,8,,"[22.7, 30.3]",3893805,0,,,,-0.19887157,,Left Foot,,,,"[74.8, 19.8]",,High Pass,,53.14753,,,Mina Tanaka,85500.0,,,,,,,1,From Kick Off,Ayaka Yamashita,25627.0,Goalkeeper,2,Japan Women's,1210,['b78594a0-f001-4ca9-b618-2a3a48a66c77'],4,,,,,,,,,,,,,,,,,,,Japan Women's,1210,00:00:04.491,Pass,
,,,,,,,,,,,,,,,,,,1.167366,,,,,,,,,,,,,90570149-2945-4495-821e-0100152459db,13,,"[35.7, 55.3]",3893805,0,,,,0.09406123,,Head,,,,"[41.0, 55.8]",,Low Pass,,5.3235326,,,Cristín Yorleny Granados Gómez,401804.0,,,,,,Recovery,1,Regular Play,Katherine Maria Alvarado Aguilar,34480.0,Left Defensive Midfield,3,Costa Rica Women's,1832,['378a6415-55a9-4596-b91f-e8188f3df6d9'],10,,,,,,,,,,,,,,,,,,,Costa Rica Women's,1832,00:00:10.559,Pass,
,,,,,,,,,,,,,,,,,,1.804912,,,,,,,,,,,,,a474f595-7ec9-49f1-bf6e-ab9fb6fcfc53,18,,"[36.5, 55.7]",3893805,0,,,,-2.2485976,,Right Foot,,,,"[23.7, 39.8]",,Ground Pass,,20.412006,,,Mariana De Los Angeles Benavidez,34477.0,,,,,,,1,Regular Play,Cristín Yorleny Granados Gómez,401804.0,Right Defensive Midfield,3,Costa Rica Women's,1832,"['ade1f90e-cc38-4473-868d-b76d32b22d80', 'ed350ddd-6dc9-4ea4-9cb6-4a2cce2b47b8']",13,,,,,,,,,,,,,,,,,,,Costa Rica Women's,1832,00:00:13.214,Pass,True
