50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,01349df9-0727-4775-a8fb-3fe9a437f934,1,,,,3893815,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 15615, 'name': 'Pauline Peyraud Magnin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 16}, {'player': {'id': 10418, 'name': 'Eve Perisset'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 22}, {'player': {'id': 31784, 'name': 'Maëlle Lakrar'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 10125, 'name': 'Wendie Renard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 10117, 'name': 'Sakina Karchaoui'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 10272, 'name': 'Onema Grace Geyoro'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 30971, 'name': 'Sandie Toletti'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 15421, 'name': 'Kenza Dali'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 15}, {'player': {'id': 15471, 'name': 'Selma Bacha'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 13}, {'player': {'id': 10121, 'name': 'Eugénie Le Sommer'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 10137, 'name': 'Kadidiatou Diani'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",France Women's,861,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5c92a917-6431-4bf5-b196-05fd32330628,2,,,,3893815,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 131581, 'name': 'Letícia Izidoro Lima da Silva'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 50003, 'name': 'Antonia Ronnycleide da Costa Silva'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 182466, 'name': 'Lauren Eduarda Leal Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 14}, {'player': {'id': 131570, 'name': 'Rafaelle Leone Carvalho Souza'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 25559, 'name': 'Tamires Cássia Dias de Britto'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 6}, {'player': {'id': 105708, 'name': 'Kerolin Nicoli Israel Ferraz'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 25743, 'name': 'Luana Bertolucci Paixão'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 389488, 'name': 'Ariadina Alves Borges'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 389489, 'name': 'Adriana Leal da Silva'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 25543, 'name': 'Geyse da Silva Ferreira'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 5044, 'name': 'Débora Cristiane de Oliveira'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Brazil Women's,1203,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,1a4a78a6-1e4c-4c9c-9272-af5457e8f960,3,,,,3893815,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,['d9ba4003-b311-4569-83f9-17d896250b03'],0,,,,,,,,,,,,,,,,,France Women's,861,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,d9ba4003-b311-4569-83f9-17d896250b03,4,,,,3893815,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,France Women's,861,['1a4a78a6-1e4c-4c9c-9272-af5457e8f960'],0,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ecbbafc9-f957-49a7-821f-8506d18b61c2,1585,,,,3893815,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,127,France Women's,861,['0699c5f4-ada9-44a0-a669-e3f398065500'],0,,,,,,,,,,,,,,,,,France Women's,861,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0699c5f4-ada9-44a0-a669-e3f398065500,1586,,,,3893815,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,127,France Women's,861,['ecbbafc9-f957-49a7-821f-8506d18b61c2'],0,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.063678,,,,,,,,,,,,c6051ffa-50bc-42b7-86d8-901f388b92a7,5,,,"[60.0, 40.0]",3893815,0,,,,-2.7495356,,Right Foot,,,"[49.6, 35.7]",,Ground Pass,,11.253888,,,,Sandie Toletti,30971.0,,,,,Kick Off,1,From Kick Off,Eugénie Le Sommer,10121.0,Right Center Forward,2,France Women's,861,['f532ac8f-17c0-4c5b-aca3-98470cc912f0'],0,,,,,,,,,,,,,,,,,France Women's,861,00:00:00.119,Pass,
,,,,,,,,,,,,,,,,,2.43928,,,,,,,,,,,,8ec6e13b-54cb-4009-ac4a-844615f8284c,8,,,"[47.5, 37.1]",3893815,0,,,,2.0150461,,Right Foot,,,"[36.6, 60.0]",,Ground Pass,,25.361782,,,,Eve Perisset,10418.0,,,,,,1,From Kick Off,Sandie Toletti,30971.0,Left Defensive Midfield,2,France Women's,861,['61ecdacf-e42e-445f-9b82-4501437fc49f'],1,,,,,,,,,,,,,,,,,France Women's,861,00:00:01.788,Pass,
,,,,,,,,,,,,,,,,,3.089762,,,,,,,,,,,,0bb0baed-80c3-4267-9236-ce69aad5b6dd,11,,,"[38.5, 65.2]",3893815,0,,,,0.08727771,,Right Foot,,,"[86.5, 69.4]",,High Pass,,48.1834,,Incomplete,,,,,,,,,1,From Kick Off,Eve Perisset,10418.0,Right Back,2,France Women's,861,['72b65b49-131f-4311-8c73-2b0fe7e7a3ac'],5,,,,,,,,,,,,,,,,,France Women's,861,00:00:05.174,Pass,
,,,,,,,,,,,,,,,,,1.649085,,,,,,,,,,,,72b65b49-131f-4311-8c73-2b0fe7e7a3ac,12,,,"[33.6, 10.7]",3893815,0,,,,-0.15722805,,Head,,,"[50.0, 8.1]",,High Pass,,16.604818,,,,Débora Cristiane de Oliveira,5044.0,,,,,Recovery,1,Regular Play,Tamires Cássia Dias de Britto,25559.0,Left Back,3,Brazil Women's,1203,"['0bb0baed-80c3-4267-9236-ce69aad5b6dd', 'e13f5ba5-b55c-4964-8608-ab0ae89b9001']",8,,,,,,,,,,,,,,,,,Brazil Women's,1203,00:00:08.264,Pass,
