50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.908338,,,,,,,,,,,,,,9f06ff34-c0c4-4665-9617-4a5ed43fd366,18,,,"[55.4, 15.4]",3893798,0,,,,1.9486059,,Left Foot,,,,"[42.7, 47.4]",Ground Pass,,34.42804,,,,Wendie Renard,10125.0,,,,,,,1,From Kick Off,Estelle Cascarino,31783.0,Left Center Back,2,France Women's,861,['3f24a900-ac33-422e-a32c-b5686a32efb6'],13,,,,,,,,,,,,,,,,France Women's,861,00:00:13.878,Pass,
,,,,,,,,,,,,,,,,,,0.862475,,,,,,,,,,,,,,3b68ec70-8462-4d3d-8839-e70e231481ec,21,,,"[40.0, 49.5]",3893798,0,,,,0.51806855,,Right Foot,,,,"[50.0, 55.2]",Ground Pass,,11.51043,,,,Onema Grace Geyoro,10272.0,,,,,,,1,From Kick Off,Wendie Renard,10125.0,Right Center Back,2,France Women's,861,['61875c90-961a-4324-a5e7-454f939970f3'],17,,,,,,,,,,,,,,,,France Women's,861,00:00:17.175,Pass,
,,,,,,,,,,,,,,,,,,1.414662,,,,,,,,,,,,,,db0c6682-cf00-4101-bcf1-22def4ca1e41,24,,,"[49.7, 60.7]",3893798,0,,,,-1.9739989,,Right Foot,,,,"[43.6, 46.4]",Ground Pass,,15.546704,,,,Wendie Renard,10125.0,,,,,,,1,From Kick Off,Onema Grace Geyoro,10272.0,Right Defensive Midfield,2,France Women's,861,['e0dcfadc-fd9a-42f5-bf1f-952391146988'],21,,,,,,,,,,,,,,,,France Women's,861,00:00:21.885,Pass,
,,,,,,,,,,,,,,,,,,1.571434,,,,,,,,,,,,,,7165775c-573b-41cf-8d8f-be3fe9cf6958,27,,,"[48.7, 44.4]",3893798,0,,,,-1.3399439,,Right Foot,,,,"[54.2, 21.0]",Ground Pass,,24.03768,,,,Estelle Cascarino,31783.0,,,,,,,1,From Kick Off,Wendie Renard,10125.0,Right Center Back,2,France Women's,861,['fec73bf7-223a-403f-ba70-8b825ebe8357'],25,,,,,,,,,,,,,,,,France Women's,861,00:00:25.068,Pass,
,,,,,,,,,,,,,,,,,,0.989488,,,,,,,,,,,,,,0ee63c90-6b27-48e2-81ca-7f5af840a810,31,,,"[68.5, 15.0]",3893798,0,,,,-0.5175989,,Left Foot,,,,"[89.4, 3.1]",Ground Pass,,24.050364,,,,Sakina Karchaoui,10117.0,,,,,,,1,From Kick Off,Estelle Cascarino,31783.0,Left Center Back,2,France Women's,861,"['bfeeddd0-76a1-4d1b-9813-9aa9469a9b18', 'fdbd7619-a79a-46ab-a9a3-7268490b7f4b']",29,,,,,,,,,,,,,,,,France Women's,861,00:00:29.130,Pass,True
,,,,,,,,,,,,,,,,,,1.653448,,,,,,,,,,,,,,ae06fe9a-f6ad-4c48-9e6b-c7b897b27ae7,36,,,"[21.6, 75.3]",3893798,0,,,,0.053667426,,Right Foot,,,,"[45.8, 76.6]",High Pass,,24.234892,,Incomplete,,Khadija Monifa Shaw,25554.0,,,,,,Recovery,1,From Kick Off,Drew Spence,4638.0,Right Defensive Midfield,2,France Women's,861,"['842056bf-a6af-45a7-b88f-158434b91eaa', 'c62290f5-a29a-43eb-ae01-c63085fa9e88']",37,,,,,,,,,,,,,,,,Jamaica Women's,1212,00:00:37.145,Pass,
,,,,,,,,,,,,,,,,,,1.685205,,,,,,,,,,,,,,237c92b9-c495-4454-88da-76f1443bc108,40,,,"[78.4, 10.4]",3893798,0,,,,1.6012437,,Left Foot,,,,"[77.8, 30.1]",Ground Pass,,19.709135,,,,Onema Grace Geyoro,10272.0,,,,,,,1,From Kick Off,Estelle Cascarino,31783.0,Left Center Back,2,France Women's,861,['aec6543d-86df-4311-ab3b-c1256c8b9bec'],40,,,,,,,,,,,,,,,,France Women's,861,00:00:40.245,Pass,
,,,,,,,,,,,,,,,,,,2.254423,,,,,,,,,,,,,,d210deb7-a998-4e70-8209-30a3079e5fe0,43,,,"[73.1, 31.2]",3893798,0,,,,1.6720878,,Right Foot,,,,"[70.0, 61.7]",Ground Pass,,30.657137,,,,Maëlle Lakrar,31784.0,,,,,,,1,From Kick Off,Onema Grace Geyoro,10272.0,Right Defensive Midfield,2,France Women's,861,['13488fa9-21d7-44ae-9723-aae470a25437'],43,,,,,,,,,,,,,,,,France Women's,861,00:00:43.928,Pass,
,,,,,,,,,,,,,,,,,,1.167496,,,,,,,,,,,,,,34116007-6167-4bd4-88db-e0ff5fca883f,46,,,"[74.7, 73.9]",3893798,0,,,,-0.32918537,,Right Foot,,,,"[90.8, 68.4]",Ground Pass,,17.013523,,Incomplete,,Kadidiatou Diani,10137.0,,,,,,,1,From Kick Off,Maëlle Lakrar,31784.0,Right Back,2,France Women's,861,"['6289e8e8-0ed8-4533-9e35-a260606ded68', 'eb190420-b3e9-4723-9cd1-1456cf17d51a']",47,,,,,,,,,,,,,,,,France Women's,861,00:00:47.892,Pass,
,,,,,,,,,,,,,,,,,,1.91162,,,,,,,,,,,,,,e1bb3621-8c56-4dae-a513-6c9ff0a9a120,50,,,"[89.5, 80.0]",3893798,0,True,,,-1.4574629,,,,,,"[90.9, 67.7]",Low Pass,,12.379418,,,,Onema Grace Geyoro,10272.0,,,,,,Throw-in,1,From Throw In,Maëlle Lakrar,31784.0,Right Back,3,France Women's,861,['bfbbcc95-a553-4239-a03e-915a50aed650'],55,,,,,,,,,,,,,,,,France Women's,861,00:00:55.740,Pass,
