bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.808559,,,,,,,,,,,,,,,,b16435e7-4b0e-447e-ab00-aa56bc1eeb8b,16,,,"[27.9, 23.9]",3893834,0,,,,-1.0378648,,Right Foot,,,"[40.7, 2.2]",Ground Pass,,25.193848,,,Manuela Vanegas Cataño,49945.0,,,,,,1,From Throw In,Daniela Alexandra Árias Rojas,403277.0,Left Center Back,3,Colombia Women's,16802,['5b7341c6-e7cc-459e-83f0-cbe16d4b8f66'],27,,,,,,,,,,,,,,,,,,Colombia Women's,16802,00:00:27.330,Pass,
,,,,,,,,,,,,,,,,,,2.872015,,,,,,,,,,,,,,,,be41565f-f191-4ef7-b47d-f69e1b2439c5,19,,,"[40.7, 4.7]",3893834,0,,,,1.775386,,Left Foot,,,"[33.5, 39.4]",Ground Pass,,35.439102,,,Jorelyn Andrea Daniela Carabalí Martínez,388473.0,,,,,,1,From Throw In,Manuela Vanegas Cataño,49945.0,Left Back,3,Colombia Women's,16802,['bca01476-6cc9-4ef6-8470-b7a0465b9543'],30,,,,,,,,,,,,,,,,,,Colombia Women's,16802,00:00:30.863,Pass,
,,,,,,,,,,,,,,,,,,1.912338,,,,,,,,,,,,,,,,6e9267e4-1b39-4938-ac06-87653a810c52,22,,,"[38.7, 53.8]",3893834,0,,,,-0.015052627,,Right Foot,,,"[85.2, 53.1]",High Pass,,46.50527,Incomplete,,,,,,,,,1,From Throw In,Jorelyn Andrea Daniela Carabalí Martínez,388473.0,Right Center Back,3,Colombia Women's,16802,['6e516020-9bb6-40f2-8af6-c1e4e011598e'],35,,,,,,,,,,,,,,,,,,Colombia Women's,16802,00:00:35.738,Pass,
,,,,,,,,,,,,,,,,,,2.429095,,,,,,,,,,,,,,,,6e516020-9bb6-40f2-8af6-c1e4e011598e,23,,,"[34.9, 27.0]",3893834,0,,,,-0.2283617,,Right Foot,,,"[67.6, 19.4]",High Pass,,33.571564,,,Anissa Lahmari,31629.0,,,,,Recovery,1,Regular Play,Nouhaila Benzina,402660.0,Left Center Back,4,Morocco Women's,2391,"['6e9267e4-1b39-4938-ac06-87653a810c52', 'ffd01f82-feec-455c-b832-7cee9f0dde4c']",37,,,,,,,,,,,,,,,,,,Morocco Women's,2391,00:00:37.650,Pass,
,,,,,,,,,,,,,,,,,,1.604872,,,,,,,,,,,,,,,,eec911c3-7ec6-4717-b382-aaf110bf7226,25,,,"[67.6, 19.2]",3893834,0,,,,-1.8925469,,Other,,,"[64.6, 10.2]",Low Pass,,9.486833,,,Fatima Zahra Tagnaout,402666.0,,,,,,1,Regular Play,Anissa Lahmari,31629.0,Center Attacking Midfield,4,Morocco Women's,2391,['e4c0df0a-f9b9-49bd-a55e-a40a3c98a562'],40,,,,,,,,,,,,,,,,,,Morocco Women's,2391,00:00:40.079,Pass,
,,,,,,,,,,,,,,,,,,0.912939,,,,,,,,,,,,,,,,526bdd83-2b47-4d38-a5cb-5eea2ee7fab1,28,,,"[64.6, 10.2]",3893834,0,,,,1.6571198,,Left Foot,,,"[63.7, 20.6]",Ground Pass,,10.438869,,,Ghizlane Chebbak,402663.0,,,,,,1,Regular Play,Fatima Zahra Tagnaout,402666.0,Left Midfield,4,Morocco Women's,2391,['a1763549-3aa0-4c02-a71a-853010eba1ad'],42,,,,,,,,,,,,,,,,,,Morocco Women's,2391,00:00:42.276,Pass,
,,,,,,,,,,,,,,,,,,4.501427,,,,,,,,,,,,,,,,d00cd89c-5bf5-4a9e-8c33-cf8fdefde979,31,,,"[67.6, 24.0]",3893834,0,,,,-0.19655381,afd2df24-406f-432c-97b5-bec83cdff313,Right Foot,,,"[113.3, 14.9]",Low Pass,,46.59721,,,Ibtissam Jraïdi,402661.0,True,,,,,1,Regular Play,Ghizlane Chebbak,402663.0,Left Defensive Midfield,4,Morocco Women's,2391,['a7fb91d0-3f8f-4383-a0be-cd3b39f7bda3'],43,,,,,,,,,,,,,,,,,,Morocco Women's,2391,00:00:43.992,Pass,
,,,,,,,,,,,,,,,,,,0.641233,,,,,,,,,,,,,,,,2b5ea737-7153-4b81-bfc7-45037942a864,36,,,"[120.0, 0.1]",3893834,1,,,,2.3074527,,Right Foot,,,"[116.1, 4.4]",Ground Pass,,5.80517,,,Fatima Zahra Tagnaout,402666.0,,,,,Corner,1,From Corner,Ghizlane Chebbak,402663.0,Left Defensive Midfield,5,Morocco Women's,2391,['909a8ce3-e9d8-4435-a6a8-0e34f2409414'],23,,,,,,,,,,,,,,,,,,Morocco Women's,2391,00:01:23.618,Pass,
,,,,,,,,,,,,,,,,,,0.876815,,,,,,,,,,,,,,,,3c5e5631-c709-4232-98bc-503475c6196c,38,,,"[116.1, 4.9]",3893834,1,,,,0.0,,Left Foot,,,"[117.0, 4.9]",Ground Pass,,0.9,,,Ghizlane Chebbak,402663.0,,,,,,1,From Corner,Fatima Zahra Tagnaout,402666.0,Left Midfield,5,Morocco Women's,2391,['9f0e194d-ef12-43a8-a317-c72443f671c1'],24,,,,,,,,,,,,,,,,,,Morocco Women's,2391,00:01:24.259,Pass,
,,,,,,,,,,,,,,,,,,1.324736,,,,,,,,,,,,,,,,329365f6-423b-49ac-89c7-9696a23825a4,40,,,"[116.3, 4.9]",3893834,1,,,,1.4504654,,Right Foot,True,,"[120.0, 35.5]",High Pass,,30.822882,Incomplete,,,,,,,,,1,From Corner,Ghizlane Chebbak,402663.0,Left Defensive Midfield,5,Morocco Women's,2391,['6bcb2fd2-6b9e-49aa-8e3e-1f0fd92ac75f'],25,,,,,,,,,,,,,,,,,,Morocco Women's,2391,00:01:25.136,Pass,
,,,,,,,,,,,,,,,,,,1.602073,,,,,,,,,,,,,,,,0604117a-74c8-4f33-af55-8212d221a861,42,,,"[120.0, 0.1]",3893834,1,,,,1.8042647,,Right Foot,,,"[112.2, 32.9]",High Pass,True,33.714684,Incomplete,,Nouhaila Benzina,402660.0,,,Inswinging,,Corner,1,From Corner,Ghizlane Chebbak,402663.0,Left Defensive Midfield,6,Morocco Women's,2391,"['51332abd-8646-40e9-b9fe-d1427ecba537', 'd0425ad1-124d-4977-bcee-4df7600e954a']",47,,,,,,,,,,,,,,,,,,Morocco Women's,2391,00:01:47.903,Pass,
,,,,,,,,,,,,,,,,,,2.05094,,,,,,,,,,,,,,,,2b2b220b-7649-4b83-bd68-a53e25859947,47,,,"[12.2, 40.0]",3893834,2,True,,,0.047301967,,Right Foot,,,"[29.1, 40.8]",Ground Pass,,16.918924,,,Daniela Montoya Quiróz,403282.0,,,,,,1,Regular Play,Catalina Pérez Jaramillo,46344.0,Goalkeeper,7,Colombia Women's,16802,['113a1540-8c98-4a27-837a-54eef8ba59d9'],4,,,,,,,,,,,,,,,,,,Colombia Women's,16802,00:02:04.883,Pass,
,,,,,,,,,,,,,,,,,,1.284465,,,,,,,,,,,,,,,,2fee8542-1919-4e26-9cc2-d8aabdb68c5b,49,,,"[39.2, 34.4]",3893834,2,,,,-1.3182421,,Right Foot,,,"[45.6, 9.6]",Ground Pass,,25.612497,,,Manuela Vanegas Cataño,49945.0,,,,,,1,Regular Play,Daniela Montoya Quiróz,403282.0,Left Defensive Midfield,7,Colombia Women's,16802,['9ebe75f6-fe3a-4ace-b3a5-c7bee2b44da4'],8,,,,,,,,,,,,,,,,,,Colombia Women's,16802,00:02:08.655,Pass,
,,,,,,,,,,,,,,,,,,1.384768,,,,,,,,,,,,,,,,4eb259a8-e1f4-4744-b702-204d17e11492,52,,,"[51.6, 5.2]",3893834,2,,,,-0.17108585,,Left Foot,,,"[70.7, 1.9]",Ground Pass,,19.382982,,,Leicy Maria Santos Herrera,32215.0,,,,,,1,Regular Play,Manuela Vanegas Cataño,49945.0,Left Back,7,Colombia Women's,16802,['fca5db2f-4729-4d69-a3d3-3e43989407ee'],11,,,,,,,,,,,,,,,,,,Colombia Women's,16802,00:02:11.436,Pass,
,,,,,,,,,,,,,,,,,,0.872133,,,,,,,,,,,,,,,,3523798b-7661-46da-bfd2-84d17b5ea21f,57,,,"[67.0, 0.9]",3893834,2,,,,3.0973737,,Right Foot,,,"[55.7, 1.4]",Ground Pass,,11.311056,,,Manuela Vanegas Cataño,49945.0,,,,,,1,Regular Play,Leicy Maria Santos Herrera,32215.0,Left Wing,7,Colombia Women's,16802,"['84949b22-13d8-4031-b922-d4ee450e0d91', 'c09401f6-04a3-4580-bdb4-d58a616633f5', 'ed981043-3fb3-400a-b159-c371822bcfd1']",14,,,,,,,,,,,,,,,,,,Colombia Women's,16802,00:02:14.167,Pass,True
,,,,,,,,,,,,,,,,,,1.362033,,,,,,,,,,,,,,,,aedb8818-bce6-4e29-ab56-5ee4a1ceaa8f,60,,,"[54.4, 1.4]",3893834,2,,,,2.8856494,,Left Foot,,,"[43.7, 4.2]",Ground Pass,,11.060289,,,Daniela Montoya Quiróz,403282.0,,,,,,1,Regular Play,Manuela Vanegas Cataño,49945.0,Left Back,7,Colombia Women's,16802,['f3547c4a-4d14-4a95-9460-dca39ff13f2a'],15,,,,,,,,,,,,,,,,,,Colombia Women's,16802,00:02:15.635,Pass,
,,,,,,,,,,,,,,,,,,2.158061,,,,,,,,,,,,,,,,66e3c771-aa98-4156-b1a5-b3c83fb76834,63,,,"[42.6, 5.8]",3893834,2,,,,1.8625286,,Right Foot,,,"[32.6, 39.1]",Ground Pass,,34.769096,,,Daniela Alexandra Árias Rojas,403277.0,,,,,,1,Regular Play,Daniela Montoya Quiróz,403282.0,Left Defensive Midfield,7,Colombia Women's,16802,['d39163d4-a4dc-4be3-87e0-01bf678d0639'],17,,,,,,,,,,,,,,,,,,Colombia Women's,16802,00:02:17.944,Pass,
,,,,,,,,,,,,,,,,,,1.629368,,,,,,,,,,,,,,,,abc48cd1-47aa-4336-8125-b15aff873461,66,,,"[34.3, 49.6]",3893834,2,,,,1.1702926,,Right Foot,,,"[44.8, 74.4]",Ground Pass,,26.93121,,,Jorelyn Andrea Daniela Carabalí Martínez,388473.0,,,,,,1,Regular Play,Daniela Alexandra Árias Rojas,403277.0,Left Center Back,7,Colombia Women's,16802,['46c3e1ec-e330-4ecb-9ae1-b1b382d5bf8b'],22,,,,,,,,,,,,,,,,,,Colombia Women's,16802,00:02:22.437,Pass,
,,,,,,,,,,,,,,,,,,2.143873,,,,,,,,,,,,,,,,cb071411-2fbb-4249-9bbc-41764e48d9cd,69,,,"[52.5, 76.8]",3893834,2,,,,-0.0076724836,,Right Foot,,,"[91.6, 76.5]",High Pass,,39.10115,Incomplete,,,,,,,,,1,Regular Play,Jorelyn Andrea Daniela Carabalí Martínez,388473.0,Right Center Back,7,Colombia Women's,16802,['e6585d1f-3b90-4bd3-bfd2-20e9a893f376'],25,,,,,,,,,,,,,,,,,,Colombia Women's,16802,00:02:25.740,Pass,
