ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.129586,,,,,,,,,,94b2ce22-392d-4151-9b0d-3e1b5dee75a7,31,,,"[15.1, 74.5]",3893811,0,,,,,-0.09734757,,Right Foot,,,"[40.7, 72.0]",,Low Pass,,25.72178,,,Georgia Stanway,4643.0,,,,,,,1,Regular Play,Millie Bright,4642.0,Right Center Back,3,England Women's,865,"['07173a6f-0386-49da-8304-1ad3932b3449', 'fc40b28f-6402-4649-b99e-d25b2d553302']",27,,,,,,,,,,,,,,,,England Women's,865,00:00:27.023,Pass,True
,,,,,,,,,,,,,,,,3.08712,,,,,,,,,,c96f1ba0-f0ef-447f-a2c6-d31c3884320c,35,,,"[38.6, 77.6]",3893811,0,,,,,0.043631334,,Right Foot,,,"[86.7, 79.7]",,High Pass,,48.14582,Out,,Alessia Russo,47521.0,,,,,,,1,Regular Play,Georgia Stanway,4643.0,Right Center Midfield,3,England Women's,865,"['c1ae491c-cadf-4452-9903-2c9886b8d848', 'd4cc8189-3b9d-4366-9af9-c5f4c6486608']",29,,,,,,,,,,,,,,,,England Women's,865,00:00:29.977,Pass,True
,,,,,,,,,,,,,,,,1.654633,,,,,,,,,,00aa7ab6-3580-4d61-ad70-d65aeaaf6bd6,37,,,"[46.1, 0.1]",3893811,0,,,,,0.19595464,,,,,"[72.8, 5.4]",,High Pass,,27.220947,Incomplete,,Pernille Mosegaard Harder,10108.0,,,,,,Throw-in,1,From Throw In,Katrine Veje,10088.0,Left Back,4,Denmark Women's,853,"['8f771510-c90e-418f-b422-3e59e9e5fea7', 'e2f1ec20-e30d-42de-94e5-c490297c80e1']",51,,,,,,,,,,,,,,,,Denmark Women's,853,00:00:51.898,Pass,
,,,,,,,,,,,,,,,,1.334064,,,,,,,,,,8f771510-c90e-418f-b422-3e59e9e5fea7,39,,,"[47.3, 74.7]",3893811,0,,,,,-1.693979,,Other,,,"[46.0, 64.2]",,Low Pass,,10.58017,,,Keira Walsh,4658.0,,,,,,Recovery,1,Regular Play,Lucy Bronze,10178.0,Right Back,5,England Women's,865,"['00aa7ab6-3580-4d61-ad70-d65aeaaf6bd6', '19d89749-8654-4e67-8a17-40376cbd8f6f']",53,,,,,,,,,,,,,,,,England Women's,865,00:00:53.553,Pass,
,,,,,,,,,,,,,,,,0.729932,,,,,,,,,,72ff1b81-b320-4711-862d-b796a469ae97,43,,,"[46.5, 65.3]",3893811,0,,,,,1.7111713,,Right Foot,,,"[45.2, 74.5]",,Ground Pass,,9.291394,,,Lucy Bronze,10178.0,,,,,,,1,Regular Play,Keira Walsh,4658.0,Center Defensive Midfield,5,England Women's,865,"['2d8e7206-ca9a-4d13-9f25-42c12440ba26', '72b63c1e-98de-4d5e-901c-04f664ae7f85']",55,,,,,,,,,,,,,,,,England Women's,865,00:00:55.267,Pass,True
,,,,,,,,,,,,,,,,1.802842,,,,,,,,,,5c7670d5-110b-41e6-9038-407da80ae1f2,48,,,"[46.5, 66.5]",3893811,1,,,,,2.994341,,Right Foot,,,"[25.6, 69.6]",,Ground Pass,,21.128654,,,Millie Bright,4642.0,,,,,,,1,Regular Play,Lucy Bronze,10178.0,Right Back,5,England Women's,865,"['3c4f5b7c-f329-4c53-a389-88db62288ead', '86c20c43-c92e-4435-ba69-1af229509601']",2,,,,,,,,,,,,,,,,England Women's,865,00:01:02.565,Pass,True
,,,,,,,,,,,,,,,,2.465833,,,,,,,,,,30b2638c-f148-4d31-ae3d-4f1d1df145e3,51,,,"[25.6, 69.6]",3893811,1,,,,,-2.0821836,,Right Foot,,,"[12.3, 45.9]",,Ground Pass,,27.176828,,,Mary Alexandra Earps,31538.0,,,,,,,1,Regular Play,Millie Bright,4642.0,Right Center Back,5,England Women's,865,['0c9a9c24-1a6b-492a-8d03-323f8f7adbbe'],5,,,,,,,,,,,,,,,,England Women's,865,00:01:05.654,Pass,
,,,,,,,,,,,,,,,,1.444141,,,,,,,,,,df195a9d-c012-4897-8ed6-bc6befe50aec,54,,,"[17.3, 42.3]",3893811,1,,,,,-1.2231895,,Right Foot,,,"[24.8, 21.6]",,Ground Pass,,22.016811,,,Alex Greenwood,10252.0,,,,,,,1,Regular Play,Mary Alexandra Earps,31538.0,Goalkeeper,5,England Women's,865,['f6106d03-3624-4cf4-b165-1d0f4737fe86'],9,,,,,,,,,,,,,,,,England Women's,865,00:01:09.778,Pass,
,,,,,,,,,,,,,,,,1.926285,,,,,,,,,,9e19bdd6-312a-4e04-be26-69157525fa79,57,,,"[33.5, 24.4]",3893811,1,,,,,1.3166436,,Left Foot,,,"[44.8, 67.9]",,Ground Pass,,44.94374,,,Lucy Bronze,10178.0,,,True,,,,1,Regular Play,Alex Greenwood,10252.0,Left Center Back,5,England Women's,865,['78558c80-86d3-4e76-8b79-c8fc27f1626c'],14,,,,,,,,,,,,,,,,England Women's,865,00:01:14.843,Pass,
,,,,,,,,,,,,,,,,1.155266,,,,,,,,,,87a2443a-e1c0-4227-8f73-49a173021585,61,,,"[50.0, 72.4]",3893811,1,,,,,0.1678059,,Right Foot,,,"[68.3, 75.5]",,Ground Pass,,18.56071,,,Chloe Kelly,15570.0,,,,,,,1,Regular Play,Lucy Bronze,10178.0,Right Back,5,England Women's,865,"['252f7258-f95a-4e34-8e19-1ba9f6d3cb12', 'a2e8186e-870d-4234-911b-1af4f29c7e41']",17,,,,,,,,,,,,,,,,England Women's,865,00:01:17.994,Pass,True
,,,,,,,,,,,,,,,,0.731184,,,,,,,,,,0cacef12-926c-4b76-bd67-4e3142307af7,65,,,"[75.1, 63.6]",3893811,1,,,,,-1.1550423,,Right Foot,,,"[83.4, 44.8]",,Ground Pass,,20.550669,,,Ella Toone,31534.0,,,,,,,1,Regular Play,Chloe Kelly,15570.0,Right Wing,5,England Women's,865,['7ae7753a-e9a9-4888-a845-2b4db19e711b'],22,,,,,,,,,,,,,,,,England Women's,865,00:01:22.543,Pass,
,,,,,,,,,,,,,,,,1.269073,,,,,,,,,,f4ca8035-5602-45a8-9704-4c8ce2aafa89,69,,,"[82.6, 48.3]",3893811,1,,,,,0.5447021,,Right Foot,,,"[96.3, 56.6]",,Ground Pass,,16.018114,,,Georgia Stanway,4643.0,,,,,,,1,Regular Play,Ella Toone,31534.0,Left Center Midfield,5,England Women's,865,"['28c16ab6-4a38-465b-b236-62e3d2b9b432', '4752a0e0-9f42-447e-8f8c-d018f5ebc04c']",24,,,,,,,,,,,,,,,,England Women's,865,00:01:24.598,Pass,True
,,,,,,,,,,,,,,,,1.125592,,,,,,,,,,99b203f8-bc2d-4aad-8533-13a09db11b77,75,,,"[90.3, 47.1]",3893811,1,,,,,-0.8119406,,Other,,,"[95.8, 41.3]",,High Pass,,7.993122,,,Lauren James,31531.0,,,,,,Recovery,1,Regular Play,Ella Toone,31534.0,Left Center Midfield,5,England Women's,865,['a8f33191-51f0-4da7-b2a2-db5ae6e86a47'],28,,,,,,,,,,,,,,,,England Women's,865,00:01:28.498,Pass,
,,,,,,,,,,,,,,,,1.459971,,,,,,,,,,1d90a56d-d871-4bdd-a1fa-a52463691a9a,78,,,"[99.7, 30.3]",3893811,1,,,,,-1.8865349,,Left Foot,,,"[94.8, 15.3]",,Ground Pass,,15.78005,,,Rachel Daly,5058.0,,,,,,,1,Regular Play,Lauren James,31531.0,Left Wing,5,England Women's,865,['bb5ad402-3cc0-45e4-9eaa-5719b92a346f'],30,,,,,,,,,,,,,,,,England Women's,865,00:01:30.980,Pass,
