player_id,player_name,team,performance_score,P_score,S_score,C_score,D_score,L_score
5625.0,Emil Peter Forsberg,RB Leipzig,43.608870967741936,47.33870967741936,37.41935483870968,37.096774193548384,37.096774193548384,75.80645161290323
5666.0,Dawid Kownacki,Werder Bremen,35.5375,26.916666666666668,36.83333333333333,33.33333333333333,30.499999999999993,68.33333333333333
6321.0,Milos Veljkovic,Werder Bremen,50.88440104166667,60.321527777777774,40.16475694444444,34.67881944444444,59.457378472222224,69.35590277777777
6324.0,Leon Goretzka,Bayern Munich,51.47211841070024,53.59067663257278,75.42879622344611,32.25806451612903,41.45407159716758,44.748229740361914
6874.0,Ermedin Demirović,Augsburg,46.18458508403361,29.21047794117647,57.98936449579831,60.72872899159663,45.776851365546214,30.835084033613448
6985.0,Robin Gosens,Union Berlin,45.682258064516134,51.98991935483871,49.39516129032258,37.328629032258064,53.539818548387096,21.622983870967747
7044.0,Patrik Schick,Bayer Leverkusen,50.541203837493015,37.04706423124729,68.87607258355379,56.923470338303744,40.277781885547626,46.201691890224666
7083.0,Anthony Jung,Werder Bremen,59.46875,75.78125,43.28125,85.3125,49.140625,28.125
7095.0,Marvin Schwäbe,FC Köln,45.30095108695652,48.56912364130435,42.16796875,38.84171195652174,39.71382472826087,69.05570652173913
7173.0,Leonardo Bonucci,Union Berlin,44.15625,41.875,38.75,45.3125,41.09375,67.1875
7198.0,Franck Honorat,Borussia Mönchengladbach,53.16231420927467,46.62901307966707,54.658888228299645,63.95362663495838,39.18237217598098,72.13139120095126
7208.0,Ludovic Ajorque,FSV Mainz 05,51.63671875,72.265625,42.34375,28.125,49.296875,75.0
7375.0,Theoson Jordan Siebatcheu,Borussia Mönchengladbach,33.525862068965516,30.51724137931034,39.310344827586206,34.48275862068966,38.96551724137932,13.793103448275868
7796.0,Silvan Widmer,FSV Mainz 05,47.918103448275865,69.22413793103448,37.758620689655174,41.37931034482759,45.51724137931035,37.93103448275862
7829.0,Wout Weghorst,Hoffenheim,46.66034482758621,30.477011494252874,63.64942528735632,40.747126436781606,51.96551724137931,45.86206896551724
8056.0,Fredrik Jensen,Augsburg,46.35267857142857,33.30357142857142,40.89285714285714,37.5,86.33928571428572,30.357142857142865
8068.0,Maximilian Wöber,Borussia Mönchengladbach,53.296875,60.0,39.0625,43.75,80.15625,37.5
8069.0,Matthijs de Ligt,Bayern Munich,41.08064516129033,53.70967741935484,36.935483870967744,32.25806451612903,27.580645161290317,64.51612903225806
8207.0,Dominik Kohr,FSV Mainz 05,53.71494208800507,46.00327903532896,74.36997567167336,35.68727522741697,73.74332293209224,17.35508779352655
8208.0,Sven Ulreich,Bayern Munich,40.00806451612903,48.06451612903226,36.935483870967744,32.25806451612903,29.274193548387096,64.51612903225806
8211.0,Benjamin Henrichs,RB Leipzig,62.468946978123846,51.24675565443084,64.62458286985539,84.28253615127919,45.389321468298114,75.66740823136819
8221.0,Jonathan Tah,Bayer Leverkusen,53.1282790192328,68.36156550106486,54.25259473159706,43.281618009955004,50.23019109593295,37.72377139889732
8222.0,Kevin Kampl,RB Leipzig,51.93448387096774,57.03806451612903,37.028387096774196,33.941935483870964,70.38935483870968,75.51612903225806
8226.0,Dan-Axel Zagadou,VfB Stuttgart,50.53333333333334,75.5,48.833333333333336,35.0,38.91666666666667,46.666666666666664
8227.0,Mario Götze,Eintracht Frankfurt,46.10799921383648,56.587067610062896,46.00727201257862,39.0625,51.39298349056604,23.68317610062893
8228.0,Maximilian Philipp,Freiburg,45.600806451612904,47.33870967741936,36.935483870967744,41.935483870967744,46.048387096774185,69.35483870967742
8230.0,Josuha Guilavogui,FSV Mainz 05,61.7198275862069,69.74137931034483,37.758620689655174,41.37931034482759,94.05172413793105,77.58620689655173
8231.0,Yannick Gerhardt,Wolfsburg,40.18794775380961,38.33089253908569,43.965960815357214,39.37067088858104,50.374233128834355,16.647536117158122
8235.0,Maximilian Arnold,Wolfsburg,49.54479992949057,60.44238791938422,41.74804630119279,39.30078147952288,59.93189964157706,41.506551501263296
8238.0,Mahmoud Dahoud,VfB Stuttgart,43.3125,44.21875,40.15625,37.5,38.4375,70.3125
8239.0,Robin Knoche,Union Berlin,46.515625,57.1875,38.75,45.3125,59.53125,15.625
8240.0,Koen Casteels,Wolfsburg,44.967741935483865,44.03225806451613,39.193548387096776,40.32258064516129,46.612903225806456,67.74193548387098
8241.0,Felix Passlack,Bochum,35.04032258064516,44.193548387096776,37.903225806451616,38.70967741935484,33.064516129032256,1.6129032258064504
8245.0,Felix Uduokhai,Augsburg,44.81473214285714,50.479910714285715,39.89955357142857,36.71875,47.5390625,53.683035714285715
8309.0,Michael Gregoritsch,Freiburg,39.845848757271284,20.103120042305655,48.897408778424115,37.33474352194606,39.43283976731888,72.42199894235854
8318.0,Jeffrey Gouweleeuw,Augsburg,50.052330022918255,57.70745798319327,39.89424178762414,36.714572192513366,70.26917016806722,42.55156608097784
8352.0,Julian Chabot,FC Köln,53.25113407258065,49.158266129032256,49.93195564516129,38.86088709677419,69.00579637096774,69.0524193548387
8361.0,Ritsu Doan,Freiburg,60.79469849706745,37.93117668621701,59.81213343108505,89.68475073313783,65.80370234604106,52.61180351906159
8375.0,Sheraldo Becker,Union Berlin,41.9921875,50.46875,38.75,45.3125,46.875,12.5
8391.0,Dennis Geiger,Hoffenheim,42.32083333333334,59.083333333333336,36.666666666666664,41.66666666666667,50.25,0.0
8393.0,Oliver Baumann,Hoffenheim,45.666666666666664,51.75,37.916666666666664,40.833333333333336,39.166666666666664,72.5
8397.0,Kevin Vogt,"Hoffenheim, Union Berlin",48.808377896613194,66.46078431372548,39.084670231729056,37.54010695187166,44.8596256684492,59.42067736185384
8400.0,Serge Gnabry,Bayern Munich,47.2741935483871,28.87096774193548,67.25806451612904,32.25806451612903,51.693548387096776,64.51612903225806
8401.0,Maximilian Eggestein,Freiburg,41.233870967741936,41.12903225806451,40.645161290322584,32.25806451612903,58.79032258064517,25.806451612903224
8403.0,Nadiem Amiri,"FSV Mainz 05, Bayer Leverkusen",58.719693724566284,69.47097879631613,56.81409295352325,69.51381452131076,51.42857142857143,29.599485971300062
8406.0,Florian Kainz,FC Köln,50.63709677419355,45.48387096774194,40.16129032258064,92.25806451612904,39.354838709677416,29.032258064516125
