50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f670fed0-5a3a-4ff9-85af-888349aa3f7f,1,,,,3879633,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 7155, 'name': 'Vincent Laurini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7160, 'name': 'Lorenzo Tonelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 8664, 'name': 'Andrea Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 8187, 'name': 'Marcel Büchel'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 77}, {'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 22041, 'name': 'Marko Livaja'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 39}]}",Empoli,290,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d3b4cb3e-85bb-4286-b42a-539c75d1e10b,2,,,,3879633,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 12491, 'name': 'Federico Marchetti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8443, 'name': 'Dušan Basta'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 8}, {'player': {'id': 9939, 'name': 'Maurício dos Santos Nascimento'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 3588, 'name': 'Wesley Hoedt'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 7778, 'name': 'Ştefan Daniel Radu'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 26}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 5510, 'name': 'Lucas Rodrigo Biglia'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 7776, 'name': 'Antonio Candreva'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 87}, {'player': {'id': 7785, 'name': 'Senad Lulić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 19}, {'player': {'id': 5589, 'name': 'Sergej Milinković-Savić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 11427, 'name': 'Filip Đorđević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,25be239a-fbaf-4457-85ca-c701a3d1df91,3,,,,3879633,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,['6c63f938-b26c-4a8a-b583-af841a04bc9f'],0,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6c63f938-b26c-4a8a-b583-af841a04bc9f,4,,,,3879633,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Empoli,290,['25be239a-fbaf-4457-85ca-c701a3d1df91'],0,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a3219b01-9a65-4000-a4f4-f19a912255c5,1604,,,,3879633,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Lazio,236,['a91ef54e-ed51-4155-9446-e8746451a8a0'],0,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a91ef54e-ed51-4155-9446-e8746451a8a0,1605,,,,3879633,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Lazio,236,['a3219b01-9a65-4000-a4f4-f19a912255c5'],0,,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.221411,,,,,,,,,,,,,fa1f919a-8dbd-4e07-b077-4c547772b471,5,,,"[61.0, 40.1]",3879633,0,,,,,2.9853952,,Left Foot,,,"[48.3, 42.1]",,Ground Pass,,12.856516,,,,Lucas Rodrigo Biglia,5510.0,,,,,Kick Off,1,From Kick Off,Filip Đorđević,11427.0,Center Forward,2,Lazio,236,['39dd6062-b187-4382-a902-f13f45364c61'],1,,,,,,,,,,,,,,,,,Lazio,236,00:00:01.099,Pass,
,,,,,,,,,,,,,,,,,1.7894,,,,,,,,,,,,,97fcf2a4-3b60-4e63-9563-f9b582414b86,9,,,"[49.4, 42.1]",3879633,0,,,,,1.8410733,,Left Foot,,,"[43.0, 65.2]",,Ground Pass,,23.97019,,,,Dušan Basta,8443.0,,,,,,1,From Kick Off,Lucas Rodrigo Biglia,5510.0,Left Defensive Midfield,2,Lazio,236,"['2ffb7500-8ac5-408e-a4fb-5a8f7b441a11', 'e5c41d67-6b15-4274-a06d-40d6dd26d501']",2,,,,,,,,,,,,,,,,,Lazio,236,00:00:02.617,Pass,True
,,,,,,,,,,,,,,,,,5.392835,,,,,,,,,,,,,91f6f62c-a13c-47ca-be7d-f2863bd613e0,13,,,"[41.1, 73.9]",3879633,0,,,,,0.035100084,,Right Foot,,,"[106.6, 76.2]",,High Pass,,65.54037,,,,Antonio Candreva,7776.0,,,,,,1,From Kick Off,Dušan Basta,8443.0,Right Back,2,Lazio,236,"['1c56d036-6bf6-43c6-9b9e-bf04766fa486', 'e3fa3bbe-be54-4995-ac72-dff0d7ebd6c6']",5,,,,,,,,,,,,,,,,,Lazio,236,00:00:05.150,Pass,True
,,,,,,,,,,,,,,,,,5.37944,,,,,,,,,,,,,d08e62df-c37b-4bf8-9e76-520f61460ad2,19,,,"[6.0, 36.0]",3879633,0,,,,,-0.15999,,Right Foot,,,"[87.8, 22.8]",,High Pass,,82.85819,,Incomplete,,Riccardo Saponara,7150.0,,,,,Goal Kick,1,From Goal Kick,Łukasz Skorupski,11508.0,Goalkeeper,3,Empoli,290,"['0252861d-b6b8-4e03-814e-e12898d4dc7d', 'b6f6c91b-c7e5-404b-9ff7-db6f5ab36f86']",38,,,,,,,,,,,,,,,,,Empoli,290,00:00:38.735,Pass,
