50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.415842,,,,,,,,,,,,,,a8518fbb-3967-494e-bc62-0575afb0ed42,14,,"[20.9, 29.1]",3879769,0,,,,0.63427496,,Head,,,,"[43.6, 45.8]",,High Pass,,28.1812,,,,,Valter Birsa,7045.0,,,,,Recovery,1,Regular Play,Boštjan Cesar,8877.0,Left Center Back,3,Chievo,231,"['6ebff005-d049-451c-9304-5dae102517d5', 'f6d3ce32-f201-4ac5-9659-d39adb38e817']",6,,,,,,,,,,,,,,,,,,Chievo,231,00:00:06.409,Pass,
,,,,,,,,,,,,,,,,,1.354412,,,,,,,,,,,,,,c9d8f23d-a813-48f2-8e7f-0104fa1407e1,16,,"[43.6, 45.8]",3879769,0,,,,-0.35877067,,Head,,,,"[58.0, 40.4]",,High Pass,,15.379207,,,Incomplete,,Sergio Pellissier,8644.0,,,,,,1,Regular Play,Valter Birsa,7045.0,Right Wing,3,Chievo,231,"['66787d1f-4d20-46b4-a72a-df29312f1fcc', 'cc25925f-ce82-47ad-887b-d6491d37f935']",7,,,,,,,,,,,,,,,,,,Chievo,231,00:00:07.825,Pass,
,,,,,,,,,,,,,,,,,0.753254,,,,,,,,,,,,,,9c6e9747-fe25-441c-bb4e-ddd96b0d0642,20,,"[50.8, 49.7]",3879769,0,,,True,0.3708913,,,,,,"[63.4, 54.6]",,High Pass,,13.519245,,,,,Sergio Pellissier,8644.0,,,,,Recovery,1,Regular Play,Valter Birsa,7045.0,Right Wing,3,Chievo,231,"['a9eabe8e-46d8-4a14-aacf-e4e67ca18ced', 'fcb8c060-5ac0-44b1-8567-c7a17460ffe5']",12,,,,,,,,,,,,,,,,,,Chievo,231,00:00:12.265,Pass,True
,,,,,,,,,,,,,,,,,3.780047,,,,,,,,,,,,,,9e5689d8-01ad-4f62-95b9-b303b20a9543,23,,"[47.4, 20.3]",3879769,0,,,,2.7518408,,Head,,,,"[12.1, 34.8]",,Low Pass,,38.16202,,,,,José Manuel Reina Páez,7028.0,,,,,Recovery,1,Regular Play,Faouzi Ghoulam,8876.0,Left Back,4,Napoli,227,['1eca60d1-3576-4070-9874-652e619952cd'],14,,,,,,,,,,,,,,,,,,Napoli,227,00:00:14.678,Pass,
,,,,,,,,,,,,,,,,,1.471616,,,,,,,,,,,,,,91a88e89-8a0d-4f07-9939-0e130d73e9f6,26,,"[12.1, 34.8]",3879769,0,,,,0.92286557,,Keeper Arm,,,,"[23.0, 49.2]",,Ground Pass,,18.060177,,,,,Vlad Iulian Chiricheș,10736.0,,,,,,1,Regular Play,José Manuel Reina Páez,7028.0,Goalkeeper,4,Napoli,227,['55b52423-40eb-44e2-a567-565851a9db54'],19,,,,,,,,,,,,,,,,,,Napoli,227,00:00:19.605,Pass,
,,,,,,,,,,,,,,,,,1.03233,,,,,,,,,,,,,,eb87d25b-e56d-41eb-9f8c-c1fec7497807,29,,"[34.5, 46.9]",3879769,0,,,,-0.2573237,,Right Foot,,,,"[49.7, 42.9]",,Ground Pass,,15.717506,,,,,Jorge Luiz Frello Filho,7024.0,,,,,,1,Regular Play,Vlad Iulian Chiricheș,10736.0,Right Center Back,4,Napoli,227,['90750716-d0ac-4dc0-bb0f-e88d69a62cab'],24,,,,,,,,,,,,,,,,,,Napoli,227,00:00:24.038,Pass,
,,,,,,,,,,,,,,,,,0.725569,,,,,,,,,,,,,,3e2e51be-1a77-4551-ad1c-935363e90c9c,32,,"[49.7, 42.9]",3879769,0,,,,2.7430701,,Right Foot,,,,"[40.2, 46.9]",,Ground Pass,,10.307764,,,,,Vlad Iulian Chiricheș,10736.0,,,,,,1,Regular Play,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,4,Napoli,227,['5867fde6-0525-4f55-9589-a68b28b72a5e'],25,,,,,,,,,,,,,,,,,,Napoli,227,00:00:25.181,Pass,
,,,,,,,,,,,,,,,,,0.778298,,,,,,,,,,,,,,0577ab0c-e6bb-46b3-9191-e4aed3a2990b,35,,"[41.1, 45.6]",3879769,0,,,,-0.56137455,,Right Foot,,,,"[50.8, 39.5]",,Ground Pass,,11.458621,,,,,Jorge Luiz Frello Filho,7024.0,,,,,,1,Regular Play,Vlad Iulian Chiricheș,10736.0,Right Center Back,4,Napoli,227,['b8558bb1-44b4-467a-88b0-4057afde49a6'],26,,,,,,,,,,,,,,,,,,Napoli,227,00:00:26.663,Pass,
,,,,,,,,,,,,,,,,,1.166535,,,,,,,,,,,,,,9b3302d9-0637-4b08-964c-04e8492e4e4e,38,,"[52.1, 40.4]",3879769,0,,,,-0.19739556,,Right Foot,,,,"[66.6, 37.5]",,Ground Pass,,14.787157,,,,,Gonzalo Gerardo Higuaín,5497.0,,,,,,1,Regular Play,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,4,Napoli,227,['ffc4a17f-1e53-484a-9e68-8fc064b614fb'],28,,,,,,,,,,,,,,,,,,Napoli,227,00:00:28.720,Pass,
,,,,,,,,,,,,,,,,,1.365616,,,,,,,,,,,,,,dbb5420b-625e-41c7-8f14-a71c05880bbc,41,,"[66.6, 37.5]",3879769,0,,,,-2.803898,,Right Foot,,,,"[53.5, 32.9]",,Ground Pass,,13.884164,,,,,Kalidou Koulibaly,5675.0,,,,,,1,Regular Play,Gonzalo Gerardo Higuaín,5497.0,Center Forward,4,Napoli,227,['466df8b9-9191-4b73-8f82-e53d7ce8cbd2'],29,,,,,,,,,,,,,,,,,,Napoli,227,00:00:29.964,Pass,
,,,,,,,,,,,,,,,,,1.455494,,,,,,,,,,,,,,457c4133-f766-4475-afe3-baa3dce1ef92,44,,"[51.5, 24.6]",3879769,0,,,,-1.0436504,,Left Foot,,,,"[63.2, 4.5]",,Ground Pass,,23.257257,,,,,Faouzi Ghoulam,8876.0,,,,,,1,Regular Play,Kalidou Koulibaly,5675.0,Left Center Back,4,Napoli,227,['55c3e209-09ea-43e3-a0ca-784c102c7928'],33,,,,,,,,,,,,,,,,,,Napoli,227,00:00:33.002,Pass,
,,,,,,,,,,,,,,,,,1.277588,,,,,,,,,,,,,,3e6eaad6-be26-4f9b-86a8-7928f2f9e0c9,47,,"[63.2, 4.5]",3879769,0,,,,0.39160755,,Left Foot,,,,"[83.3, 12.8]",,Ground Pass,,21.746264,,,,,Marek Hamšík,7025.0,,,,,,1,Regular Play,Faouzi Ghoulam,8876.0,Left Back,4,Napoli,227,['7681d8b6-0713-47fc-a067-215940996cd0'],34,,,,,,,,,,,,,,,,,,Napoli,227,00:00:34.950,Pass,
,,,,,,,,,,,,,,,,,0.868448,,,,,,,,,,,,,,0e073b1b-f090-48ff-9e2f-ee25ab16b4eb,55,,"[33.1, 72.9]",3879769,0,,,,-2.1319597,,Right Foot,,,,"[28.7, 65.9]",,Ground Pass,,8.268011,,,,,Dario Dainelli,7771.0,,,,,,1,Regular Play,Nicolas Sebastian Frey,23324.0,Right Back,5,Chievo,231,['c209b779-7c08-42a9-a00d-1c2ba2811f1f'],38,,,,,,,,,,,,,,,,,,Chievo,231,00:00:38.916,Pass,
,,,,,,,,,,,,,,,,,0.885154,,,,,,,,,,,,,,41a1475c-bef3-4ce3-b2c6-da51dd19391e,57,,"[28.7, 65.9]",3879769,0,,,,0.47007838,,Left Foot,,,,"[41.1, 72.2]",,Low Pass,,13.90863,,,,,Valter Birsa,7045.0,,,,,,1,Regular Play,Dario Dainelli,7771.0,Right Center Back,5,Chievo,231,['1862ee25-8c5f-497f-bce4-e7fed10878a6'],39,,,,,,,,,,,,,,,,,,Chievo,231,00:00:39.784,Pass,
,,,,,,,,,,,,,,,,,1.258635,,,,,,,,,,,,,,2bf30126-4949-4a05-878d-af07e0a54826,60,,"[41.1, 72.2]",3879769,0,,,,2.796435,,Left Foot,,,,"[32.2, 75.4]",,Ground Pass,,9.457801,,,,,Nicolas Sebastian Frey,23324.0,,,,,,1,Regular Play,Valter Birsa,7045.0,Right Wing,5,Chievo,231,['ecde251e-72bd-4417-a964-2361052ee1eb'],41,,,,,,,,,,,,,,,,,,Chievo,231,00:00:41.138,Pass,
,,,,,,,,,,,,,,,,,1.560646,,,,,,,,,,,,,,2d1c9650-42d7-40af-9d59-30cb06290856,63,,"[32.2, 74.5]",3879769,0,,,,-0.26625204,,Right Foot,,,,"[65.2, 65.5]",,High Pass,,34.20526,,,Incomplete,,Sergio Pellissier,8644.0,,,,,,1,Regular Play,Nicolas Sebastian Frey,23324.0,Right Back,5,Chievo,231,"['0c42c078-dfdc-46db-8972-e89b4876a6a4', '8d87758a-8166-4b2f-9218-bdc48d03b3c1']",42,,,,,,,,,,,,,,,,,,Chievo,231,00:00:42.396,Pass,
,,,,,,,,,,,,,,,,,0.767397,,,,,,,,,,,,,,9bdccd75-b05b-48af-8f7f-5b81cef3b6ae,67,,"[54.6, 15.5]",3879769,0,,,,0.7531513,,Right Foot,,,,"[62.6, 23.0]",,Ground Pass,,10.965857,,,,,David López Silva,6754.0,,,,,,1,Regular Play,Kalidou Koulibaly,5675.0,Left Center Back,6,Napoli,227,['01cdcf23-3e5c-46f6-8168-c19c4ebf428d'],45,,,,,,,,,,,,,,,,,,Napoli,227,00:00:45.111,Pass,
,,,,,,,,,,,,,,,,,1.217292,,,,,,,,,,,,,,9a4387d9-982e-44df-8eb0-383eac09d2de,70,,"[62.6, 26.6]",3879769,0,,,,2.6810997,,Left Foot,,,,"[49.9, 32.9]",,Ground Pass,,14.176742,,,,,Vlad Iulian Chiricheș,10736.0,,,,,,1,Regular Play,David López Silva,6754.0,Right Center Midfield,6,Napoli,227,['ce546bc6-5e41-497d-bf88-8ff44e3a4ddf'],46,,,,,,,,,,,,,,,,,,Napoli,227,00:00:46.392,Pass,
,,,,,,,,,,,,,,,,,3.67999,,,,,,,,,,,,,,6f0a57a5-c79f-4f42-865a-1b4c8f348fd1,73,,"[49.9, 32.9]",3879769,0,,,,-1.595013,,Right Foot,,,,"[49.2, 4.0]",,Ground Pass,,28.908476,,,,,Faouzi Ghoulam,8876.0,,,,,,1,Regular Play,Vlad Iulian Chiricheș,10736.0,Right Center Back,6,Napoli,227,['0b5b9142-baab-4a39-a153-cd49b6c594dd'],47,,,,,,,,,,,,,,,,,,Napoli,227,00:00:47.808,Pass,
,,,,,,,,,,,,,,,,,1.268883,,,,,,,,,,,,,,744b3829-d174-48f7-97a1-67437504266f,76,,"[47.8, 5.1]",3879769,0,,,,2.1531494,,Left Foot,,,,"[42.4, 13.3]",,Ground Pass,,9.81835,,,,,Kalidou Koulibaly,5675.0,,,,,,1,Regular Play,Faouzi Ghoulam,8876.0,Left Back,6,Napoli,227,['f7a0af20-0f48-4137-8829-824c91fd7a16'],52,,,,,,,,,,,,,,,,,,Napoli,227,00:00:52.974,Pass,
,,,,,,,,,,,,,,,,,1.740183,,,,,,,,,,,,,,95505528-27d9-469a-820f-484aa96fc8a7,79,,"[42.4, 15.3]",3879769,0,,,,1.709436,,Left Foot,,,,"[38.8, 41.1]",,Ground Pass,,26.049952,,,,,Vlad Iulian Chiricheș,10736.0,,,,,,1,Regular Play,Kalidou Koulibaly,5675.0,Left Center Back,6,Napoli,227,['6a645ce7-de39-4734-9ffa-cb954870d07e'],55,,,,,,,,,,,,,,,,,,Napoli,227,00:00:55.678,Pass,
,,,,,,,,,,,,,,,,,0.450029,,,,,,,,,,,,,,facc1599-8436-4850-a0a4-77ae6dd6e145,90,,"[60.0, 40.0]",3879769,1,True,,,-2.9154403,,Right Foot,,,,"[48.7, 37.4]",,Ground Pass,,11.595258,,,,,Gonzalo Gerardo Higuaín,5497.0,,,,,Kick Off,1,From Kick Off,Lorenzo Insigne,7037.0,Left Wing,7,Napoli,227,['2d2bc917-017e-4718-ab3c-4451bb8f614b'],49,,,,,,,,,,,,,,,,,,Napoli,227,00:01:49.651,Pass,
,,,,,,,,,,,,,,,,,1.451328,,,,,,,,,,,,,,13cbe4bd-013c-4811-a562-3dd5d72a4532,92,,"[47.6, 33.2]",3879769,1,True,,,0.99172205,,Right Foot,,,,"[51.0, 38.4]",,Ground Pass,,6.2128897,,,,,Kalidou Koulibaly,5675.0,,,,,,1,From Kick Off,Gonzalo Gerardo Higuaín,5497.0,Center Forward,7,Napoli,227,['639d335a-a53a-443b-b5e1-22df7acf0e54'],50,,,,,,,,,,,,,,,,,,Napoli,227,00:01:50.445,Pass,
,,,,,,,,,,,,,,,,,3.359626,,,,,,,,,,,,,,5cd018c9-3bf7-4b12-9e57-e2397935dbcf,94,,"[51.0, 38.4]",3879769,1,,,,0.3726914,,Right Foot,,,,"[101.9, 58.3]",,High Pass,,54.651806,,,Incomplete,,Elseid Hysaj,7031.0,,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Left Center Back,7,Napoli,227,"['aa711a2a-6c67-4671-9f53-91daa256d5f2', 'd9bb4e53-d2b3-47ee-8ec0-940cb85d450c']",52,,,,,,,,,,,,,,,,,,Napoli,227,00:01:52.806,Pass,
,,,,,,,,,,,,,,,,,2.806356,,,,,,,,,,,,,,aa711a2a-6c67-4671-9f53-91daa256d5f2,96,,"[18.2, 21.8]",3879769,1,,,,0.077053025,,Head,,,,"[45.4, 23.9]",,High Pass,,27.280945,,,Incomplete,,Nicola Rigoni,7041.0,,,,,Recovery,1,From Kick Off,Boštjan Cesar,8877.0,Left Center Back,7,Napoli,227,"['5cd018c9-3bf7-4b12-9e57-e2397935dbcf', '8032677d-0fc7-47a3-8dd8-3d16cd7de0df', 'df2024bd-0355-4f59-9180-2e1726a39e2d']",56,,,,,,,,,,,,,,,,,,Chievo,231,00:01:56.165,Pass,
,,,,,,,,,,,,,,,,,1.034447,,,,,,,,,,,,,,8032677d-0fc7-47a3-8dd8-3d16cd7de0df,98,,"[74.7, 56.2]",3879769,1,,,,-0.8581174,,Head,,,,"[81.7, 48.1]",,High Pass,,10.705606,,,Incomplete,,Gonzalo Gerardo Higuaín,5497.0,,,,,Recovery,1,From Kick Off,David López Silva,6754.0,Right Center Midfield,7,Napoli,227,"['1ba080ea-3a0c-46a9-aaf7-70ebda320f6b', '8534dba7-d393-4de1-975e-2b88ca60098d', 'aa711a2a-6c67-4671-9f53-91daa256d5f2']",58,,,,,,,,,,,,,,,,,,Napoli,227,00:01:58.972,Pass,
,,,,,,,,,,,,,,,,,5.07221,,,,,,,,,,,,,,8534dba7-d393-4de1-975e-2b88ca60098d,100,,"[38.4, 32.0]",3879769,2,,,,0.119699925,,Right Foot,,,,"[96.6, 39.0]",,High Pass,,58.61945,,,Incomplete,,Sergio Pellissier,8644.0,,,,,Recovery,1,From Kick Off,Lucas Nahuel Castro,7049.0,Right Center Midfield,7,Napoli,227,"['2078d482-d8ea-4941-8ff5-d7f00214923e', '8032677d-0fc7-47a3-8dd8-3d16cd7de0df', 'e054a26f-7137-4be0-ad5d-2c62914365d0']",0,,,,,,,,,,,,,,,,,,Chievo,231,00:02:00.006,Pass,
,,,,,,,,,,,,,,,,,1.632288,,,,,,,,,,,,,,3d0ef48c-0e40-4d58-b936-cd11c33c832f,103,,"[27.1, 39.1]",3879769,2,True,,,-0.21560416,,Right Foot,,,,"[51.3, 33.8]",,Ground Pass,,24.773575,,,,,Jorge Luiz Frello Filho,7024.0,,,,,,1,From Kick Off,José Manuel Reina Páez,7028.0,Goalkeeper,7,Napoli,227,['4df11f08-34e1-422b-b7e1-b2fc04e00de6'],7,,,,,,,,,,,,,,,,,,Napoli,227,00:02:07.569,Pass,
,,,,,,,,,,,,,,,,,0.931781,,,,,,,,,,,,,,29d058d4-821d-4986-97ea-9a47a3e89637,105,,"[53.0, 32.7]",3879769,2,,,,-0.55103135,,Right Foot,,,,"[70.9, 21.7]",,Ground Pass,,21.00976,,,,,Marek Hamšík,7025.0,,,,,,1,From Kick Off,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,7,Napoli,227,['ee63e4c6-2a61-40c4-a0b8-6f4c1d99eb10'],10,,,,,,,,,,,,,,,,,,Napoli,227,00:02:10.498,Pass,
,,,,,,,,,,,,,,,,,1.357567,,,,,,,,,,,,,,08234835-c6e4-416a-95da-6f96b40fba05,108,,"[83.8, 21.7]",3879769,2,,,,0.27753162,,Left Foot,,,,"[101.0, 26.6]",,Ground Pass,,17.88435,,,,,Gonzalo Gerardo Higuaín,5497.0,,,,,,1,From Kick Off,Marek Hamšík,7025.0,Left Center Midfield,7,Napoli,227,['c08fdf70-8592-466a-bbb8-25ade1079f94'],13,,,,,,,,,,,,,,,,,,Napoli,227,00:02:13.006,Pass,
,,,,,,,,,,,,,,,,,0.366883,,,,,,,,,,,,,,4aff0b08-dc3e-4c67-a2c8-29f5b07e6d90,112,,"[115.6, 20.7]",3879769,2,,,,1.8444556,,Left Foot,,,,"[114.0, 26.4]",,Ground Pass,,5.920304,,,Incomplete,,Lorenzo Insigne,7037.0,,,,,,1,From Kick Off,Gonzalo Gerardo Higuaín,5497.0,Center Forward,7,Napoli,227,"['48178052-e954-4d16-b401-4d9eea8e49f0', 'a92f234a-7b57-452e-8142-568feb776eb0', 'ec8a5e2b-c9e0-4126-9727-3fe075d365e8']",16,,,,,,,,,,,,,,,,,,Napoli,227,00:02:16.067,Pass,True
