bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,fe69a1e9-eefc-4460-9127-d45816cd8a62,1,,,3879649,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,"{'formation': 4321, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8102, 'name': 'Edoardo Goldaniga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 30735, 'name': 'Mato Jajalo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 40349, 'name': 'Ivaylo Chochev'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 30512, 'name': 'Aleksandar Trajkovski'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 23846, 'name': 'Uroš Đurđević'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 99}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,23e11337-5810-476e-8707-6119840bee77,2,,,3879649,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 32037, 'name': 'Nicola Leali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 7462, 'name': 'Aleandro Rosi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 174418, 'name': 'Modibo Diakité'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 387847, 'name': 'Leonardo Blanchard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 8661, 'name': 'Daniel Pavlovic'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 20636, 'name': 'Mirko Gori'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 23349, 'name': 'Paolo Sammarco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 23470, 'name': 'Luca Paganini'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 11608, 'name': 'Danilo Soddimo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 13613, 'name': 'Daniel Ciofani'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 24235, 'name': 'Federico Dionisi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Frosinone,291,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1c8eb3c9-03f0-48ee-a40b-d1a80ed4d0f1,3,,,3879649,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['e7951b51-25bf-4ffe-a63b-2a0963b7bb75'],0,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e7951b51-25bf-4ffe-a63b-2a0963b7bb75,4,,,3879649,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['1c8eb3c9-03f0-48ee-a40b-d1a80ed4d0f1'],0,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7e71d067-28a4-4551-91c2-a9346fd91b1f,1227,,,3879649,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,107,Palermo,2256,['aa17d686-1886-4a37-a587-c33624326d41'],0,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aa17d686-1886-4a37-a587-c33624326d41,1228,,,3879649,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,107,Palermo,2256,['7e71d067-28a4-4551-91c2-a9346fd91b1f'],0,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.4365,,,,,,,,,,,,,fdbaefac-85ac-4bdc-b486-f45813a41841,5,,"[60.0, 40.0]",3879649,0,,,,,-2.9358096,,Right Foot,,,"[39.4, 35.7]",,Ground Pass,,21.044,,,,Leonardo Blanchard,387847.0,,,,,Kick Off,1,From Kick Off,Mirko Gori,20636.0,Right Defensive Midfield,2,Frosinone,291,['ffbfe177-7936-4844-ace2-356f9785c530'],0,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.677,Pass,
,,,,,,,,,,,,,,,,3.743298,,,,,,,,,,,,,a5d88490-9b7a-4781-9e5b-dfaeeb9934a7,8,,"[43.4, 29.6]",3879649,0,,,,,0.5101585,,Left Foot,,,"[98.8, 60.6]",,High Pass,,63.48354,,,,Daniel Ciofani,13613.0,,,,,,1,From Kick Off,Leonardo Blanchard,387847.0,Left Center Back,2,Frosinone,291,['5fe66948-fa97-4330-a412-ed4afd7a8cce'],4,,,,,,,,,,,,,,,,Frosinone,291,00:00:04.411,Pass,
,,,,,,,,,,,,,,,,2.15699,,,,,,,,,,,,,bbcb4d4d-4170-4f20-ad1f-57255c419cc8,19,,"[19.7, 6.9]",3879649,0,,,,,0.21425287,,Left Foot,,,"[62.9, 16.3]",,High Pass,,44.210857,,Incomplete,,Uroš Đurđević,23846.0,,,,,,1,Regular Play,Mato Jajalo,30735.0,Center Defensive Midfield,3,Palermo,2256,"['984f0085-3281-493c-a79b-9b1a07cd1a31', 'bcd78d4b-a876-4e56-a595-182d4f72c120']",13,,,,,,,,,,,,,,,,Palermo,2256,00:00:13.846,Pass,
,,,,,,,,,,,True,,,,,1.342648,,,,,,,,,,,,,bcd78d4b-a876-4e56-a595-182d4f72c120,21,,"[57.2, 63.8]",3879649,0,,,,,0.07857803,,Head,,,"[69.9, 64.8]",,Low Pass,,12.739309,,Incomplete,,,,,,,,Interception,1,Regular Play,Modibo Diakité,174418.0,Right Center Back,3,Palermo,2256,"['39c6e0f7-93ef-435d-91dd-fe781fbd0804', 'bbcb4d4d-4170-4f20-ad1f-57255c419cc8']",16,,,,,,,,,,,,,,,,Frosinone,291,00:00:16.003,Pass,
,,,,,,,,,,,,,,,,0.858372,,,,,,,,,,,,,52b77f85-ecb9-467f-b118-2b876997be6a,28,,"[52.6, 6.1]",3879649,0,,,,,1.4909663,,Left Foot,,,"[53.8, 21.1]",,Ground Pass,,15.047923,,,,Mato Jajalo,30735.0,,,,,,1,Regular Play,Franco Damián Vázquez,6719.0,Right Attacking Midfield,3,Palermo,2256,"['55a87a9a-ff1d-4b54-b5b6-9f1e481a6ff0', '85bc3ae2-67aa-4156-aa73-9e480add6411']",20,,,,,,,,,,,,,,,,Palermo,2256,00:00:20.588,Pass,True
,,,,,,,,,,,,,,,,1.26948,,,,,,,,,,,,,def97595-e7cc-489b-9a05-e16752c938ec,36,,"[55.8, 20.1]",3879649,0,,,,,-1.1705557,,Right Foot,,,"[59.1, 12.3]",,Ground Pass,,8.469357,,,,Ivaylo Chochev,40349.0,,,,,,1,Regular Play,Mato Jajalo,30735.0,Center Defensive Midfield,3,Palermo,2256,['7e29cc9b-432b-487f-a100-40fa827f4517'],23,,,,,,,,,,,,,,,,Palermo,2256,00:00:23.842,Pass,
,,,,,,,,,,,,,,,,0.872193,,,,,,,,,,,,,4c479b07-6b62-41bb-9a98-a5896b366da8,39,,"[58.9, 12.5]",3879649,0,,,,,0.9017533,,Left Foot,,,"[65.7, 21.1]",,Ground Pass,,10.963576,,Incomplete,,Franco Damián Vázquez,6719.0,,,,,,1,Regular Play,Ivaylo Chochev,40349.0,Left Center Midfield,3,Palermo,2256,"['0bcc5213-6631-4e63-a3e4-979bb0e062b1', '22b4b187-68d4-4c86-8971-db5ec189492f', 'f4b48196-4d22-4d19-9854-1a9d5ca82d09']",25,,,,,,,,,,,,,,,,Palermo,2256,00:00:25.111,Pass,True
,,,,,,,,,,,,,,,,2.683075,,,,,,,,,,,,,51ca54fd-487a-4241-ae31-92e9b2126b7e,45,,"[63.5, 29.0]",3879649,0,,,,,1.4314342,,Right Foot,,,"[69.7, 73.2]",,Low Pass,,44.632725,,,,Aljaž Struna,24061.0,,True,,,,1,Regular Play,Aleksandar Trajkovski,30512.0,Left Attacking Midfield,3,Palermo,2256,['33290c38-2314-476a-8843-d167d71c30b2'],29,,,,,,,,,,,,,,,,Palermo,2256,00:00:29.176,Pass,
,,,,,,,,,,,,,,,,1.708154,,,,,,,,,,,,,e14d0b5a-886d-451f-9ea1-3f7e945f57b7,48,,"[87.0, 73.6]",3879649,0,,,,,-1.0073674,,Right Foot,True,,"[108.1, 40.2]",,High Pass,,39.50658,,,,Uroš Đurđević,23846.0,,,,,,1,Regular Play,Aljaž Struna,24061.0,Right Back,3,Palermo,2256,['49151c94-bd37-4353-bc44-07f5ab4c80dd'],34,,,,,,,,,,,,,,,,Palermo,2256,00:00:34.489,Pass,
