50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,715524e3-27fd-4d46-b391-2ef8abbadac4,1,,,,3879696,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 47}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 92}]}",Sassuolo,232,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,2a1ba6b6-931e-40a1-9446-30da191896b3,2,,,,3879696,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 22271, 'name': 'Salvador Ichazo Fernández'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 16202, 'name': 'Nikola Maksimović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 3034, 'name': 'Kamil Glik'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 25}, {'player': {'id': 7476, 'name': 'Emiliano Moretti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 3660, 'name': 'Davide Zappacosta'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 7}, {'player': {'id': 28289, 'name': 'Gastón Alexis Silva Perdomo'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 40351, 'name': 'Alessandro Gazzi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 14}, {'player': {'id': 7474, 'name': 'Afriyie Acquah'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 7149, 'name': 'Marco Benassi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 7788, 'name': 'Ciro Immobile'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 7471, 'name': 'Andrea Belotti'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Torino,241,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f2aac2d0-24b6-4b5f-8e57-ff4ad2f048cf,3,,,,3879696,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['95685fd6-eea0-487f-bd94-efca5c6325ca'],0,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,95685fd6-eea0-487f-bd94-efca5c6325ca,4,,,,3879696,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['f2aac2d0-24b6-4b5f-8e57-ff4ad2f048cf'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4384fa7d-5318-43c1-b718-50a6b3e8cb38,1796,,,,3879696,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Torino,241,['550afc68-43e4-4781-8895-a78f93b6b06d'],0,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,550afc68-43e4-4781-8895-a78f93b6b06d,1797,,,,3879696,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Torino,241,['4384fa7d-5318-43c1-b718-50a6b3e8cb38'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.051503,,,,,,,,,,,,,33739636-4c73-4d35-b44e-d3d4000d7f8a,5,,,"[61.0, 40.1]",3879696,0,True,,,2.1995926,,Right Foot,,,,"[59.4, 42.3]",,Ground Pass,,2.720294,,,,,Andrea Belotti,7471.0,,,,,,Kick Off,1,From Kick Off,Ciro Immobile,7788.0,Right Center Forward,2,Torino,241,['d0c7afe2-7dcd-460e-a726-0c9b6b988038'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.053,Pass,
,,,,,,,,,,,,,,,,,,1.616452,,,,,,,,,,,,,59b80512-8bb3-4cae-86f6-aa1d1741e886,7,,,"[55.6, 37.9]",3879696,0,True,,,2.9606662,,Right Foot,,,,"[47.4, 39.4]",,Ground Pass,,8.336066,,,,,Alessandro Gazzi,40351.0,,,,,,,1,From Kick Off,Andrea Belotti,7471.0,Left Center Forward,2,Torino,241,['790bb4b2-751b-4c24-84bc-49e19878d865'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.261,Pass,
,,,,,,,,,,,,,,,,,,1.748805,,,,,,,,,,,,,f21f3c69-c74c-4693-aef0-da314fe4fea9,9,,,"[47.0, 39.6]",3879696,0,,,,2.2284534,,Left Foot,,,,"[28.0, 64.2]",,Ground Pass,,31.083115,,,,,Nikola Maksimović,16202.0,,,,,,,1,From Kick Off,Alessandro Gazzi,40351.0,Center Defensive Midfield,2,Torino,241,['7121f754-a60b-4b2b-86c0-db9162bf7a0a'],2,,,,,,,,,,,,,,,,,Torino,241,00:00:02.474,Pass,
,,,,,,,,,,,,,,,,,,1.346945,,,,,,,,,,,,,f4a71b32-5a31-424b-9ba8-7f10cb9a2b2a,13,,,"[28.0, 63.6]",3879696,0,,,,0.93355817,,Right Foot,,,,"[39.4, 79.0]",,Ground Pass,,19.160376,,,,,Davide Zappacosta,3660.0,,,,,,,1,From Kick Off,Nikola Maksimović,16202.0,Right Center Back,2,Torino,241,"['851e52aa-bbc5-4402-959a-91136ef8eebc', 'e8d2c5a1-ef1d-4b20-9a9a-15996e99d49c']",4,,,,,,,,,,,,,,,,,Torino,241,00:00:04.890,Pass,True
