50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,2.645996,,,,,,,,,,,878dcdb5-7bd9-41ef-8fd9-96458aafa7be,15,,"[30.8, 29.3]",3879543,0,,,,,-0.545432,,Head,,,"[54.2, 15.1]",,High Pass,,27.371517,Incomplete,,,,,,,,Recovery,1,From Kick Off,Mario Lemina,3951.0,Center Defensive Midfield,2,Frosinone,291,"['d4f779d7-f37f-4ae5-ad37-854b6073b1f5', 'e3beb05e-2f9e-4fd9-a239-ccb8a45f04df']",7,,,,,,,,,,,,,,,,,,Juventus,224,00:00:07.885,Pass,
,,,,,,,,,,,,,,,,,,,1.4899,,,,,,,,,,,e3beb05e-2f9e-4fd9-a239-ccb8a45f04df,16,,"[65.9, 65.0]",3879543,0,,,,,-0.029931178,,Head,,,"[82.6, 64.5]",,High Pass,,16.707483,Incomplete,,,,,,,,Recovery,1,From Kick Off,Matteo Ciofani,31721.0,Right Back,2,Frosinone,291,"['878dcdb5-7bd9-41ef-8fd9-96458aafa7be', '97ab8c1b-7356-4251-ba54-55653611fba8']",10,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:10.531,Pass,
,,,,,,,,,,,,,,,,,,,1.022759,,,,,,,,,,,97ab8c1b-7356-4251-ba54-55653611fba8,17,,"[37.5, 15.6]",3879543,0,,,,,-0.8340085,,Head,,,"[46.3, 5.9]",,High Pass,,13.096946,,,Paul Pogba,20004.0,,,,,Recovery,1,From Kick Off,Alex Sandro Lobo Silva,6945.0,Left Back,2,Frosinone,291,"['0e3fa998-21ee-469a-9927-4e58357f6e31', 'e3beb05e-2f9e-4fd9-a239-ccb8a45f04df']",12,,,,,,,,,,,,,,,,,,Juventus,224,00:00:12.021,Pass,
,,,,,,,,,,,,,,,,,,,0.844042,,,,,,,,,,,2f0e39cd-a9ca-42c2-9b9a-4f35540f1cc3,21,,"[46.7, 6.1]",3879543,0,,,,,-0.7601934,,Right Foot,,,"[52.8, 0.3]",,High Pass,,8.417244,Out,,,,,,,,,1,From Kick Off,Paul Pogba,20004.0,Left Center Midfield,2,Frosinone,291,['6eeaf16d-2ee0-4ae8-8da0-f2e6186c14f2'],13,,,,,,,,,,,,,,,,,,Juventus,224,00:00:13.354,Pass,True
,,,,,,,,,,,,,,,,,,,1.065139,,,,,,,,,,,c480b123-c0d8-4c8e-addf-c97d3a889317,22,,"[71.3, 80.0]",3879543,0,,,,,-0.77476025,,,,,"[80.8, 70.7]",,High Pass,,13.29436,Incomplete,,Nicolás Ignacio Castillo Mora,20970.0,,,,,Throw-in,1,From Throw In,Matteo Ciofani,31721.0,Right Back,3,Frosinone,291,"['034eef81-a217-411c-9e78-6c00a8fa15c3', '7956ab70-01b6-4931-aa25-d8b02fc0a1ae']",17,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:17.472,Pass,
,,,,,,,,,,,,,,,,,,,1.411379,,,,,,,,,,,7956ab70-01b6-4931-aa25-d8b02fc0a1ae,25,,"[39.3, 9.4]",3879543,0,,,,True,0.49466392,,,,,"[55.8, 18.3]",,High Pass,,18.747267,,,Simone Zaza,6584.0,,,,,Interception,1,From Throw In,Alex Sandro Lobo Silva,6945.0,Left Back,3,Frosinone,291,"['37d3ca64-b924-428f-92e1-231fc9e3a2c9', 'a2782f89-efe9-48bf-9094-2879f6ea2095', 'c480b123-c0d8-4c8e-addf-c97d3a889317']",18,,,,,,,,,,,,,,,,,,Juventus,224,00:00:18.537,Pass,True
,,,,,,,,,,,,,,,,,,,2.521629,,,,,,,,,,,78a00688-58f1-4def-ad11-abba2864dd5b,30,,"[61.3, 68.5]",3879543,0,,,,,-2.2030408,,Right Foot,,,"[48.7, 51.3]",,Ground Pass,,21.32135,,,Leonardo Blanchard,387847.0,,,,,Recovery,1,From Throw In,Matteo Ciofani,31721.0,Right Back,3,Frosinone,291,['dd7720fc-c139-466a-8924-9a4b3f48b719'],21,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:21.665,Pass,
,,,,,,,,,,,,,,,,,,,4.331207,,,,,,,,,,,c5fad33e-8e34-43d1-b730-88c123d738b3,32,,"[48.7, 51.3]",3879543,0,,,,,0.4743999,,Left Foot,,,"[104.2, 79.8]",,High Pass,,62.389904,Out,,,,,,,,,1,From Throw In,Leonardo Blanchard,387847.0,Left Center Back,3,Frosinone,291,,24,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:24.187,Pass,
,,,,,,,,,,,,,,,,,,,1.30171,,,,,,,,,,,24d1d605-5706-40ed-93fa-86589b4bd217,33,,"[21.9, 0.1]",3879543,0,,,,,0.3618628,,,,,"[39.6, 6.8]",,Low Pass,,18.925644,Incomplete,,Simone Zaza,6584.0,,,,,Throw-in,1,From Throw In,Alex Sandro Lobo Silva,6945.0,Left Back,4,Juventus,224,"['5b1be102-06f4-4e4e-88fd-2139c9e05a28', '6c4b5229-8a73-4112-a5e4-95966b9ac315']",34,,,,,,,,,,,,,,,,,,Juventus,224,00:00:34.043,Pass,
,,,,,,,,,,,,,,,,,,,1.775509,,,,,,,,,,,f6b77f4d-9717-4d34-9290-451fc7a26b0a,36,,"[41.5, 0.1]",3879543,0,,,,,0.41209626,,,,,"[58.2, 7.4]",,High Pass,,18.225805,Incomplete,,Simone Zaza,6584.0,,,,,Throw-in,1,From Throw In,Alex Sandro Lobo Silva,6945.0,Left Back,5,Juventus,224,"['55fe1bc3-560a-41ea-90e7-43700f0f2280', 'dbfc8277-c0cb-44e8-8be6-302d32f9a2dc']",45,,,,,,,,,,,,,,,,,,Juventus,224,00:00:45.789,Pass,
