bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e6c900a4-a376-45dc-bb46-93596af0d912,1,,,3879714,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Napoli,227,,0,,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 8876, 'name': 'Faouzi Ghoulam'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 7037, 'name': 'Lorenzo Insigne'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 24}, {'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Napoli,227,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,51114672-2de6-4cda-a7ca-37f229419808,2,,,3879714,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Napoli,227,,0,,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 7155, 'name': 'Vincent Laurini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7160, 'name': 'Lorenzo Tonelli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 26}, {'player': {'id': 31737, 'name': 'Michele Camporese'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 31}, {'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 40251, 'name': 'Daniele Croce'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 7054, 'name': 'Manuel Pucciarelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Empoli,290,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,edf43437-c1ff-43e5-a6ab-efbce1fbc695,3,,,3879714,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Napoli,227,['80352da9-f4fd-4db4-922c-cb886d9724ed'],0,,,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,80352da9-f4fd-4db4-922c-cb886d9724ed,4,,,3879714,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Napoli,227,['edf43437-c1ff-43e5-a6ab-efbce1fbc695'],0,,,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ad9d82b7-9a40-4d64-809a-9924355c65c1,1842,,,3879714,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Napoli,227,['9e4b7575-e25e-402f-bcca-2a0308930403'],0,,,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9e4b7575-e25e-402f-bcca-2a0308930403,1843,,,3879714,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,92,Napoli,227,['ad9d82b7-9a40-4d64-809a-9924355c65c1'],0,,,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.329941,,,,,,,,,,,,3c60fca7-09e7-44ff-8a2e-99560d2b664b,5,,"[61.0, 40.1]",3879714,0,,True,,,2.7270858,,Right Foot,,,,"[58.5, 41.2]",,Ground Pass,,2.7313,,,,Lorenzo Insigne,7037.0,,,,,,Kick Off,1,From Kick Off,Gonzalo Gerardo Higuaín,5497.0,Center Forward,2,Napoli,227,['01409a2b-d990-400b-823a-e244a43ac000'],0,,,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.374,Pass,
,,,,,,,,,,,,,,,,,0.679178,,,,,,,,,,,,c52a278a-d2fb-4dc7-89d8-6ade7e4ed22b,7,,"[57.9, 42.4]",3879714,0,,,,,-3.024484,,Left Foot,,,,"[47.7, 41.2]",,Ground Pass,,10.270346,,,,Raúl Albiol i Tortajada,7030.0,,,,,,,1,From Kick Off,Lorenzo Insigne,7037.0,Left Wing,2,Napoli,227,['3bc89751-ae97-4221-baf1-f71b09ccabeb'],0,,,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.784,Pass,
,,,,,,,,,,,,,,,,,0.945236,,,,,,,,,,,,fb24e69a-237b-4e7f-b138-f88da89e707e,10,,"[47.7, 41.0]",3879714,0,,,,,-1.1071488,,Right Foot,,,,"[49.4, 37.6]",,Ground Pass,,3.8013155,,,,Kalidou Koulibaly,5675.0,,,,,,,1,From Kick Off,Raúl Albiol i Tortajada,7030.0,Right Center Back,2,Napoli,227,['6ed5698f-629d-4763-9341-2b1bb6aedb26'],1,,,,,,,,,,,,,,,,,,,Napoli,227,00:00:01.543,Pass,
,,,,,,,,,,,,,,,,,4.786527,,,,,,,,,,,,b1ae4c0c-27e9-4191-be68-db81f395e3d4,13,,"[49.4, 37.6]",3879714,0,,,,,0.50266683,,Right Foot,,,,"[114.7, 73.5]",,High Pass,,74.517784,,,,José María Callejón Bueno,7029.0,,,,,,,1,From Kick Off,Kalidou Koulibaly,5675.0,Left Center Back,2,Napoli,227,['40f1b443-54b9-4499-a153-2b7a1bfce153'],2,,,,,,,,,,,,,,,,,,,Napoli,227,00:00:02.542,Pass,
