50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_card,foul_committed_type,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,3.0124,,,,,,,,,,5f1f0ed5-2288-4173-bd9f-e3381c5215ce,34,,"[23.2, 61.9]",3879557,0,,,,,0.020143796,,Left Foot,,"[77.8, 63.0]",,High Pass,,54.61108,,,,,Juan Ignacio Gómez Taleb,386651.0,,,,,Free Kick,1,From Free Kick,Rafael de Andrade Bittencourt Pinheiro,9887.0,Goalkeeper,4,Hellas Verona,226,['107be5f3-8aec-4e22-82be-600df23862ed'],37,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:37.388,Pass,
,,,,,,,,,,,,,,,,1.99015,,,,,,,,,,aab9a5a8-a175-48f8-a2bc-b6dc65f4570e,36,,"[77.8, 63.0]",3879557,0,,,,True,0.633633,,,,"[92.5, 73.8]",,High Pass,,18.240889,,,Incomplete,,Jacopo Sala,7020.0,,,,,,1,From Free Kick,Juan Ignacio Gómez Taleb,386651.0,Center Forward,4,Hellas Verona,226,"['071773cd-55e3-43a6-953b-84c0c148999b', '129f67c7-497b-4857-8cce-d7c0a6fa7f76', '7aef7b50-13cc-4290-aaab-a758e0dc969e']",40,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:40.440,Pass,True
,,,,,,,,,,,,,,,,1.352424,,,,,,,,,,129f67c7-497b-4857-8cce-d7c0a6fa7f76,39,,"[27.6, 6.3]",3879557,0,,,,,0.26854637,,Left Foot,,"[53.4, 13.4]",,High Pass,,26.759111,,,,,Alberto Paloschi,6950.0,,,,,Recovery,1,From Free Kick,Massimo Gobbi,8645.0,Left Back,4,Hellas Verona,226,"['1e270618-27db-4cc8-9fad-fb05da0caae6', 'aab9a5a8-a175-48f8-a2bc-b6dc65f4570e']",42,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:42.430,Pass,
,,,,,,,,,,,,,,,,1.288549,,,,,,,,,,75f4c9bd-717e-4d26-8157-6a837c90802b,42,,"[58.0, 11.4]",3879557,0,,,,,-0.95054686,,Left Foot,,"[61.5, 6.5]",,Ground Pass,,6.021628,,,Incomplete,,Perparim Hetemaj,7046.0,,,,,,1,From Free Kick,Alberto Paloschi,6950.0,Left Center Forward,4,Hellas Verona,226,"['0c983a91-cd43-4c48-a670-2ba785c27b99', 'bc1058d9-b2f7-47e5-98ad-94375fbea0ec']",46,,,,,,,,,,,,,,,,,,,Chievo,231,00:00:46.219,Pass,
,,,,,,,,,,,,,,,,0.82896,,,,,,,,,,4bfcb01d-53e8-438f-a135-cf8089f73025,47,,"[65.0, 63.0]",3879557,0,,,,,-2.610415,,Right Foot,,"[57.0, 58.3]",,Ground Pass,,9.27847,,,,,Federico Viviani,7770.0,,,,,,1,From Free Kick,Jacopo Sala,7020.0,Right Wing Back,4,Hellas Verona,226,['067af7ff-a676-4058-a900-1f9a32098652'],49,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:49.637,Pass,
,,,,,,,,,,,,,,,,2.979216,,,,,,,,,,31f2ae0a-4b5d-4d7b-acfd-33e2b1dcb903,50,,"[63.4, 55.3]",3879557,0,,,,,-1.0172063,,Right Foot,,"[90.1, 12.1]",,High Pass,,50.785137,,,Incomplete,,Boško Janković,26442.0,,True,,,,1,From Free Kick,Federico Viviani,7770.0,Right Defensive Midfield,4,Hellas Verona,226,"['453e2124-e631-4d2a-b0fc-87d96da3e70a', '8c0b2a8a-77cb-4193-8459-6a8552e3f4be']",51,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:51.645,Pass,
,,,,,,,,,,,,,,,,1.403624,,,,,,,,,,a2febcd8-c283-4ef2-abd9-aef6b2a84b92,54,,"[92.5, 0.1]",3879557,1,,,,,1.3093175,,,,"[98.2, 21.4]",,High Pass,,22.04949,,,Unknown,,Juan Ignacio Gómez Taleb,386651.0,,,,,Throw-in,1,From Throw In,Samuel Souprayen,7695.0,Left Wing Back,5,Hellas Verona,226,['31958536-2b21-4134-b63d-0c361196b228'],34,,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:01:34.086,Pass,
,,,,,,,,,,,,,,,,0.988329,,,,,,,,,,d17f3bdf-d50f-48e5-9778-c9a7a0e10b99,58,,"[27.9, 57.1]",3879557,1,,,,,-1.5707964,,Right Foot,,"[27.9, 54.4]",,Ground Pass,,2.7,,,,,Albano Benjamín Bizzarri,7803.0,,,,,Free Kick,1,From Free Kick,Alessandro Gamberini,7052.0,Right Center Back,6,Chievo,231,['1db750a6-07d2-464e-8307-77a7e847c52f'],53,,,,,,,,,,,,,,,,,,,Chievo,231,00:01:53.758,Pass,
,,,,,,,,,,,,,,,,2.4,,,,,,,,,,b69c38c9-cea6-4caa-94e0-9304f90496cd,61,,"[27.9, 54.4]",3879557,1,,,,,-1.3369206,,Right Foot,,"[36.0, 20.4]",,Ground Pass,,34.951538,,,,,Boštjan Cesar,8877.0,,,,,,1,From Free Kick,Albano Benjamín Bizzarri,7803.0,Goalkeeper,6,Chievo,231,['13700d68-9437-49bd-889a-58695d9d9528'],54,,,,,,,,,,,,,,,,,,,Chievo,231,00:01:54.827,Pass,
,,,,,,,,,,,,,,,,1.231318,,,,,,,,,,51bb1a9e-7d82-433b-9c33-ba7e2a1573cd,64,,"[42.7, 19.7]",3879557,1,,,,,-0.24677399,,Left Foot,,"[55.8, 16.4]",,Ground Pass,,13.509256,,,,,Perparim Hetemaj,7046.0,,,,,,1,From Free Kick,Boštjan Cesar,8877.0,Left Center Back,6,Chievo,231,['99d1999e-b588-4479-907f-0e87bd49e7d0'],57,,,,,,,,,,,,,,,,,,,Chievo,231,00:01:57.937,Pass,
