50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,586fc3c1-ef2d-440a-b73e-7480a069bce5,1,,,3879808,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 32037, 'name': 'Nicola Leali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 7462, 'name': 'Aleandro Rosi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 8291, 'name': 'Arlind Afrim Ajeti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 93}, {'player': {'id': 387847, 'name': 'Leonardo Blanchard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 8661, 'name': 'Daniel Pavlovic'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 20}, {'player': {'id': 30911, 'name': 'Robert Gucher'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 20636, 'name': 'Mirko Gori'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 386512, 'name': 'Alessandro Frara'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 23470, 'name': 'Luca Paganini'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 8793, 'name': 'Oliver Kragl'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 11}, {'player': {'id': 13613, 'name': 'Daniel Ciofani'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Frosinone,291,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,3132d8d3-50b1-4695-a2a8-f88add5b0e9d,2,,,3879808,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6984, 'name': ""Danilo D''Ambrosio""}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 33}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 6969, 'name': 'Juan Guilherme Nunes Jesus'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 11183, 'name': 'Alex Nicolao Telles'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 77}, {'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 83}, {'player': {'id': 11497, 'name': 'Jonathan Ludovic Biabiany'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 11}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 44}, {'player': {'id': 3434, 'name': 'Stevan Jovetić'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 10}, {'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,8f688a6d-13e6-4c30-aedd-849ecbbe0e12,3,,,3879808,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,['1bf3a228-263e-44b0-8797-d8a96abab1f8'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,1bf3a228-263e-44b0-8797-d8a96abab1f8,4,,,3879808,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,['8f688a6d-13e6-4c30-aedd-849ecbbe0e12'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,13463f0c-0387-4b0b-b8e9-5130cdd4a1ce,1637,,,3879808,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,102,Inter Milan,238,['dbd6408e-63b4-445e-be54-577d61db0a4f'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dbd6408e-63b4-445e-be54-577d61db0a4f,1638,,,3879808,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,102,Inter Milan,238,['13463f0c-0387-4b0b-b8e9-5130cdd4a1ce'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.545103,,,,,,,,,,,,,,b49cd3ac-2c43-4e06-8c3e-6ba206049cfe,5,,"[61.0, 40.1]",3879808,0,,,,,-1.6672701,,Right Foot,,,"[60.7, 37.0]",,Ground Pass,,3.1144824,,,Alessandro Frara,386512.0,,,,,Kick Off,1,From Kick Off,Daniel Ciofani,13613.0,Center Forward,2,Frosinone,291,['00c41930-022e-44cf-bdd5-5b2128e9fb61'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.708,Pass,
,,,,,,,,,,,,,,,2.014498,,,,,,,,,,,,,,b4a29c15-dbfd-4c13-9780-f2d948f32f4c,8,,"[59.0, 40.6]",3879808,0,,,,,-2.970488,,Right Foot,,,"[31.8, 35.9]",,Ground Pass,,27.603079,,,Leonardo Blanchard,387847.0,,,,,,1,From Kick Off,Alessandro Frara,386512.0,Left Center Midfield,2,Frosinone,291,['86b3175a-1220-494a-9adf-936597ee9232'],1,,,,,,,,,,,,,,,,,Frosinone,291,00:00:01.287,Pass,
,,,,,,,,,,,,,,,1.601716,,,,,,,,,,,,,,c08ca7c9-6b92-4f56-8296-a1651a4bbb63,11,,"[31.8, 35.9]",3879808,0,,,,,-0.35920376,,Left Foot,,,"[57.1, 26.4]",,Ground Pass,,27.024803,,,Oliver Kragl,8793.0,,,,,,1,From Kick Off,Leonardo Blanchard,387847.0,Left Center Back,2,Frosinone,291,['ccc1b376-48ec-4c9a-895f-5ccf8b4f165b'],4,,,,,,,,,,,,,,,,,Frosinone,291,00:00:04.242,Pass,
,,,,,,,,,,,,,,,1.262252,,,,,,,,,,,,,,76bac5f1-e6bf-4636-80a0-9966b5e4bc33,15,,"[57.1, 26.4]",3879808,0,,,,,1.2821599,,Left Foot,,,"[65.8, 55.7]",,Ground Pass,,30.564358,Incomplete,,,,,,,,,1,From Kick Off,Oliver Kragl,8793.0,Left Wing,2,Frosinone,291,"['383c5735-5f9b-4003-b833-21a2eaef9920', 'a5ce1eb9-71ee-4f21-8ca2-fa08f6528103']",6,,,,,,,,,,,,,,,,,Frosinone,291,00:00:06.628,Pass,True
,,,,,,,,,,,,,,,1.706908,,,,,,,,,,,,,,383c5735-5f9b-4003-b833-21a2eaef9920,16,,"[54.3, 24.4]",3879808,0,,,,,0.7449889,,Right Foot,,,"[73.6, 42.2]",,High Pass,,26.255095,,,Stevan Jovetić,3434.0,,,,,Recovery,1,Regular Play,Ivan Perišić,5474.0,Left Midfield,3,Inter Milan,238,"['0b2f964d-7eab-4432-b5ab-18c63ab00b17', '76bac5f1-e6bf-4636-80a0-9966b5e4bc33']",7,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:07.890,Pass,
,,,,,,,,,,,,,,,0.773341,,,,,,,,,,,,,,1531a400-31cc-481a-b30f-dc2c51b08cf9,19,,"[73.6, 42.2]",3879808,0,,,,,1.1317916,,Other,,,"[79.0, 53.7]",,Low Pass,,12.704723,,,Mauro Emanuel Icardi Rivero,6987.0,,,,,,1,Regular Play,Stevan Jovetić,3434.0,Right Center Forward,3,Inter Milan,238,['43e28554-ba48-4e0c-8c65-2ae9bd3fdff9'],9,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:09.677,Pass,
,,,,,,,,,,,,,,,0.599362,,,,,,,,,,,,,,f06bcc35-cc25-4cbe-b3df-e88ce93a959c,22,,"[79.0, 53.7]",3879808,0,,,,,-2.5787244,,Right Foot,,,"[70.6, 48.4]",,Ground Pass,,9.932271,,,Jonathan Ludovic Biabiany,11497.0,,,,,,1,Regular Play,Mauro Emanuel Icardi Rivero,6987.0,Left Center Forward,3,Inter Milan,238,['cdefee79-12b5-4dc6-8571-84f9cf359857'],10,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:10.490,Pass,
,,,,,,,,,,,,,,,0.611159,,,,,,,,,,,,,,eb2cf97c-e817-451d-819f-0764339fe2d4,26,,"[70.6, 48.4]",3879808,0,,,,,-2.4980915,,Right Foot,,,"[65.4, 44.5]",,Ground Pass,,6.5,,,Marcelo Brozović,5469.0,,,,,,1,Regular Play,Jonathan Ludovic Biabiany,11497.0,Right Midfield,3,Inter Milan,238,"['7b1a8f22-650b-48cb-941e-075084bf3d20', 'b6d51a0c-b2c0-4bd6-89f4-e148ccbe82d8']",11,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:11.721,Pass,True
,,,,,,,,,,,,,,,0.10141,,,,,,,,,,,,,,157cf8ff-1204-4b9a-a121-cdaa8bc52bb0,30,,"[65.4, 44.5]",3879808,0,,,,,1.1341692,,Left Foot,,,"[66.8, 47.5]",,Ground Pass,,3.310589,Incomplete,,Danilo D''Ambrosio,6984.0,,,,,,1,Regular Play,Marcelo Brozović,5469.0,Right Defensive Midfield,3,Inter Milan,238,"['3e12a595-a2c2-4865-b6ff-d6ff216b08e3', '5006691b-16d5-487b-8520-6b14ca387b6d', '772bdc70-2973-4a43-bda4-862daab989c8']",12,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:12.412,Pass,True
,,,,,,,,,,,,,,,2.085984,,,,,,,,,,,,,,9090d64a-d626-4cb2-b836-bcd2aff3b73a,33,,"[46.3, 60.5]",3879808,0,,,,,0.6121525,,Right Foot,,,"[65.1, 73.7]",,Ground Pass,,22.971287,,,Danilo D''Ambrosio,6984.0,,,,,Recovery,1,Regular Play,Jeison Fabián Murillo Cerón,6585.0,Right Center Back,3,Inter Milan,238,['556e851a-bd9a-4ed3-9a4e-380e20c2e9fb'],14,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:14.928,Pass,
