50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,c7ff7c90-61a7-4150-ab2b-7bd8c3aa7bd1,1,,,,3879574,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6999, 'name': 'Davide Santon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6969, 'name': 'Juan Guilherme Nunes Jesus'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 83}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 77}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 44}, {'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 3434, 'name': 'Stevan Jovetić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,290ca3a6-a8ae-421d-82a9-35c234e3ca82,2,,,,3879574,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 19}, {'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 16}, {'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 33}, {'player': {'id': 8294, 'name': 'Claudio Marchisio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 6584, 'name': 'Simone Zaza'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e4c217a2-6566-4efb-892e-a6d46490bf4f,3,,,,3879574,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['df49e3fc-c0d5-4049-a36b-b03d3261d5cc'],0,,,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,df49e3fc-c0d5-4049-a36b-b03d3261d5cc,4,,,,3879574,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['e4c217a2-6566-4efb-892e-a6d46490bf4f'],0,,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,748c4c2f-60e2-4cbd-a392-f00c5e1e5f72,1768,,,,3879574,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,92,Juventus,224,['b1eeda7c-2bc4-464d-8080-61ff2687b388'],0,,,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,b1eeda7c-2bc4-464d-8080-61ff2687b388,1769,,,,3879574,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,92,Juventus,224,['748c4c2f-60e2-4cbd-a392-f00c5e1e5f72'],0,,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.418399,,,,,,,,,,,,,,ada89cea-267f-407f-9dbb-3ecc23b3942e,5,,,"[60.0, 40.0]",3879574,0,,True,,,-1.332187,,Right Foot,,,,"[60.9, 36.3]",Ground Pass,,3.8078866,,,,Simone Zaza,6584.0,,,,,Kick Off,1,From Kick Off,Álvaro Borja Morata Martín,3477.0,Left Center Forward,2,Juventus,224,['01e3a9a7-8e42-41ff-a691-b25f94c2bd2a'],1,,,,,,,,,,,,,,,,,,,Juventus,224,00:00:01.049,Pass,
,,,,,,,,,,,,,,0.843516,,,,,,,,,,,,,,13bbfc01-d5e5-4b9e-b874-83ba37eed0a9,7,,,"[61.0, 37.3]",3879574,0,,,,,-3.0828369,,Left Foot,,,,"[47.4, 36.5]",Ground Pass,,13.623509,,,,Claudio Marchisio,8294.0,,,,,,1,From Kick Off,Simone Zaza,6584.0,Right Center Forward,2,Juventus,224,['43c272c9-7ae2-474f-9a79-96618006730d'],1,,,,,,,,,,,,,,,,,,,Juventus,224,00:00:01.467,Pass,
,,,,,,,,,,,,,,1.994144,,,,,,,,,,,,,,385ccc87-bd34-4755-960b-c3dfb24c3827,10,,,"[47.4, 36.5]",3879574,0,,,,,-1.7957376,,Right Foot,,,,"[42.0, 12.9]",Ground Pass,,24.209915,,,,Giorgio Chiellini,6954.0,,,,,,1,From Kick Off,Claudio Marchisio,8294.0,Center Defensive Midfield,2,Juventus,224,['4e6b5107-6748-44ed-83c4-675913fe328d'],2,,,,,,,,,,,,,,,,,,,Juventus,224,00:00:02.813,Pass,
,,,,,,,,,,,,,,0.934146,,,,,,,,,,,,,,3f12c4a5-e61d-4e28-b5c5-f7bbbcc02455,14,,,"[43.2, 13.9]",3879574,0,,,,,0.35016668,,Left Foot,,,,"[54.7, 18.1]",Ground Pass,,12.242957,,,,Paul Pogba,20004.0,,,,,,1,From Kick Off,Giorgio Chiellini,6954.0,Left Center Back,2,Juventus,224,"['5b4aa8e8-0692-444d-a0ea-c559ef81c68b', 'fa363814-9bab-4057-a3f2-1700a40ee07c']",4,,,,,,,,,,,,,,,,,,,Juventus,224,00:00:04.995,Pass,True
