50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,729fbc00-2a6c-4865-a351-258135d49e88,1,,,3879641,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 8274, 'name': 'Pierluigi Gollini'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 95}, {'player': {'id': 11342, 'name': 'Eros Pisano'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 3}, {'player': {'id': 8421, 'name': 'Matteo Bianchetti'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 22}, {'player': {'id': 31488, 'name': 'Vangelis Moras'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 7695, 'name': 'Samuel Souprayen'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 69}, {'player': {'id': 7770, 'name': 'Federico Viviani'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 24}, {'player': {'id': 5512, 'name': 'Emil Hallfreðsson'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 10}, {'player': {'id': 11339, 'name': 'Paweł Wszołek'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 13}, {'player': {'id': 11494, 'name': 'Luca Siligardi'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 16}, {'player': {'id': 7949, 'name': 'Artur Ioniţă'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 20252, 'name': 'Luca Toni'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Hellas Verona,226,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,080dabb4-68b8-4263-9e7f-0f61d9fbc78c,2,,,3879641,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,,0,,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 11508, 'name': 'Łukasz Skorupski'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 28}, {'player': {'id': 7155, 'name': 'Vincent Laurini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 8664, 'name': 'Andrea Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 17520, 'name': 'Federico Barba'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 19}, {'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 5660, 'name': 'Piotr Zieliński'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 8187, 'name': 'Marcel Büchel'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 77}, {'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 7054, 'name': 'Manuel Pucciarelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 40252, 'name': 'Massimo Maccarone'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 7}]}",Empoli,290,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a874370c-970f-4e80-8913-66df778398bc,3,,,3879641,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['35b1877e-62ed-4ce6-830a-739bd5c6f862'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,35b1877e-62ed-4ce6-830a-739bd5c6f862,4,,,3879641,0,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Hellas Verona,226,['a874370c-970f-4e80-8913-66df778398bc'],0,,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,78f07b18-866a-40d0-b57f-7ad980699b2f,1805,,,3879641,45,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,103,Empoli,290,['9a43f663-ebcd-4a7f-ae11-e84c95aea5f5'],0,,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9a43f663-ebcd-4a7f-ae11-e84c95aea5f5,1806,,,3879641,45,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,103,Empoli,290,['78f07b18-866a-40d0-b57f-7ad980699b2f'],0,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,1.050391,,,,,,,,,,,,79bbf515-2200-4cfa-acb0-bb86970f2f7c,5,,"[60.0, 40.0]",3879641,0,,,,-2.8341951,,Right Foot,,,,"[47.4, 36.0]",Ground Pass,13.219683,,,Federico Barba,17520.0,,,,,Kick Off,1,From Kick Off,Riccardo Saponara,7150.0,Center Attacking Midfield,2,Empoli,290,['3d16d440-92b0-4273-ac7d-42375e59f4c0'],0,,,,,,,,,,,,,,,,,,Empoli,290,00:00:00.543,Pass,
,,,,,,,,,,,,,,,0.912132,,,,,,,,,,,,750e3bb2-6edd-47b6-91fd-fc1291b0ce22,8,,"[47.2, 36.7]",3879641,0,,,,1.4382448,,Left Foot,,,,"[47.4, 38.2]",Ground Pass,1.5132746,,,Andrea Costa,8664.0,,,,,,1,From Kick Off,Federico Barba,17520.0,Left Center Back,2,Empoli,290,['42f65124-e4d4-4d4f-b157-daf4c1c7d25e'],1,,,,,,,,,,,,,,,,,,Empoli,290,00:00:01.672,Pass,
,,,,,,,,,,,,,,,2.304075,,,,,,,,,,,,9044619a-8f77-48ea-9182-ce7835d368d8,11,,"[48.1, 38.0]",3879641,0,,,,0.532034,,Left Foot,,,,"[90.4, 62.9]",High Pass,49.08462,Incomplete,,Massimo Maccarone,40252.0,,,,,,1,From Kick Off,Andrea Costa,8664.0,Right Center Back,2,Empoli,290,"['807808d7-e94f-4135-8248-c8253591b8ac', 'b63d44be-0ad3-4250-b09b-bc72dae5d59e']",2,,,,,,,,,,,,,,,,,,Empoli,290,00:00:02.664,Pass,
,,,,,,,,,,,,,,,0.888749,,,,,,,,,,,,708aeb8a-5a39-44ff-8ec4-65e260b906f1,17,,"[56.0, 0.1]",3879641,0,True,,,0.68788236,,,,,,"[66.1, 8.4]",Low Pass,13.072873,,,Artur Ioniţă,7949.0,,,,,Throw-in,1,From Throw In,Samuel Souprayen,7695.0,Left Back,3,Hellas Verona,226,['d079ce7b-ef78-4fa7-aa42-e415104a7607'],12,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:12.058,Pass,
