50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.38242,,,,,,,,,,,,,deffb836-e5aa-408c-bf83-d7eb55441835,1382,,"[41.4, 80.0]",3879762,42,,True,,,-1.4496533,,,,,"[42.8, 68.5]",,Low Pass,,11.584904,,,,Matteo Bianchetti,8421.0,,,,,Throw-in,1,From Throw In,Eros Pisano,11342.0,Right Back,84,Hellas Verona,226,['f40336e5-eebb-4a86-816b-c708bb28c678'],5,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:42:05.727,Pass,
,,,,,,,,,,,,,,,,4.710586,,,,,,,,,,,,,ba3f1170-686d-48a2-8504-4582aa88d7e6,1384,,"[42.8, 68.5]",3879762,42,,True,,,-0.78861356,,Right Foot,,,"[89.3, 21.7]",,High Pass,,65.973404,,Injury Clearance,,,,,True,,,,1,From Throw In,Matteo Bianchetti,8421.0,Right Center Back,84,Hellas Verona,226,,6,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:42:06.110,Pass,
,,,,,,,,,,,,,,,,1.454844,,,,,,,,,,,,,6d11d7e6-2465-4b98-8615-1cf3b1c53ac2,1386,,"[26.7, 64.1]",3879762,42,,,,,0.73459446,,Right Foot,,,"[39.1, 75.3]",,Ground Pass,,16.709278,,,,Iván Rodrigo Piris Leguizamón,46670.0,,,,,,1,Regular Play,Danilo Larangeira,7799.0,Right Center Back,85,Udinese,230,['5ccb5824-2aa9-418e-9526-eb3bd66ef2c5'],13,,,,,,,,,,,,,,,,,,Udinese,230,00:42:13.579,Pass,
,,,,,,,,,,,,,,,,0.935217,,,,,,,,,,,,,1765f0bd-531b-4e32-94c7-da532fca3e2b,1388,,"[39.1, 75.3]",3879762,42,,,,,-1.2133466,,Right Foot,,,"[42.2, 67.0]",,Ground Pass,,8.860023,,,,Guilherme dos Santos Torres,6729.0,,,,,,1,Regular Play,Iván Rodrigo Piris Leguizamón,46670.0,Right Back,85,Udinese,230,['26dd9948-22cf-44fa-a59e-072cd56a9188'],15,,,,,,,,,,,,,,,,,,Udinese,230,00:42:15.034,Pass,
,,,,,,,,,,,,,,,,1.336938,,,,,,,,,,,,,ff1a4063-4e1f-4cbd-9456-155363f2cc75,1391,,"[46.6, 70.4]",3879762,42,,,,,0.63707036,,Right Foot,,,"[56.6, 77.8]",,Ground Pass,,12.440257,,,,Iván Rodrigo Piris Leguizamón,46670.0,,,,,,1,Regular Play,Guilherme dos Santos Torres,6729.0,Center Defensive Midfield,85,Udinese,230,['e77a3dc0-6e11-4699-84c4-a50b205c1e61'],18,,,,,,,,,,,,,,,,,,Udinese,230,00:42:18.123,Pass,
,,,,,,,,,,,,,,,,1.339212,,,,,,,,,,,,,2f4f1fd3-fea0-440b-bdac-655a1c54dbc2,1395,,"[56.8, 79.1]",3879762,42,,,,,-0.6820884,,Right Foot,,,"[73.3, 65.7]",,Ground Pass,,21.255823,,Incomplete,,Antonio Di Natale,19846.0,,,,,,1,Regular Play,Iván Rodrigo Piris Leguizamón,46670.0,Right Back,85,Udinese,230,"['d9844178-cce8-4ae7-ab5f-0762313c9444', 'eda8bbef-1bb3-4d13-8c3c-1bb75d07677d', 'f709578d-af50-4293-9729-2a908683833e']",20,,,,,,,,,,,,,,,,,,Udinese,230,00:42:20.270,Pass,True
,,,,,,,,,,,,,,,,2.784736,,,,,,,,,,,,,f709578d-af50-4293-9729-2a908683833e,1397,,"[46.8, 14.4]",3879762,42,,,,,-0.23289274,,Right Foot,,,"[83.9, 5.6]",,High Pass,,38.129383,,Incomplete,,Luca Siligardi,11494.0,,,,,Interception,1,Regular Play,Matteo Bianchetti,8421.0,Right Center Back,85,Udinese,230,"['2f4f1fd3-fea0-440b-bdac-655a1c54dbc2', '77efa4ea-b6ba-489c-8e56-71e2b9131c01', 'd3de6fa1-3d4f-4c5e-8c7f-03b46f71a953']",21,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:42:21.609,Pass,
,,,,,,,,,,,,,,,,2.82289,,,,,,,,,,,,,d3de6fa1-3d4f-4c5e-8c7f-03b46f71a953,1399,,"[36.2, 74.5]",3879762,42,,,,,-0.123626664,,Head,,,"[53.1, 72.4]",,High Pass,,17.029974,,,,Guilherme dos Santos Torres,6729.0,,,,,Recovery,1,Regular Play,Iván Rodrigo Piris Leguizamón,46670.0,Right Back,85,Udinese,230,"['2c9ff331-9210-4e15-88fc-256c898db54a', 'f709578d-af50-4293-9729-2a908683833e']",24,,,,,,,,,,,,,,,,,,Udinese,230,00:42:24.394,Pass,
,,,,,,,,,,,,,,,,0.688082,,,,,,,,,,,,,235052d5-d0d1-4940-a439-9f272aa9bb06,1403,,"[53.3, 72.0]",3879762,42,,,,,1.4994888,,Right Foot,,,"[53.6, 76.2]",,Low Pass,,4.2107005,,,,Bruno Miguel Borges Fernandes,5204.0,,,,,,1,Regular Play,Guilherme dos Santos Torres,6729.0,Center Defensive Midfield,85,Udinese,230,['5b30635c-f66c-40b2-b91e-d927e56ff09c'],29,,,,,,,,,,,,,,,,,,Udinese,230,00:42:29.055,Pass,
,,,,,,,,,,,,,,,,0.87053,,,,,,,,,,,,,cd88fc8f-cca9-4e2f-903e-da67e168882e,1409,,"[106.1, 80.0]",3879762,43,,,,,-1.0018132,,,,,"[111.6, 71.4]",,Low Pass,,10.20833,,,,Antonio Di Natale,19846.0,,,,,Throw-in,1,From Throw In,Iván Rodrigo Piris Leguizamón,46670.0,Right Back,86,Udinese,230,['8f54d890-4494-4ed5-b483-25333af109d6'],6,,,,,,,,,,,,,,,,,,Udinese,230,00:43:06.872,Pass,
