50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,bcee11c9-3dd2-42eb-94c3-1040cee08d00,1,,,,3879559,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 6}, {'player': {'id': 25345, 'name': 'Anderson Hernanes de Carvalho Andrade'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 11}, {'player': {'id': 5689, 'name': 'Juan Guillermo Cuadrado Bello'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 16}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1af62d1f-60f2-4d2f-b725-42a43fd7548a,2,,,,3879559,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7174, 'name': 'Antonio Mirante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 83}, {'player': {'id': 7704, 'name': 'Alex Ferrari'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 24}, {'player': {'id': 8873, 'name': 'Marios Oikonomou'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 30745, 'name': 'Daniele Gastaldello'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 28}, {'player': {'id': 7169, 'name': 'Adam Masina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 7175, 'name': 'Erick Antonio Pulgar Farfán'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 8284, 'name': 'Amadou Diawara'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 34565, 'name': 'Anthony Mounier'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 26}, {'player': {'id': 45591, 'name': 'Franco Brienza'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 11729, 'name': 'Luca Rizzo'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 8103, 'name': 'Mattia Destro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d2a82a38-9ab2-4b53-9f91-0d407cc16218,3,,,,3879559,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['6083f85b-0f08-4269-945c-a346af72d7fc'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6083f85b-0f08-4269-945c-a346af72d7fc,4,,,,3879559,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['d2a82a38-9ab2-4b53-9f91-0d407cc16218'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,296d82ab-a6ed-4858-9425-a0309f34fb79,1903,,,,3879559,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Juventus,224,['e8c6e2b4-f20c-4f69-9a54-220189c62bbf'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e8c6e2b4-f20c-4f69-9a54-220189c62bbf,1904,,,,3879559,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,97,Juventus,224,['296d82ab-a6ed-4858-9425-a0309f34fb79'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,1.564617,,,,,,,,,,,,,3c050639-88ae-4d13-8e9d-d097a88097d0,5,,,"[60.0, 40.0]",3879559,0,,,,,3.1214612,,Right Foot,,,"[45.1, 40.3]",,Ground Pass,,14.90302,,,,Anderson Hernanes de Carvalho Andrade,25345.0,,,,,Kick Off,1,From Kick Off,Paulo Bruno Exequiel Dybala,5743.0,Right Center Forward,2,Juventus,224,['c7b23815-956c-4efd-b96b-c98278b1dc51'],1,,,,,,,,,,,,,,,,,Juventus,224,00:00:01.099,Pass,
,,,,,,,,,,,,,,,,1.709001,,,,,,,,,,,,,8dacc660-ce98-4474-9d15-4ab413f921c3,8,,,"[46.5, 40.3]",3879559,0,,,,,1.7148888,,Left Foot,,,"[42.8, 65.8]",,Ground Pass,,25.767033,,,,Andrea Barzagli,6943.0,,,,,,1,From Kick Off,Anderson Hernanes de Carvalho Andrade,25345.0,Left Defensive Midfield,2,Juventus,224,['476ab132-2f2e-4116-b28d-f2a293869a02'],3,,,,,,,,,,,,,,,,,Juventus,224,00:00:03.407,Pass,
,,,,,,,,,,,,,,,,1.859068,,,,,,,,,,,,,15ef2996-be26-4f7a-a377-8848166d5ac6,11,,,"[39.3, 62.5]",3879559,0,,,,,-2.0020812,,Right Foot,,,"[28.9, 39.9]",,Ground Pass,,24.878103,,,,Leonardo Bonucci,7173.0,,,,,,1,From Kick Off,Andrea Barzagli,6943.0,Right Back,2,Juventus,224,['8b6e1522-6f1c-4b6a-acfe-cf1e1e838d56'],5,,,,,,,,,,,,,,,,,Juventus,224,00:00:05.698,Pass,
,,,,,,,,,,,,,,,,1.921401,,,,,,,,,,,,,b36eb1a2-3c05-448a-bd40-8e6fe0174e61,14,,,"[28.9, 39.9]",3879559,0,,,,,-1.1229577,,Right Foot,,,"[43.6, 9.3]",,Ground Pass,,33.947754,,,,Giorgio Chiellini,6954.0,,,,,,1,From Kick Off,Leonardo Bonucci,7173.0,Right Center Back,2,Juventus,224,['313f05bb-9181-428a-99b9-d974ee5207a6'],8,,,,,,,,,,,,,,,,,Juventus,224,00:00:08.381,Pass,
