bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,40d76ea2-7b05-42b0-8151-035c3455a498,1,,,3879824,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,,0,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 7018, 'name': 'Emiliano Viviano'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 2}, {'player': {'id': 174418, 'name': 'Modibo Diakité'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 7019, 'name': 'Matías Agustín Silvestre'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 26}, {'player': {'id': 387417, 'name': 'Mattia Cassani'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 7473, 'name': 'Lorenzo De Silvestri'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 29}, {'player': {'id': 25505, 'name': 'José Rodolfo Pires Ribeiro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 11}, {'player': {'id': 16586, 'name': 'Fernando Lucas Martins'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 15959, 'name': 'Nenad Krstičić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 8875, 'name': 'Ricardo Gabriel Álvarez'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 25}, {'player': {'id': 6759, 'name': 'Roberto Soriano'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 7011, 'name': 'Fabio Quagliarella'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",Sampdoria,234,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,cde7867d-3546-4fb2-96ce-3376b04ae0f7,2,,,3879824,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 91}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 28}, {'player': {'id': 3371, 'name': 'Mario Barwuah Balotelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 45}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 70}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,9cd6f08f-3141-4bca-8ea1-1b0f01483409,3,,,3879824,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,['41bed72a-dc2d-4138-8ffd-3ded54b47430'],0,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,41bed72a-dc2d-4138-8ffd-3ded54b47430,4,,,3879824,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sampdoria,234,['9cd6f08f-3141-4bca-8ea1-1b0f01483409'],0,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,aacbfd08-ce10-4bfe-9235-3d9bebfb0f41,1654,,,3879824,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,99,Sampdoria,234,['63a77128-0288-42aa-b2b5-488aa5095335'],0,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,63a77128-0288-42aa-b2b5-488aa5095335,1655,,,3879824,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,99,Sampdoria,234,['aacbfd08-ce10-4bfe-9235-3d9bebfb0f41'],0,,,,,,,,,,,,,,,,Sampdoria,234,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.570735,,,,,,,,,,,,,4c5f22ab-44ef-4d61-af08-63886faffa8b,5,,"[60.0, 40.0]",3879824,0,,,,1.6078165,,Left Foot,,,"[59.9, 42.7]",,Ground Pass,,2.7018511,,,Riccardo Montolivo,7166.0,,,,,,Kick Off,1,From Kick Off,Andrea Bertolacci,7147.0,Left Center Midfield,2,AC Milan,243,['85255223-ea2c-4a84-a6aa-afbc509dd37d'],0,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.436,Pass,
,,,,,,,,,,,,,,,,,,1.435724,,,,,,,,,,,,,73fa0aa5-a1ce-4f6d-bd27-34b27315c259,8,,"[59.4, 42.3]",3879824,0,,,,-2.936008,,Right Foot,,,"[38.3, 37.9]",,Ground Pass,,21.553886,,,Luca Antonelli,8874.0,,,,,,,1,From Kick Off,Riccardo Montolivo,7166.0,Center Defensive Midfield,2,AC Milan,243,['64f8a9de-7711-4bee-b5f2-838972035c0c'],1,,,,,,,,,,,,,,,,AC Milan,243,00:00:01.171,Pass,
,,,,,,,,,,,,,,,,,,3.55832,,,,,,,,,,,,,10bc7921-b72c-4688-87d6-3205f8eb5177,11,,"[36.0, 36.9]",3879824,0,,,,0.34199852,,Left Foot,,,"[97.8, 58.9]",,High Pass,,65.59908,Incomplete,,Giacomo Bonaventura,7026.0,,,,,,,1,From Kick Off,Luca Antonelli,8874.0,Left Back,2,AC Milan,243,"['1822e2b1-25dc-4aaf-9b5c-195e3621f5e7', '34340d24-6a1a-4931-b164-726b77d49bda']",4,,,,,,,,,,,,,,,,AC Milan,243,00:00:04.548,Pass,
,,,,,,,,,,,,,,,,,,1.023698,,,,,,,,,,,,,1822e2b1-25dc-4aaf-9b5c-195e3621f5e7,13,,"[22.3, 21.2]",3879824,0,,,,-0.34302393,,Head,,,"[34.9, 16.7]",,High Pass,,13.379462,,,Roberto Soriano,6759.0,,,,,,Recovery,1,From Kick Off,Mattia Cassani,387417.0,Left Center Back,2,AC Milan,243,"['10bc7921-b72c-4688-87d6-3205f8eb5177', '75ad561c-177b-4d92-9339-871504030f46']",8,,,,,,,,,,,,,,,,Sampdoria,234,00:00:08.106,Pass,
,,,,,,,,,,,,,,,,,,1.61654,,,,,,,,,,,,,f44be3e6-6caa-4fc0-9fdf-460f7ed260cb,15,,"[34.5, 16.7]",3879824,0,,,,1.2174262,,Right Foot,,,"[39.0, 28.9]",,Low Pass,,13.003461,Incomplete,,,,,,,,,,1,From Kick Off,Roberto Soriano,6759.0,Left Attacking Midfield,2,AC Milan,243,['30d65be2-bd0f-40b0-81a5-936a9b888f05'],9,,,,,,,,,,,,,,,,Sampdoria,234,00:00:09.130,Pass,
,,,,,,,,,,,,,,,,,,0.830764,,,,,,,,,,,,,30d65be2-bd0f-40b0-81a5-936a9b888f05,16,,"[81.1, 51.2]",3879824,0,,,,2.158799,,Right Foot,,,"[78.5, 55.1]",,Ground Pass,,4.6872168,,,Riccardo Montolivo,7166.0,,,,,,Recovery,1,From Kick Off,Andrea Bertolacci,7147.0,Left Center Midfield,2,AC Milan,243,"['ec5bd653-4a43-4b6f-a7dd-a63491cb341c', 'f44be3e6-6caa-4fc0-9fdf-460f7ed260cb']",10,,,,,,,,,,,,,,,,AC Milan,243,00:00:10.746,Pass,
,,,,,,,,,,,,,,,,,,0.523787,,,,,,,,,,,,,88641ce4-6212-42f1-b699-e12a6b2f4c42,20,,"[77.0, 56.8]",3879824,0,,,,-1.4700153,,Right Foot,,,"[77.9, 47.9]",,Ground Pass,,8.94539,,,Andrea Bertolacci,7147.0,,,,,,,1,From Kick Off,Riccardo Montolivo,7166.0,Center Defensive Midfield,2,AC Milan,243,['ad20d24d-7e2b-4e2f-8249-61aed26504ef'],11,,,,,,,,,,,,,,,,AC Milan,243,00:00:11.657,Pass,
