50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,dda86ed6-2b7b-4383-9437-34734f5e7268,1,,,,3879747,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 7174, 'name': 'Antonio Mirante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 83}, {'player': {'id': 7164, 'name': 'Ibrahima Mbaye'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 15}, {'player': {'id': 30745, 'name': 'Daniele Gastaldello'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 8849, 'name': 'Domenico Maietta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 7169, 'name': 'Adam Masina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 8284, 'name': 'Amadou Diawara'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 11729, 'name': 'Luca Rizzo'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 22}, {'player': {'id': 8280, 'name': 'Godfred Donsah'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 30}, {'player': {'id': 8851, 'name': 'Saphir Sliti Taïder'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 7775, 'name': 'Emanuele Giaccherini'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 8103, 'name': 'Mattia Destro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,6acd21c7-0eae-4d84-9edc-82ab71c3f4b3,2,,,,3879747,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,,0,,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5541, 'name': 'Stephan Lichtsteiner'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 26}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 19}, {'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 33}, {'player': {'id': 8294, 'name': 'Claudio Marchisio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7013, 'name': 'Stefano Sturaro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 3579, 'name': 'Roberto Maximiliano Pereyra'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 37}, {'player': {'id': 6584, 'name': 'Simone Zaza'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 7}, {'player': {'id': 3477, 'name': 'Álvaro Borja Morata Martín'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 9}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,5e5f2a5a-8bc3-46cf-be23-3f6dcb11becc,3,,,,3879747,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['4277eeeb-5a86-412b-baa1-280779b71163'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4277eeeb-5a86-412b-baa1-280779b71163,4,,,,3879747,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Bologna,240,['5e5f2a5a-8bc3-46cf-be23-3f6dcb11becc'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,68d31db1-bc6f-415b-926f-962f766b3a59,1882,,,,3879747,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Juventus,224,['bc6ea819-be40-4306-8a01-9e5c974172e3'],0,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,bc6ea819-be40-4306-8a01-9e5c974172e3,1883,,,,3879747,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,91,Juventus,224,['68d31db1-bc6f-415b-926f-962f766b3a59'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.505794,,,,,,,,,,,,,,c035dd1c-4489-48d3-a154-9176d244f761,5,,,"[60.0, 40.0]",3879747,0,,True,,,1.5707964,,Right Foot,,,,"[60.0, 41.8]",Ground Pass,,1.8,,,Mattia Destro,8103.0,,,,,Kick Off,1,From Kick Off,Emanuele Giaccherini,7775.0,Left Midfield,2,Bologna,240,['1f9883fb-af09-43b8-93e3-488bd1fae508'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.503,Pass,
,,,,,,,,,,,,,,,,,,1.989193,,,,,,,,,,,,,,9f3744a3-a7ac-4638-9a50-d14875d028bf,7,,,"[61.6, 42.5]",3879747,0,,,,,3.1252007,,Right Foot,,,,"[37.2, 42.9]",Ground Pass,,24.403278,,,Daniele Gastaldello,30745.0,,,,,,1,From Kick Off,Mattia Destro,8103.0,Center Forward,2,Bologna,240,['f5e637cf-b6ea-4455-815e-953d7e27f9c5'],1,,,,,,,,,,,,,,,,,Bologna,240,00:00:01.009,Pass,
,,,,,,,,,,,,,,,,,,0.757952,,,,,,,,,,,,,,93675d13-6766-46c0-af06-22fb96d95240,10,,,"[37.2, 42.9]",3879747,0,,,,,-1.8736812,,Left Foot,,,,"[36.2, 39.7]",Ground Pass,,3.3526108,,,Domenico Maietta,8849.0,,,,,,1,From Kick Off,Daniele Gastaldello,30745.0,Right Center Back,2,Bologna,240,['e6bae16d-4015-407d-9dc9-1a3ee59242a8'],3,,,,,,,,,,,,,,,,,Bologna,240,00:00:03.149,Pass,
,,,,,,,,,,,,,,,,,,6.024814,,,,,,,,,,,,,,f5f05dbf-b629-4657-807f-38b53b0fa50b,13,,,"[35.2, 38.3]",3879747,0,,,,,0.06580742,,Right Foot,,,,"[105.0, 42.9]",High Pass,,69.95141,Incomplete,,Mattia Destro,8103.0,,,,,,1,From Kick Off,Domenico Maietta,8849.0,Left Center Back,2,Bologna,240,"['56ecc903-ace3-4408-90f0-1ed1bb624d2b', 'e815a8fb-453d-4e85-8090-6e9b35d76d05']",4,,,,,,,,,,,,,,,,,Bologna,240,00:00:04.077,Pass,
