ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0432cc7d-014c-45fa-bd06-b6620fca95ca,1,,,,3879693,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 30}, {'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 40367, 'name': 'Francesco Lodi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 6743, 'name': 'Manuel Rolando Iturra Urrutia'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 77}, {'player': {'id': 19846, 'name': 'Antonio Di Natale'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 10}]}",Udinese,230,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,e348f8eb-f52f-47e1-80fe-54687e9a7879,2,,,,3879693,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,,0,,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6953, 'name': 'Daniele Rugani'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 19}, {'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5541, 'name': 'Stephan Lichtsteiner'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 26}, {'player': {'id': 6945, 'name': 'Alex Sandro Lobo Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 12}, {'player': {'id': 8294, 'name': 'Claudio Marchisio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 6940, 'name': 'Kwadwo Asamoah'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 22}, {'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 21}, {'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 17}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,d9e10db4-45db-4115-af65-e9b597c4a438,3,,,,3879693,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,['187cd7fe-e49c-498c-8729-dda55ee4ed06'],0,,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,187cd7fe-e49c-498c-8729-dda55ee4ed06,4,,,,3879693,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,['d9e10db4-45db-4115-af65-e9b597c4a438'],0,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f5e5f095-d020-4f12-bd6f-5981559377d2,1644,,,,3879693,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Udinese,230,['4e627d96-8f49-4cf9-bafe-bf21604db708'],0,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,4e627d96-8f49-4cf9-bafe-bf21604db708,1645,,,,3879693,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,84,Udinese,230,['f5e5f095-d020-4f12-bd6f-5981559377d2'],0,,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,0.762941,,,,,,,,,,,,,,f280058e-a4d5-4d3b-9c8d-b847b00508e9,5,,,"[60.0, 40.0]",3879693,0,,,,,-3.0628088,,Right Foot,,"[48.6, 39.1]",,Ground Pass,,11.435472,,,Claudio Marchisio,8294.0,,,,,,Kick Off,1,From Kick Off,Paulo Bruno Exequiel Dybala,5743.0,Center Attacking Midfield,2,Juventus,224,['777c5e23-7a2b-4ebf-963d-ff348f337b7c'],0,,,,,,,,,,,,,,,,,,Juventus,224,00:00:00.821,Pass,
,,,,,,,,,,,,,,1.981263,,,,,,,,,,,,,,811448be-24a5-4c91-8259-3dbfdc477996,8,,,"[47.5, 37.4]",3879693,0,,,,,-2.0805035,,Right Foot,,"[36.6, 17.9]",,Ground Pass,,22.339651,,,Giorgio Chiellini,6954.0,,,,,,,1,From Kick Off,Claudio Marchisio,8294.0,Center Defensive Midfield,2,Juventus,224,['80da77eb-d593-418a-9830-abe33f32de5f'],2,,,,,,,,,,,,,,,,,,Juventus,224,00:00:02.161,Pass,
,,,,,,,,,,,,,,4.098374,,,,,,,,,,,,,,4712f914-3ed7-489e-8dfd-814bfa3189ba,12,,,"[48.8, 10.8]",3879693,0,,,,,0.2895706,,Left Foot,,"[107.2, 28.2]",,High Pass,,60.937016,Incomplete,,Paulo Bruno Exequiel Dybala,5743.0,,,,,,,1,From Kick Off,Giorgio Chiellini,6954.0,Left Center Back,2,Juventus,224,"['541472ad-800a-4e74-8f70-96b2dbd0af00', '8b55ed26-b33f-4fb7-abb5-d6255252af6c']",6,,,,,,,,,,,,,,,,,,Juventus,224,00:00:06.128,Pass,
,,,,,,,,,,,,,,2.973347,,,,,,,,,,,,,,56e64894-d19c-420f-a0d6-ce265d9de071,16,,,"[12.9, 55.8]",3879693,0,,,,,0.20027371,,Drop Kick,,"[73.0, 68.0]",,High Pass,,61.32577,Incomplete,,Emmanuel Agyemang-Badu,24722.0,,,,,,,1,From Kick Off,Orestis Karnezis,3742.0,Goalkeeper,2,Juventus,224,"['b356f933-e823-42d2-86cd-3034ec29cd69', 'fb11ff86-8779-41ba-a5ad-e4e3183ac3f9']",24,,,,,,,,,,,,,,,,,,Udinese,230,00:00:24.208,Pass,
