50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,157bba2c-95e7-4557-907d-9dd9b94a6801,1,,,3879626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 55}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 11183, 'name': 'Alex Nicolao Telles'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 12}, {'player': {'id': 25430, 'name': 'Felipe Melo de Carvalho'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 83}, {'player': {'id': 6589, 'name': 'Geoffrey Kondogbia'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 7}, {'player': {'id': 11497, 'name': 'Jonathan Ludovic Biabiany'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 11}, {'player': {'id': 3434, 'name': 'Stevan Jovetić'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 5587, 'name': 'Adem Ljajić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 22}, {'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ef7e1947-2719-4164-b437-2d0e12160d04,2,,,3879626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 32037, 'name': 'Nicola Leali'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 33}, {'player': {'id': 7462, 'name': 'Aleandro Rosi'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 28}, {'player': {'id': 174418, 'name': 'Modibo Diakité'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 387847, 'name': 'Leonardo Blanchard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 296873, 'name': 'Roberto Crivello'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 20636, 'name': 'Mirko Gori'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 23349, 'name': 'Paolo Sammarco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 23470, 'name': 'Luca Paganini'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 11608, 'name': 'Danilo Soddimo'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 10}, {'player': {'id': 13613, 'name': 'Daniel Ciofani'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 20970, 'name': 'Nicolás Ignacio Castillo Mora'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 30}]}",Frosinone,291,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,06c25f88-a286-4db3-a65a-ca33a331c1b5,3,,,3879626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['cfa7b75c-e193-4b5a-9d55-7f72ed9270ce'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cfa7b75c-e193-4b5a-9d55-7f72ed9270ce,4,,,3879626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['06c25f88-a286-4db3-a65a-ca33a331c1b5'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,143fff64-158c-4489-952a-19a70b2e0b5e,1686,,,3879626,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,105,Frosinone,291,['e5317cf2-bd18-4193-9894-eccbd6e30415'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,e5317cf2-bd18-4193-9894-eccbd6e30415,1687,,,3879626,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,105,Frosinone,291,['143fff64-158c-4489-952a-19a70b2e0b5e'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.784657,,,,,,,,,,,,281f2272-c282-4b51-953a-ca66867b4c6b,5,,"[60.0, 40.0]",3879626,0,,True,,,0.56192154,,Left Foot,,,,"[62.7, 41.7]",,Ground Pass,,3.1906111,,,,,Mauro Emanuel Icardi Rivero,6987.0,,,,,Kick Off,1,From Kick Off,Stevan Jovetić,3434.0,Center Attacking Midfield,2,Inter Milan,238,['834ae36d-7863-4706-94ef-97444b63b8f3'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.200,Pass,
,,,,,,,,,,,,,,,,,,1.02524,,,,,,,,,,,,a771bea1-9f7c-4471-a57e-549c6b0d8bce,7,,"[57.8, 39.9]",3879626,0,,,,,-2.6439776,,Right Foot,,,,"[49.7, 35.5]",,Ground Pass,,9.217917,,,,,Geoffrey Kondogbia,6589.0,,,,,,1,From Kick Off,Mauro Emanuel Icardi Rivero,6987.0,Center Forward,2,Inter Milan,238,['2c204974-2df6-4ff6-b0e3-faa67ee06a4c'],1,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:01.058,Pass,
,,,,,,,,,,,,,,,,,,1.268256,,,,,,,,,,,,cf272526-a08e-4c70-a3d0-311fe6086b28,10,,"[50.4, 30.0]",3879626,0,,,,,2.9590328,,Left Foot,,,,"[30.9, 33.6]",,Ground Pass,,19.829523,,,,,Jeison Fabián Murillo Cerón,6585.0,,,,,,1,From Kick Off,Geoffrey Kondogbia,6589.0,Left Defensive Midfield,2,Inter Milan,238,['42271c17-7de7-47e1-b3f6-25846a44c412'],2,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:02.871,Pass,
,,,,,,,,,,,,,,,,,,1.859769,,,,,,,,,,,,c2cb2e12-7e3d-407f-9baa-f872b3a23456,13,,"[31.8, 33.0]",3879626,0,,,,,1.8685994,,Right Foot,,,,"[25.6, 53.2]",,Ground Pass,,21.130074,,,,,Yuto Nagatomo,5690.0,,,,,,1,From Kick Off,Jeison Fabián Murillo Cerón,6585.0,Left Center Back,2,Inter Milan,238,['e52e3a07-7cec-4daf-a58b-fac167ea66e3'],4,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:04.401,Pass,
