50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a0198b7f-f857-4293-a57a-f90dec402964,641,,"[107.9, 12.5]",3879715,18,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Paweł Wszołek,11339.0,Right Midfield,37,Hellas Verona,226,['88c92cf0-e01d-454c-9229-8674189d9f7c'],41,,,,,,,,,,,,,,,,,Hellas Verona,226,00:18:41.042,Miscontrol,True
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,5b44d1cb-3bfe-4672-98a7-ae54404d0558,898,,"[83.2, 42.8]",3879715,26,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Juan Ignacio Gómez Taleb,386651.0,Left Center Forward,54,Hellas Verona,226,,32,,,,,,,,,,,,,,,,,Hellas Verona,226,00:26:32.642,Miscontrol,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,8f140984-4b62-454e-8b2a-b6976c192f72,932,,"[94.5, 26.2]",3879715,27,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,Ciro Immobile,7788.0,Left Center Forward,55,Torino,241,,12,,,,,,,,,,,,,,,,,Torino,241,00:27:12.058,Miscontrol,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,b7b0de6e-29f7-43e1-8a22-ee537badc263,956,,"[117.6, 74.3]",3879715,27,,,True,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Bruno da Silva Peres,6965.0,Right Wing Back,56,Torino,241,,48,,,,,,,,,,,,,,,,,Torino,241,00:27:48.871,Miscontrol,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,3ff051f2-6c9c-4cef-9869-4ebcd192ab4d,1249,,"[79.3, 2.8]",3879715,37,,,,,,,,,,,,,,,,,,,,,,,,,1,From Throw In,Cristian Molinaro,7479.0,Left Wing Back,73,Torino,241,['9c3ba7b6-4b1b-4c59-8604-a551ef29807e'],6,,,,,,,,,,,,,,,,,Torino,241,00:37:06.406,Miscontrol,True
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,ab1530ab-97d0-44e1-9358-84eecc0f678e,1503,,"[90.0, 54.0]",3879715,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Kick Off,Juan Ignacio Gómez Taleb,386651.0,Left Center Forward,88,Hellas Verona,226,,14,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:14.397,Miscontrol,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,cfab9f88-caee-4b98-9d0b-23da3e690b1f,1522,,"[83.6, 3.4]",3879715,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Boško Janković,26442.0,Left Midfield,90,Hellas Verona,226,,31,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:31.344,Miscontrol,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a155f944-d246-4bf0-bbd9-1dd71c19871a,1592,,"[89.7, 34.3]",3879715,46,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,Andrea Belotti,7471.0,Right Center Forward,92,Torino,241,,46,,,,,,,,,,,,,,,,,Torino,241,00:01:46.011,Miscontrol,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,879c9e9c-ad31-4e35-9b53-3c76cf7c5d25,1699,,"[67.0, 12.1]",3879715,48,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,Marco Benassi,7149.0,Left Center Midfield,96,Torino,241,,55,,,,,,,,,,,,,,,,,Torino,241,00:03:55.834,Miscontrol,
,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a754d375-f3ea-4e61-8980-35d83587d7f6,1757,,"[95.1, 62.5]",3879715,50,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,Bruno da Silva Peres,6965.0,Right Wing Back,98,Torino,241,['e1507e17-c702-4d65-be16-003d02b7838c'],6,,,,,,,,,,,,,,,,,Torino,241,00:05:06.782,Miscontrol,True
