50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,2.129079,,,,,,,,,,,,82bc85d9-24f9-4fd8-8dd5-e37adebe95b9,15,,,"[37.0, 67.5]",3879569,0,,,,,-0.9664908,,Head,,,,"[48.6, 50.7]",,High Pass,,20.41568,,,,Amadou Diawara,8284.0,,,,,Interception,1,Regular Play,Alex Ferrari,7704.0,Right Back,4,Bologna,240,"['83443bdb-58c6-4660-bea4-b6c9c77bd9fd', 'f5f0e1fc-423e-4a87-8160-49e65d01586b']",22,,,,,,,,,,,,,,,,,Bologna,240,00:00:22.461,Pass,
,,,,,,,,,,,,,,,,,1.412255,,,,,,,,,,,,87978804-419b-4c4f-a796-fed85d4cbbb9,17,,,"[48.6, 50.7]",3879569,0,,,,,0.28805545,,Head,,,,"[62.1, 54.7]",,Low Pass,,14.080128,,,,Franco Brienza,45591.0,,,,,,1,Regular Play,Amadou Diawara,8284.0,Center Defensive Midfield,4,Bologna,240,['aa6579f0-1989-43ef-9f07-16abeaba2c2a'],24,,,,,,,,,,,,,,,,,Bologna,240,00:00:24.665,Pass,
,,,,,,,,,,,,,,,,,1.351431,,,,,,,,,,,,0f6e362b-e6be-49df-bb2f-5f4828f73151,21,,,"[62.0, 54.1]",3879569,0,,,,,-0.7630555,,Left Foot,,,,"[80.3, 36.6]",,High Pass,,25.320742,,,,Mattia Destro,8103.0,,,,,,1,Regular Play,Franco Brienza,45591.0,Right Attacking Midfield,4,Bologna,240,['7304a1bd-049a-44d8-8374-b71cb493a5e3'],26,,,,,,,,,,,,,,,,,Bologna,240,00:00:26.105,Pass,
,,,,,,,,,,,,,,,,,1.382102,,,,,,,,,,,,c21f7152-81c5-41c7-9b04-f41a4262f636,24,,,"[86.8, 45.2]",3879569,0,,,,,0.78110635,cc0931b6-6626-4298-a81a-27def9a12f9d,Right Foot,,,,"[98.5, 56.8]",,Ground Pass,,16.47574,,,,Franco Brienza,45591.0,True,,,,,1,Regular Play,Mattia Destro,8103.0,Center Forward,4,Bologna,240,['832688f5-83b9-498f-84b6-fa44211ad550'],29,,,,,,,,,,,,,,,,,Bologna,240,00:00:29.538,Pass,
,,,,,,,,,,,,,,,,,0.751881,,,,,,,,,,,,4c6e8296-7aa9-4596-bb73-434aa6debd5b,31,,,"[120.0, 80.0]",3879569,0,,,,,-1.814729,,Left Foot,,,,"[114.4, 57.5]",,Low Pass,True,23.186419,,Incomplete,,,,,,Inswinging,,Corner,1,From Corner,Franco Brienza,45591.0,Right Attacking Midfield,5,Bologna,240,['481d1547-d4ca-478e-bf77-925327e2e33b'],52,,,,,,,,,,,,,,,,,Bologna,240,00:00:52.689,Pass,
,,,,,,,,,,,,,,,,,3.406483,,,,,,,,,,,,4686601d-2223-4fee-931f-59c50f750264,35,,,"[77.5, 60.0]",3879569,0,,,,,-2.7543268,,Right Foot,,,,"[36.8, 43.4]",,Ground Pass,,43.95509,,,,Antonio Mirante,7174.0,,,,,,1,From Corner,Amadou Diawara,8284.0,Center Defensive Midfield,5,Bologna,240,['af28950a-6199-4c1b-b9a4-2e505ca7c82f'],56,,,,,,,,,,,,,,,,,Bologna,240,00:00:56.967,Pass,
,,,,,,,,,,,,,,,,,3.442144,,,,,,,,,,,,ef5cc02c-ddc0-4d86-a4bf-ebec1f1b9ed0,38,,,"[36.8, 43.7]",3879569,1,,,,,-0.06679014,,Right Foot,,,,"[96.6, 39.7]",,High Pass,,59.933628,,Incomplete,,Mattia Destro,8103.0,,,,,,1,From Corner,Antonio Mirante,7174.0,Goalkeeper,5,Bologna,240,"['4608ab32-fab2-4748-8101-3713365562ab', '6a19bbce-b967-49d0-b644-aa3a3998bb9d', 'fa7c6416-707a-4315-9ab9-08456fd48c3d']",4,,,,,,,,,,,,,,,,,Bologna,240,00:01:04.311,Pass,True
,,,,,,,,,,,,,,,,,0.637237,,,,,,,,,,,,32ce2cf1-54e2-4d74-93f7-d98fe619c1f6,44,,,"[35.3, 26.7]",3879569,1,,,,,2.221873,,Left Foot,,,,"[33.7, 28.8]",,Ground Pass,,2.6400757,,,,Enzo Maresca,25954.0,,,,,Recovery,1,Regular Play,Achraf Lazaar,10032.0,Left Wing Back,6,Palermo,2256,"['bd6f1572-5ae8-4afe-bb42-7f25f34839a8', 'c4b20cf9-89e9-4706-ab91-a406a978882d']",10,,,,,,,,,,,,,,,,,Palermo,2256,00:01:10.475,Pass,True
,,,,,,,,,,,,,,,,,1.122005,,,,,,,,,,,,ede8f000-b945-466b-9f98-5f7320e8c439,47,,,"[33.5, 27.4]",3879569,1,,,,,-0.8944528,,Left Foot,,,,"[39.6, 19.8]",,Ground Pass,,9.745255,,,,Oscar Hiljemark,5605.0,,,,,,1,Regular Play,Enzo Maresca,25954.0,Center Defensive Midfield,6,Palermo,2256,['a8b39c8a-853f-4994-b00a-8c39dca04594'],11,,,,,,,,,,,,,,,,,Palermo,2256,00:01:11.749,Pass,
,,,,,,,,,,,,,,,,,1.104779,,,,,,,,,,,,e7812d31-ec34-49af-8ab3-2476f723968c,50,,,"[39.1, 19.9]",3879569,1,,,,,3.1415927,,Left Foot,,,,"[29.4, 19.9]",,Ground Pass,,9.7,,,,Siniša Anđelković,40350.0,,,,,,1,Regular Play,Oscar Hiljemark,5605.0,Left Center Midfield,6,Palermo,2256,['fc3ba8d4-5d5c-4ada-a616-3814d7e9187f'],12,,,,,,,,,,,,,,,,,Palermo,2256,00:01:12.871,Pass,
