50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,624c60a3-1c35-47ef-9245-5192b9557d5c,1,,,3879712,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 10919, 'name': 'Juraj Kucka'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 27}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 5683, 'name': 'Keisuke Honda'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 70}, {'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 19}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,b280b79c-3bcc-4cdf-9dc0-63e989e34846,2,,,3879712,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6999, 'name': 'Davide Santon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 6585, 'name': 'Jeison Fabián Murillo Cerón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6969, 'name': 'Juan Guilherme Nunes Jesus'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 5}, {'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 77}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 44}, {'player': {'id': 5587, 'name': 'Adem Ljajić'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 22}, {'player': {'id': 7000, 'name': 'Eder Citadin Martins'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 3434, 'name': 'Stevan Jovetić'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,2b83166c-a837-441e-8696-551fdaea1f8c,3,,,3879712,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['1c2bb062-0d00-4e29-9264-a9a6c3f80a4d'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1c2bb062-0d00-4e29-9264-a9a6c3f80a4d,4,,,3879712,0,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['2b83166c-a837-441e-8696-551fdaea1f8c'],0,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1a979034-182d-4eeb-8a1a-c22294dc9d22,1784,,,3879712,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,109,Inter Milan,238,['8fa0c9fc-7d35-4e95-bd4d-17c83a792b2b'],0,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,8fa0c9fc-7d35-4e95-bd4d-17c83a792b2b,1785,,,3879712,45,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,109,Inter Milan,238,['1a979034-182d-4eeb-8a1a-c22294dc9d22'],0,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.647373,,,,,,,,,,,,,,,83feff4f-1f92-41df-8d6f-8ae1b8093cd2,5,,"[60.0, 40.0]",3879712,0,,True,,,1.6814536,,Right Foot,,,,"[59.9, 40.9]",,Ground Pass,,0.9055385,,,,Stevan Jovetić,3434.0,,,,,Kick Off,1,From Kick Off,Eder Citadin Martins,7000.0,Center Attacking Midfield,2,Inter Milan,238,['f91091cc-d061-477f-a8d4-052209f818ee'],0,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.130,Pass,
,,,,,,,,,,,,,,,,1.081536,,,,,,,,,,,,,,,00ff54c9-0bea-4554-9b37-fddf36915f37,7,,"[60.1, 40.9]",3879712,0,,,,,-3.0351264,,Right Foot,,,,"[47.0, 39.5]",,Ground Pass,,13.174597,,,,Gary Alexis Medel Soto,16453.0,,,,,,1,From Kick Off,Stevan Jovetić,3434.0,Center Forward,2,Inter Milan,238,['f86b49ee-5c5f-4a0f-8781-96d5125a951b'],0,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.777,Pass,
,,,,,,,,,,,,,,,,1.68959,,,,,,,,,,,,,,,2e8d07a5-3643-4d67-bb19-d8cde752efe2,10,,"[44.7, 37.0]",3879712,0,,,,,-1.9851277,,Right Foot,,,,"[36.3, 17.9]",,Ground Pass,,20.865522,,,,Juan Guilherme Nunes Jesus,6969.0,,,,,,1,From Kick Off,Gary Alexis Medel Soto,16453.0,Right Defensive Midfield,2,Inter Milan,238,['93d3666b-bae2-41fd-842e-ce286225043a'],2,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:02.646,Pass,
,,,,,,,,,,,,,,,,3.074657,,,,,,,,,,,,,,,a05b4799-21eb-41ca-abbf-c34dd6a884e4,13,,"[36.3, 13.9]",3879712,0,,,,,-0.22338893,,Left Foot,,,,"[85.6, 2.7]",,High Pass,,50.556206,,Incomplete,,Adem Ljajić,5587.0,,,,,,1,From Kick Off,Juan Guilherme Nunes Jesus,6969.0,Left Back,2,Inter Milan,238,"['bb184081-fbcc-4dd3-877b-fefcde14960d', 'c526162e-7952-4c72-98fd-680535d70f4a']",5,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:05.492,Pass,
