ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,2.744886,,,,,,,,,,,,,57a29054-ec01-4a18-a8a1-cbece9d3d469,16,,,"[34.8, 71.7]",3879651,0,,,,,0.05010552,,Right Foot,,,,"[68.7, 73.4]",High Pass,,33.9426,Incomplete,,Gonzalo Gerardo Higuaín,5497.0,,,,,,1,From Throw In,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,3,Napoli,227,"['6959fd41-159d-40d7-a317-6f742e012470', 'a36ba103-3ded-4296-a61a-0a5b7e7b3826', 'b975013b-66e8-404b-beb8-d604b2442c7d']",11,,,,,,,,,,,,,,,,,Napoli,227,00:00:11.405,Pass,True
,,,,,,,,,,,,,,1.611979,,,,,,,,,,,,,b975013b-66e8-404b-beb8-d604b2442c7d,18,,,"[51.4, 6.7]",3879651,0,,,,,0.15291865,,Left Foot,,,,"[79.3, 11.0]",High Pass,,28.229418,,,Edin Džeko,6973.0,,,,,Recovery,1,Regular Play,Antonio Rüdiger,3167.0,Left Center Back,4,AS Roma,229,"['57a29054-ec01-4a18-a8a1-cbece9d3d469', 'dd02e2a8-7c93-40a3-bd04-e26632f7761b']",14,,,,,,,,,,,,,,,,,AS Roma,229,00:00:14.150,Pass,
,,,,,,,,,,,,,,1.064471,,,,,,,,,,,,,083817b4-43ac-4010-a8da-438240b2f9f2,21,,,"[80.2, 11.4]",3879651,0,,,,,2.7374601,,Right Foot,,,,"[64.3, 18.2]",Low Pass,,17.293062,,,Radja Nainggolan,6962.0,,,,,,1,Regular Play,Edin Džeko,6973.0,Center Forward,4,AS Roma,229,['f627afaa-38f5-4445-936e-dd12ced23164'],16,,,,,,,,,,,,,,,,,AS Roma,229,00:00:16.894,Pass,
,,,,,,,,,,,,,,1.07328,,,,,,,,,,,,,5d9b6217-dc3a-40d7-a1c5-f8fbf8240ec2,24,,,"[63.7, 22.5]",3879651,0,,,,,2.1910458,,Right Foot,,,,"[57.7, 30.9]",Ground Pass,,10.32279,,,Daniele De Rossi,7051.0,,,,,,1,Regular Play,Radja Nainggolan,6962.0,Left Defensive Midfield,4,AS Roma,229,['1ca7b2bb-231c-4987-bed3-043622f67d45'],18,,,,,,,,,,,,,,,,,AS Roma,229,00:00:18.748,Pass,
,,,,,,,,,,,,,,1.261261,,,,,,,,,,,,,3524b8e4-2c86-49bf-ab78-cc97b4e8f338,27,,,"[57.1, 36.9]",3879651,0,,,,,-3.0681953,,Right Foot,,,,"[43.5, 35.9]",Ground Pass,,13.636715,,,Konstantinos Manolas,7048.0,,,,,,1,Regular Play,Daniele De Rossi,7051.0,Right Defensive Midfield,4,AS Roma,229,['01963848-abac-43c0-b984-f02122460f68'],21,,,,,,,,,,,,,,,,,AS Roma,229,00:00:21.403,Pass,
,,,,,,,,,,,,,,1.486475,,,,,,,,,,,,,14438445-aad8-49b8-818e-0806a9407902,30,,,"[38.6, 37.2]",3879651,0,,,,,3.038754,,Right Foot,,,,"[10.5, 40.1]",Ground Pass,,28.249249,,,Wojciech Szczęsny,5669.0,,,,,,1,Regular Play,Konstantinos Manolas,7048.0,Right Center Back,4,AS Roma,229,['88b618dc-a7e6-4633-b697-db46a415bbba'],23,,,,,,,,,,,,,,,,,AS Roma,229,00:00:23.878,Pass,
,,,,,,,,,,,,,,3.900627,,,,,,,,,,,,,b09e618f-9f25-4309-8e65-12bf034f53b2,33,,,"[12.4, 47.3]",3879651,0,,,,,0.08036346,,Right Foot,,,,"[72.0, 52.1]",High Pass,,59.792976,,,Miralem Pjanić,6947.0,,,,,,1,Regular Play,Wojciech Szczęsny,5669.0,Goalkeeper,4,AS Roma,229,['9f2e6f3e-72f9-4b63-83c8-857d0b8c4a01'],27,,,,,,,,,,,,,,,,,AS Roma,229,00:00:27.832,Pass,
,,,,,,,,,,,,,,2.890418,,,,,,,,,,,,,2a5b618e-0628-4505-a9c0-6217234454a8,38,,,"[71.1, 52.6]",3879651,0,,,,,-0.9169495,,Right Foot,,,,"[105.2, 8.1]",High Pass,,56.063,Incomplete,,Mohamed Salah,3531.0,,True,,,Free Kick,1,From Free Kick,Daniele De Rossi,7051.0,Right Defensive Midfield,5,AS Roma,229,"['83421561-d64b-499d-90bd-27baa07cc403', 'af9d1522-cf73-40a4-a52c-a972fe1081bb']",43,,,,,,,,,,,,,,,,,AS Roma,229,00:00:43.058,Pass,
,,,,,,,,,,,,,,1.511086,,,,,,,,,,,,,83421561-d64b-499d-90bd-27baa07cc403,40,,,"[14.9, 72.0]",3879651,0,,,,,-0.03682545,,Head,,,,"[33.9, 71.3]",High Pass,,19.01289,Incomplete,,José María Callejón Bueno,7029.0,,,,,Interception,1,From Free Kick,Elseid Hysaj,7031.0,Right Back,5,AS Roma,229,"['2a5b618e-0628-4505-a9c0-6217234454a8', '41f2453c-198b-462b-8bb1-0b0202f9b3d6', 'eb8de3ef-2e08-46e1-8920-9b44f507cfc5']",45,,,,,,,,,,,,,,,,,Napoli,227,00:00:45.948,Pass,
,,,,,,,,,,,,,,1.097441,,,,,,,,,,,,,eb8de3ef-2e08-46e1-8920-9b44f507cfc5,42,,,"[86.2, 8.8]",3879651,0,,,,,-0.06792256,,Head,,,,"[100.9, 7.8]",High Pass,,14.733974,Incomplete,,Mohamed Salah,3531.0,,,,,Recovery,1,From Free Kick,Lucas Digne,6849.0,Left Back,5,AS Roma,229,"['7849ec32-705d-43d1-941a-7e3bf1e10987', '83421561-d64b-499d-90bd-27baa07cc403', 'fbc14eb0-63e9-4589-b793-5a188895ac2f']",47,,,,,,,,,,,,,,,,,AS Roma,229,00:00:47.459,Pass,
