50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,3.862408,,,,,,,,,,,,,,887da878-1ba4-40b5-97db-f19a282695bd,17,,"[73.7, 74.2]",3879643,0,,,,-0.05343745,,Left Foot,,,,"[116.7, 71.9]",,High Pass,,43.061466,,Incomplete,,Karim Laribi,30941.0,,,,,,1,From Kick Off,Matteo Politano,7109.0,Right Midfield,2,Sassuolo,232,"['402df270-56f9-47c9-aad1-d9578c59a2f1', '6899f4c9-25ec-46ba-b48c-f0aa3fca0f36']",10,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:10.144,Pass,
,,,,,,,,,,,,,,,,1.174566,,,,,,,,,,,,,,fe97d046-8f67-46b3-bd77-326a12629723,24,,"[6.6, 12.1]",3879643,0,,,,0.86459726,,Right Foot,,,,"[18.2, 25.7]",,Ground Pass,,17.875122,,,,Fernando Lucas Martins,16586.0,,,,,Recovery,1,Regular Play,Niklas Moisander,9884.0,Left Center Back,3,Sampdoria,234,['97b8719f-9559-4f3f-a21c-d658fca92161'],17,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:17.274,Pass,
,,,,,,,,,,,,,,,,1.534211,,,,,,,,,,,,,,3fa3c232-db22-419c-8fd9-252cf63c36a7,27,,"[18.2, 25.7]",3879643,0,,,,-1.2208215,,Right Foot,,,,"[25.5, 5.7]",,Ground Pass,,21.290607,,,,Édgar Osvaldo Barreto Cáceres,7009.0,,,,,,1,Regular Play,Fernando Lucas Martins,16586.0,Right Defensive Midfield,3,Sampdoria,234,['93a1e57a-b61b-412c-ba01-9b4d99854e38'],18,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:18.511,Pass,
,,,,,,,,,,,,,,,,0.968967,,,,,,,,,,,,,,26bdaba1-791e-404e-aac0-ae6c99d0fb0f,30,,"[28.6, 9.9]",3879643,0,,,,0.24111767,,Right Foot,,,,"[46.9, 14.4]",,Ground Pass,,18.845158,,,,Antonio Cassano,19850.0,,,,,,1,Regular Play,Édgar Osvaldo Barreto Cáceres,7009.0,Left Defensive Midfield,3,Sampdoria,234,['ff91d9ff-38f9-4908-b619-eb8c8a096606'],20,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:20.246,Pass,
,,,,,,,,,,,,,,,,0.882123,,,,,,,,,,,,,,0b455250-265b-4091-9763-a80fefb89437,34,,"[42.7, 15.8]",3879643,0,,,,2.6153817,,Right Foot,,,,"[26.0, 25.5]",,Ground Pass,,19.31269,,,,Niklas Moisander,9884.0,,,,,,1,Regular Play,Antonio Cassano,19850.0,Left Center Forward,3,Sampdoria,234,['56f87abd-800e-44b7-93a4-66c4b902fef7'],23,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:23.199,Pass,
,,,,,,,,,,,,,,,,1.008642,,,,,,,,,,,,,,f1949de1-0878-4487-9dd8-8ce2f86fc81e,37,,"[23.7, 26.0]",3879643,0,,,,1.8636017,,Left Foot,,,,"[19.6, 39.6]",,Ground Pass,,14.2045765,,,,Matías Agustín Silvestre,7019.0,,,,,,1,Regular Play,Niklas Moisander,9884.0,Left Center Back,3,Sampdoria,234,['76cbedf2-c67f-463e-a146-c408286f6298'],25,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:25.102,Pass,
,,,,,,,,,,,,,,,,2.007576,,,,,,,,,,,,,,01c6faea-f294-415b-881a-5bc706dccfab,41,,"[31.7, 43.2]",3879643,0,,,,-1.0545657,,Right Foot,,,,"[50.6, 9.9]",,High Pass,,38.289684,,Incomplete,,Vasco Regini,7012.0,,,,,,1,Regular Play,Matías Agustín Silvestre,7019.0,Center Back,3,Sampdoria,234,"['1641e26b-5535-46c4-b41b-8484ddba94d1', 'f1511bf8-4bb7-4f43-b50c-ae6b5eb0831a']",32,,,,,,,,,,,,,,,,,,Sampdoria,234,00:00:32.088,Pass,
,,,,,,,,,,,,,,,,1.63132,,,,,,,,,,,,,,1641e26b-5535-46c4-b41b-8484ddba94d1,43,,"[69.5, 70.2]",3879643,0,,,,-3.0769768,,Head,,,,"[52.5, 69.1]",,Low Pass,,17.035551,,,,Šime Vrsaljko,5461.0,,,,,Interception,1,Regular Play,Matteo Politano,7109.0,Right Midfield,4,Sassuolo,232,"['01c6faea-f294-415b-881a-5bc706dccfab', '71bea11b-ebfe-487f-9dea-1a6c9ee1f827']",34,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:34.095,Pass,
,,,,,,,,,,,,,,,,0.630788,,,,,,,,,,,,,,e38f79fc-16e6-4a70-adbc-8532f8ee8f44,46,,"[52.5, 69.1]",3879643,0,,,,-1.1646075,,Right Foot,,,,"[56.5, 59.8]",,Ground Pass,,10.123734,,,,Simone Missiroli,7113.0,,,,,,1,Regular Play,Šime Vrsaljko,5461.0,Right Back,4,Sassuolo,232,['bc6088d3-a8eb-4d0c-9ae3-f542894c1b5a'],35,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:35.791,Pass,
,,,,,,,,,,,,,,,,1.412236,,,,,,,,,,,,,,a6f18cbb-e414-4fdd-9f6f-7d4399da5a92,48,,"[56.5, 59.8]",3879643,0,,,,-0.09545372,,Right Foot,,,,"[65.9, 58.9]",,High Pass,,9.4429865,,Incomplete,,Karim Laribi,30941.0,,,,,,1,Regular Play,Simone Missiroli,7113.0,Center Defensive Midfield,4,Sassuolo,232,"['17341b06-855a-4c32-9a90-447ee340590b', '2c67d7cd-e66c-4e29-bd39-594e5399b9e8']",36,,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:36.422,Pass,
