50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2b299682-70ee-4a45-a55e-557899cf52bd,1,,,3879825,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 12491, 'name': 'Federico Marchetti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 22}, {'player': {'id': 8190, 'name': 'Patricio Gabarrón Gil'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 4}, {'player': {'id': 3588, 'name': 'Wesley Hoedt'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 8847, 'name': 'Santiago Juan Gentiletti Selak'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 18}, {'player': {'id': 7785, 'name': 'Senad Lulić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 19}, {'player': {'id': 5510, 'name': 'Lucas Rodrigo Biglia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 33311, 'name': 'Ogenyi Eddy Onazi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 23}, {'player': {'id': 8173, 'name': 'Marco Parolo'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 16}, {'player': {'id': 7776, 'name': 'Antonio Candreva'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 87}, {'player': {'id': 3145, 'name': 'Keita Baldé Diao'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 19286, 'name': 'Miroslav Klose'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Lazio,236,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,9864dd3a-533d-4132-9889-d07c1b973649,2,,,3879825,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 40332, 'name': 'Alberto Pelagotti'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 23}, {'player': {'id': 7155, 'name': 'Vincent Laurini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 16061, 'name': 'Uroš Ćosić'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 8664, 'name': 'Andrea Costa'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7151, 'name': 'Mário Rui Silva Duarte'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 21}, {'player': {'id': 16308, 'name': 'Leandro Daniel Paredes'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 32}, {'player': {'id': 40251, 'name': 'Daniele Croce'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 11}, {'player': {'id': 8187, 'name': 'Marcel Büchel'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 77}, {'player': {'id': 7150, 'name': 'Riccardo Saponara'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 5}, {'player': {'id': 7054, 'name': 'Manuel Pucciarelli'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 20}, {'player': {'id': 386516, 'name': 'Alessandro Piu'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 22}]}",Empoli,290,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,36c091f4-cfa9-416f-b44b-0cb5fa4c1220,3,,,3879825,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['19d4fe4d-1e98-4e47-8f11-3dd59056a340'],0,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,19d4fe4d-1e98-4e47-8f11-3dd59056a340,4,,,3879825,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Lazio,236,['36c091f4-cfa9-416f-b44b-0cb5fa4c1220'],0,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,53c6d2f7-6822-457d-b778-95c3e0001018,1706,,,3879825,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,92,Empoli,290,['7fcbef5e-7df5-4d85-87c3-fa4fa3ffbd67'],0,,,,,,,,,,,,,,,,Empoli,290,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,7fcbef5e-7df5-4d85-87c3-fa4fa3ffbd67,1707,,,3879825,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,92,Empoli,290,['53c6d2f7-6822-457d-b778-95c3e0001018'],0,,,,,,,,,,,,,,,,Lazio,236,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,0.334821,,,,,,,,,,,,,,434b5658-a2db-45d3-b124-1577b4318f54,5,,"[61.0, 40.1]",3879825,0,,True,,,1.7488892,,Right Foot,,,,"[60.1, 45.1]",,Ground Pass,,5.080354,,,,,Manuel Pucciarelli,7054.0,,,,,,Kick Off,1,From Kick Off,Alessandro Piu,386516.0,Left Center Forward,2,Empoli,290,['9b79cc09-c6da-4603-989d-e49e35ccfd16'],0,,,,,,,,,,,,,,,,Empoli,290,00:00:00.422,Pass,
,,,,,,,,,,,,,,,,,,1.130646,,,,,,,,,,,,,,7a34f5b8-6dd1-4b31-b676-d7d07126fd41,7,,"[59.7, 44.4]",3879825,0,,,,,-3.1247876,,Right Foot,,,,"[47.8, 44.2]",,Ground Pass,,11.901681,,,,,Andrea Costa,8664.0,,,,,,,1,From Kick Off,Manuel Pucciarelli,7054.0,Right Center Forward,2,Empoli,290,['876adc19-6faa-4f31-a873-e50d7dfe5588'],0,,,,,,,,,,,,,,,,Empoli,290,00:00:00.803,Pass,
,,,,,,,,,,,,,,,,,,1.115778,,,,,,,,,,,,,,bc3eebff-ebca-491c-b41f-512ce53a41bb,10,,"[47.4, 44.2]",3879825,0,,,,,-1.0743736,,Left Foot,,,,"[48.7, 41.8]",,Ground Pass,,2.7294688,,,,,Uroš Ćosić,16061.0,,,,,,,1,From Kick Off,Andrea Costa,8664.0,Left Center Back,2,Empoli,290,['8e0129d0-9e0b-413b-8c01-1d77511913be'],2,,,,,,,,,,,,,,,,Empoli,290,00:00:02.009,Pass,
,,,,,,,,,,,,,,,,,,3.273092,,,,,,,,,,,,,,122413d8-29d3-4a57-9464-4d7e5ee6f69b,12,,"[48.7, 41.8]",3879825,0,,,,,0.6174306,,Right Foot,,,,"[102.5, 80.0]",,High Pass,,65.98242,,,Out,,Vincent Laurini,7155.0,,,,,,,1,From Kick Off,Uroš Ćosić,16061.0,Right Center Back,2,Empoli,290,['568510a9-e6ad-42ed-ba35-a4e387f87b1f'],3,,,,,,,,,,,,,,,,Empoli,290,00:00:03.125,Pass,
