50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_lost_in_play,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,1d8a098d-613c-4924-b228-9055b5012b10,1,,,3879602,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,,0,,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 3112, 'name': 'Anton Ciprian Tătărușanu'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 12}, {'player': {'id': 7056, 'name': 'Nenad Tomović'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 25931, 'name': 'Gonzalo Javier Rodríguez'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 2}, {'player': {'id': 6830, 'name': 'Facundo Sebastián Roncaglia'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 32}, {'player': {'id': 5465, 'name': 'Ante Rebić'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 11}, {'player': {'id': 11516, 'name': 'Manuel Pasqual'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 23}, {'player': {'id': 6305, 'name': 'Milan Badelj'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 5}, {'player': {'id': 23488, 'name': 'Mario Suárez Mata'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 26192, 'name': 'Matías Ariel Fernández Fernández'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 14}, {'player': {'id': 6997, 'name': 'Borja Valero Iglesias'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 7125, 'name': 'Khouma El Hadji Babacar'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 30}]}",Fiorentina,239,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,598b1b69-7f95-4ce9-b253-f24b57864e0f,2,,,3879602,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,,0,,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 386510, 'name': 'Massimo Zenildo Zappino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31721, 'name': 'Matteo Ciofani'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 174418, 'name': 'Modibo Diakité'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 49440, 'name': 'Davide Bertoncini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 69}, {'player': {'id': 296873, 'name': 'Roberto Crivello'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 9903, 'name': 'Yussif Raman Chibsah'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 23349, 'name': 'Paolo Sammarco'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 23470, 'name': 'Luca Paganini'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 386512, 'name': 'Alessandro Frara'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 7}, {'player': {'id': 7699, 'name': 'Daniele Verde'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 13613, 'name': 'Daniel Ciofani'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Frosinone,291,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,721c12b6-36a8-4435-a1b4-73a5620a20b6,3,,,3879602,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,['f88ae015-b455-4fe9-bb85-0caf9d0b2256'],0,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,f88ae015-b455-4fe9-bb85-0caf9d0b2256,4,,,3879602,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Fiorentina,239,['721c12b6-36a8-4435-a1b4-73a5620a20b6'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7ae09f90-1ddb-4122-bd26-2a61b3273a0d,1950,,,3879602,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Frosinone,291,['bf53ba1c-5229-4557-8d8d-430b8c97e8ca'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,bf53ba1c-5229-4557-8d8d-430b8c97e8ca,1951,,,3879602,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,83,Frosinone,291,['7ae09f90-1ddb-4122-bd26-2a61b3273a0d'],0,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.39562,,,,,,,,,,,,,,,d34ce526-7cd5-4b62-a047-fbcc3c50ff21,5,,"[61.0, 40.1]",3879602,0,,,,,2.101012,,Right Foot,,,"[59.3, 43.0]",,Ground Pass,,3.3615472,,,,Daniele Verde,7699.0,,,,,Kick Off,1,From Kick Off,Yussif Raman Chibsah,9903.0,Right Defensive Midfield,2,Frosinone,291,['84c387fb-7a49-44a5-b056-a4d6149a5e8d'],0,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.708,Pass,
,,,,,,,,,,,,,,,,,,,2.414872,,,,,,,,,,,,,,,6a884ed8-91f4-4b6b-b9bb-927a163ae5ee,7,,"[57.2, 42.7]",3879602,0,,,,,-2.5201237,,Left Foot,,,"[41.7, 31.6]",,Ground Pass,,19.064627,,,,Davide Bertoncini,49440.0,,,,,,1,From Kick Off,Daniele Verde,7699.0,Center Attacking Midfield,2,Frosinone,291,['90270636-5432-49c6-8327-0f664488a23d'],1,,,,,,,,,,,,,,,,,Frosinone,291,00:00:01.103,Pass,
,,,,,,,,,,,,,,,,,,,1.898967,,,,,,,,,,,,,,,5a7208ce-ddce-4d5c-ae5f-9cc3b65bb9ca,10,,"[41.0, 33.3]",3879602,0,,,,,1.818417,,Right Foot,,,"[36.5, 51.1]",,Ground Pass,,18.36001,,,,Modibo Diakité,174418.0,,,,,,1,From Kick Off,Davide Bertoncini,49440.0,Left Center Back,2,Frosinone,291,['961d5b1b-c440-4af1-92e7-53c2f5de9089'],3,,,,,,,,,,,,,,,,,Frosinone,291,00:00:03.834,Pass,
,,,,,,,,,,,,,,,,,,,0.880111,,,,,,,,,,,,,,,9d2af512-4913-497a-a3a0-fa1a440d6887,13,,"[47.8, 55.2]",3879602,0,,,,,-0.04298426,,Right Foot,,,"[57.1, 54.8]",,Ground Pass,,9.3085985,,,,Yussif Raman Chibsah,9903.0,,,,,,1,From Kick Off,Modibo Diakité,174418.0,Right Center Back,2,Frosinone,291,['716b7b5e-bd11-4577-94b2-a0ca621d4d4e'],8,,,,,,,,,,,,,,,,,Frosinone,291,00:00:08.973,Pass,
