50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_success_in_play,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a4e3c711-aefa-4845-a2ac-c83b163fe71a,1,,,,3879674,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 7463, 'name': 'Ignazio Abate'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 20}, {'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 20289, 'name': 'Philippe Mexès'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 2}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 91}, {'player': {'id': 5683, 'name': 'Keisuke Honda'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 70}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0743802b-7484-44f6-bfbf-2d1079110d06,2,,,,3879674,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,"{'formation': 4141, 'lineup': [{'player': {'id': 7174, 'name': 'Antonio Mirante'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 83}, {'player': {'id': 7142, 'name': 'Luca Rossettini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 30745, 'name': 'Daniele Gastaldello'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 8849, 'name': 'Domenico Maietta'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 20}, {'player': {'id': 7169, 'name': 'Adam Masina'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 25}, {'player': {'id': 8284, 'name': 'Amadou Diawara'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 34565, 'name': 'Anthony Mounier'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 26}, {'player': {'id': 8851, 'name': 'Saphir Sliti Taïder'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 18027, 'name': 'Matteo Brighi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 33}, {'player': {'id': 7775, 'name': 'Emanuele Giaccherini'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 17}, {'player': {'id': 8103, 'name': 'Mattia Destro'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 10}]}",Bologna,240,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,16c4b22c-e862-4563-8cc2-09c0f8234902,3,,,,3879674,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['42eb1896-41dc-4e63-8c94-358c72b8a16a'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,42eb1896-41dc-4e63-8c94-358c72b8a16a,4,,,,3879674,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['16c4b22c-e862-4563-8cc2-09c0f8234902'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0382e987-8681-4280-9bb7-e02d5d4131c6,1894,,,,3879674,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,102,Bologna,240,['f90ae234-3191-46da-aa7d-e70187644f3f'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f90ae234-3191-46da-aa7d-e70187644f3f,1895,,,,3879674,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,102,Bologna,240,['0382e987-8681-4280-9bb7-e02d5d4131c6'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.627089,,,,,,,,,,,,,c79ffc57-fbaf-4793-ac8d-d87a81772fda,5,,,"[61.0, 40.1]",3879674,0,,,,1.8817946,,Right Foot,,,"[60.1, 42.9]",,Ground Pass,,2.9410882,,,Matteo Brighi,18027.0,,,,,,Kick Off,1,From Kick Off,Emanuele Giaccherini,7775.0,Left Midfield,2,Bologna,240,['46d7a2e0-8348-47bf-bc4b-117cd280c851'],0,,,,,,,,,,,,,,,,,Bologna,240,00:00:00.428,Pass,
,,,,,,,,,,,,,,,,,1.509296,,,,,,,,,,,,,f6f142b2-5f04-49f6-b818-fa8ae4e3d05a,8,,,"[60.5, 42.9]",3879674,0,,,,3.1096401,,Right Foot,,,"[38.6, 43.6]",,Ground Pass,,21.911184,,,Domenico Maietta,8849.0,,,,,,,1,From Kick Off,Matteo Brighi,18027.0,Left Center Midfield,2,Bologna,240,['0ca75871-2ac1-496d-b891-0e8d91f93f08'],1,,,,,,,,,,,,,,,,,Bologna,240,00:00:01.085,Pass,
,,,,,,,,,,,,,,,,,0.770946,,,,,,,,,,,,,5ff07536-ff34-4ead-8ba4-f090afc441aa,11,,,"[38.6, 43.6]",3879674,0,,,,2.2937758,,Right Foot,,,"[34.1, 48.7]",,Ground Pass,,6.8014703,,,Daniele Gastaldello,30745.0,,,,,,,1,From Kick Off,Domenico Maietta,8849.0,Left Center Back,2,Bologna,240,['e97294da-ba23-4cad-b847-999dbf2e405a'],2,,,,,,,,,,,,,,,,,Bologna,240,00:00:02.617,Pass,
,,,,,,,,,,,,,,,,,3.059419,,,,,,,,,,,,,26d54b7a-ad44-49a3-840a-7a9eb03b3e0e,13,,,"[34.1, 48.7]",3879674,0,,,,-0.5552905,,Right Foot,,,"[83.1, 18.3]",,High Pass,,57.6642,Incomplete,,Saphir Sliti Taïder,8851.0,,,,,,,1,From Kick Off,Daniele Gastaldello,30745.0,Right Center Back,2,Bologna,240,"['0370f998-5b8d-41cb-a11a-632011316c19', '24ca820c-e7a9-4c48-b017-49b8074a4d05']",3,,,,,,,,,,,,,,,,,Bologna,240,00:00:03.388,Pass,
