50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f7f71c8d-06e7-45e1-95bd-d8fd50067890,1,,,3879701,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 6949, 'name': 'Gianluigi Buffon'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6943, 'name': 'Andrea Barzagli'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 15}, {'player': {'id': 7173, 'name': 'Leonardo Bonucci'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 19}, {'player': {'id': 6954, 'name': 'Giorgio Chiellini'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 3}, {'player': {'id': 5541, 'name': 'Stephan Lichtsteiner'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 26}, {'player': {'id': 20008, 'name': 'Patrice Evra'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 33}, {'player': {'id': 8294, 'name': 'Claudio Marchisio'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 5566, 'name': 'Sami Khedira'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 6}, {'player': {'id': 20004, 'name': 'Paul Pogba'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 5743, 'name': 'Paulo Bruno Exequiel Dybala'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 21}, {'player': {'id': 5472, 'name': 'Mario Mandžukić'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 17}]}",Juventus,224,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,91e8c866-cbc2-477f-9b50-28c874b37096,2,,,3879701,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,,0,,,,,,,,,,,,,,,"{'formation': 3421, 'lineup': [{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 44}, {'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 16}, {'player': {'id': 3167, 'name': 'Antonio Rüdiger'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 2}, {'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 24}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 23241, 'name': 'William Vainqueur'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 18, 'name': 'Right Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 20, 'name': 'Left Attacking Midfield'}, 'jersey_number': 4}, {'player': {'id': 6973, 'name': 'Edin Džeko'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",AS Roma,229,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,37087fb3-ae2b-4ded-9db9-005799b784ff,3,,,3879701,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['78cc4824-1d19-4a77-9360-8619d6f84ae0'],0,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,78cc4824-1d19-4a77-9360-8619d6f84ae0,4,,,3879701,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Juventus,224,['37087fb3-ae2b-4ded-9db9-005799b784ff'],0,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,b61bf7a9-6bde-4d04-891a-5a1ffd6552d9,2123,,,3879701,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,80,AS Roma,229,['8bb98e87-d4c7-4fdb-b727-690bc6061f31'],0,,,,,,,,,,,,,,,,Juventus,224,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,8bb98e87-d4c7-4fdb-b727-690bc6061f31,2124,,,3879701,45,,,,,,,,,,,,,,,,,,,,,,,,,2,From Keeper,,,,80,AS Roma,229,['b61bf7a9-6bde-4d04-891a-5a1ffd6552d9'],0,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.831024,,,,,,,,,,,,,c3829b49-fafb-4efa-a0d1-7486387c4a0d,5,,"[60.0, 40.0]",3879701,0,,,,,1.7004988,,Right Foot,,,,"[59.7, 42.3]",,Ground Pass,2.3194828,,,,Mohamed Salah,3531.0,,,,,Kick Off,1,From Kick Off,Edin Džeko,6973.0,Center Forward,2,AS Roma,229,['d2b31e62-7476-4952-b311-af25ccfabb81'],1,,,,,,,,,,,,,,,,AS Roma,229,00:00:01.568,Pass,
,,,,,,,,,,,,,,,,,,,1.021622,,,,,,,,,,,,,31e392a3-dea9-45b1-a2a2-124f6e2eda3b,7,,"[59.5, 42.5]",3879701,0,,,,,-2.3821626,,Right Foot,,,,"[51.6, 35.0]",,Ground Pass,10.893117,,,,Miralem Pjanić,6947.0,,,,,,1,From Kick Off,Mohamed Salah,3531.0,Right Attacking Midfield,2,AS Roma,229,['3a62a972-83e9-4ff8-9a4a-29daedc4ac16'],2,,,,,,,,,,,,,,,,AS Roma,229,00:00:02.399,Pass,
,,,,,,,,,,,,,,,,,,,1.865605,,,,,,,,,,,,,a7d3b0a9-5197-4833-9851-c9e02fccac5a,11,,"[51.2, 35.7]",3879701,0,,,,,2.1327178,,Right Foot,,,,"[35.9, 60.0]",,Ground Pass,28.715502,,,,Konstantinos Manolas,7048.0,,,,,,1,From Kick Off,Miralem Pjanić,6947.0,Left Defensive Midfield,2,AS Roma,229,"['6422a302-2f9f-43b0-87c4-807c4846bbe1', '79bc2637-1dbe-4871-bdf4-e9dc5fc90ab1']",3,,,,,,,,,,,,,,,,AS Roma,229,00:00:03.862,Pass,True
,,,,,,,,,,,,,,,,,,,2.535159,,,,,,,,,,,,,1f178279-7657-46c8-9639-f03475fd9eef,14,,"[34.5, 64.2]",3879701,0,,,,,-0.3421272,,Right Foot,,,,"[76.9, 49.1]",,High Pass,45.008556,,,,Edin Džeko,6973.0,,,,,,1,From Kick Off,Konstantinos Manolas,7048.0,Right Center Back,2,AS Roma,229,['9f0392a9-4d08-49ce-93bd-6cc3c5b830fc'],7,,,,,,,,,,,,,,,,AS Roma,229,00:00:07.552,Pass,
