50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,2.036672,,,,,,,,,,,,98b0c025-54ad-47a6-bf3c-b8f166617623,16,,,"[34.7, 6.5]",3878603,0,,,,,-0.33643138,,Left Foot,,,"[53.0, 0.1]",,High Pass,,19.38685,Out,,Daniele Croce,40251.0,,,,,,,1,From Kick Off,Mário Rui Silva Duarte,7151.0,Left Back,2,Udinese,230,['763b8f6d-7077-4eea-9b05-e0c492c8625c'],18,,,,,,,,,,,,,,,,,Empoli,290,00:00:18.626,Pass,
,,,,,,,,,,,,,,,,1.728234,,,,,,,,,,,,8c700217-a62e-4777-80f5-9b0e1263fa2b,18,,,"[67.2, 80.0]",3878603,0,,,,,-2.7287488,,,,,"[55.1, 74.7]",,Low Pass,,13.209845,,,Molla Wagué,3577.0,,,,,,Throw-in,1,From Throw In,Edenílson Andrade dos Santos,25116.0,Right Wing Back,3,Udinese,230,['ead5275e-ede6-4051-8c4d-ac9d391c47f3'],26,,,,,,,,,,,,,,,,,Udinese,230,00:00:26.428,Pass,
,,,,,,,,,,,,,,,,1.452996,,,,,,,,,,,,174214ec-f00e-447e-b79f-fcc1bccae4ce,22,,,"[54.2, 72.7]",3878603,0,,,,,-2.6430247,,Right Foot,,,"[36.2, 62.9]",,Ground Pass,,20.494877,,,Danilo Larangeira,7799.0,,,,,,,1,From Throw In,Molla Wagué,3577.0,Right Center Back,3,Udinese,230,['fccf308f-98e8-4b92-9bc0-c837b4ce8ab4'],29,,,,,,,,,,,,,,,,,Udinese,230,00:00:29.034,Pass,
,,,,,,,,,,,,,,,,0.749743,,,,,,,,,,,,080b4c01-d50e-461a-aeee-54bc9da34dab,25,,,"[47.8, 41.3]",3878603,0,,,,,-0.8358603,,Right Foot,,,"[57.2, 30.9]",,Low Pass,,14.018559,Incomplete,,Ali Adnan Kadhim Al Tameemi,8191.0,,,,,,,1,From Throw In,Danilo Larangeira,7799.0,Center Back,3,Udinese,230,"['c1d7057b-b607-43d3-ba2d-80c3dfe58931', 'db672909-0402-4a76-b643-82c09997c2eb']",34,,,,,,,,,,,,,,,,,Udinese,230,00:00:34.377,Pass,
,,,,,,,,,,,,,,,,2.421772,,,,,,,,,,,,c1d7057b-b607-43d3-ba2d-80c3dfe58931,27,,,"[62.9, 49.2]",3878603,0,,,,,-2.252402,,Right Foot,,,"[58.6, 43.9]",,High Pass,,6.824954,Incomplete,,,,,,,,,Recovery,1,From Throw In,Manuel Pucciarelli,7054.0,Right Center Forward,3,Udinese,230,"['080b4c01-d50e-461a-aeee-54bc9da34dab', '44052b02-a66e-4513-8421-81afefee362a']",35,,,,,,,,,,,,,,,,,Empoli,290,00:00:35.126,Pass,
,,,,,,,,,,,,,,,,2.161595,,,,,,,,,,,,44052b02-a66e-4513-8421-81afefee362a,28,,,"[61.5, 36.2]",3878603,0,,,,,-1.1505346,,Right Foot,,,"[73.7, 8.9]",,High Pass,,29.902006,,,Ali Adnan Kadhim Al Tameemi,8191.0,,,,,,Recovery,1,From Throw In,Panagiotis Giorgios Kone,33529.0,Left Center Midfield,3,Udinese,230,"['75404f14-8077-4156-9cd0-2799c313638e', 'c1d7057b-b607-43d3-ba2d-80c3dfe58931']",37,,,,,,,,,,,,,,,,,Udinese,230,00:00:37.548,Pass,
,,,,,,,,,,,,,,,,0.011796,,,,,,,,,,,,10b8cd72-9a7c-495b-adfc-8f59ef503746,30,,,"[73.7, 8.9]",3878603,0,,,,,0.047583103,,Head,,,"[75.8, 9.0]",,Low Pass,,2.1023796,Incomplete,,,,,,,,,,1,From Throw In,Ali Adnan Kadhim Al Tameemi,8191.0,Left Wing Back,3,Udinese,230,['2653d45b-5782-4cce-baa1-40fe8fac2d7d'],39,,,,,,,,,,,,,,,,,Udinese,230,00:00:39.710,Pass,
,,,,,,,,,,,,,,,,1.37936,,,,,,,,,,,,742de842-41af-4682-93c1-e0fef489f0a2,34,,,"[55.9, 35.6]",3878603,0,,,,,-0.7164169,,Left Foot,,,"[70.6, 22.8]",,Ground Pass,,19.491793,Incomplete,,Massimo Maccarone,40252.0,,,,,,,1,From Throw In,Assane Dioussé El Hadji,3412.0,Center Defensive Midfield,3,Udinese,230,"['5099308e-32d2-4b6b-854a-895db40dd00d', 'e30ac4f9-9db9-45ff-a433-a40cea11cc2c']",45,,,,,,,,,,,,,,,,,Empoli,290,00:00:45.201,Pass,
,,,,,,,,,,,,,,,,0.82204,,,,,,,,,,,,1f84e93b-c384-49a6-9b1f-8759f499f285,38,,,"[67.5, 68.9]",3878603,0,,,,,-0.9453113,,Right Foot,,,"[71.4, 63.5]",,Ground Pass,,6.661081,,,Duván Esteban Zapata Banguera,7017.0,,,,,,,1,From Throw In,Molla Wagué,3577.0,Right Center Back,3,Udinese,230,['ca19dde7-1808-4cb7-887d-a5fc7e7ced5e'],49,,,,,,,,,,,,,,,,,Udinese,230,00:00:49.826,Pass,
,,,,,,,,,,,,,,,,2.23869,,,,,,,,,,,,3703cb64-61be-4e74-b01f-81b7dedce19a,41,,,"[73.7, 69.9]",3878603,0,,,,,-0.0063090646,,Right Foot,,,"[105.4, 69.7]",,Ground Pass,,31.70063,,,Emmanuel Agyemang-Badu,24722.0,,,,,,,1,From Throw In,Duván Esteban Zapata Banguera,7017.0,Left Center Forward,3,Udinese,230,['48f9638c-0fe5-4a7e-9c4e-26adb522d6a5'],54,,,,,,,,,,,,,,,,,Udinese,230,00:00:54.527,Pass,
