50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.121234,,,,,,,,,,,,,,,4fde8089-a6c4-47db-893a-0319aec009f0,17,,,"[48.2, 17.9]",3879550,0,,,,1.0419148,,Other,,,"[52.7, 25.6]",,Low Pass,,8.91852,,,,Milan Badelj,6305.0,,,,,Recovery,1,From Counter,Gonzalo Javier Rodríguez,25931.0,Center Back,3,Fiorentina,239,"['b479637e-e6e6-46c7-97f6-0e24304c5339', 'c0528ecd-5e1b-40f7-a5b6-2c685c009b71']",10,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:10.231,Pass,
,,,,,,,,,,,,,,,,,2.259822,,,,,,,,,,,,,,,5d469c14-720b-414f-b9e4-e43f173644c7,21,,,"[54.9, 25.6]",3879550,0,,,,-0.071489215,,Right Foot,,,"[94.0, 22.8]",,High Pass,,39.200127,,,,Nikola Kalinić,7033.0,,,,,,1,From Counter,Milan Badelj,6305.0,Right Defensive Midfield,3,Fiorentina,239,['6ea4078b-6cfa-45dd-97d5-f47638e46026'],12,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:12.531,Pass,
,,,,,,,,,,,,,,,,,1.950541,,,,,,,,,,,,,,,a3416e9e-58f5-44f3-91ad-dcb23f847ad8,23,,,"[94.0, 22.8]",3879550,0,,,,3.1415927,,Head,,,"[81.3, 22.8]",,Low Pass,,12.7,,Incomplete,,Borja Valero Iglesias,6997.0,,,,,,1,From Counter,Nikola Kalinić,7033.0,Center Forward,3,Fiorentina,239,"['1488b98c-5d92-4ef8-ac30-a342cd21deee', 'e8d26fad-72ab-48e5-a262-33487417f6bd']",14,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:14.831,Pass,
,,,,,,,,,,,,,,,,,2.259578,,,,,,,,,,,,,,,1488b98c-5d92-4ef8-ac30-a342cd21deee,26,,,"[38.8, 57.3]",3879550,0,,,,2.1068792,,Right Foot,,,"[28.7, 74.3]",,Low Pass,,19.773973,,,,Ivan Perišić,5474.0,,,,,Recovery,1,Regular Play,Felipe Melo de Carvalho,25430.0,Center Defensive Midfield,4,Inter Milan,238,"['1591b3c0-f109-4d2b-8c3f-e386452bd35b', 'a3416e9e-58f5-44f3-91ad-dcb23f847ad8', 'c39a38e1-b70c-4878-9c2c-72c9ac1fd107']",16,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:16.781,Pass,True
,,,,,,,,,,,,,,,,,0.482835,,,,,,,,,,,,,,,d6088733-ccfc-4c32-92d6-25dbc48cc864,30,,,"[30.6, 74.7]",3879550,0,,,,-1.5907936,,Right Foot,,,"[30.4, 64.7]",,Ground Pass,,10.002,,,,Felipe Melo de Carvalho,25430.0,,,,,,1,Regular Play,Ivan Perišić,5474.0,Right Wing Back,4,Inter Milan,238,"['2025dbff-42cc-4fb6-b3fe-1472d7f6c0a3', '5a018fa5-49dd-470c-a516-cf7fd8fa0690']",19,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:19.593,Pass,True
,,,,,,,,,,,,,,,,,0.808787,,,,,,,,,,,,,,,063d3db2-2f0e-41c4-9a26-2aee75ba0ce7,33,,,"[29.3, 61.8]",3879550,0,,,,-0.80094093,,Right Foot,,,"[38.8, 52.0]",,Ground Pass,,13.648809,,,,Geoffrey Kondogbia,6589.0,,,,,,1,Regular Play,Felipe Melo de Carvalho,25430.0,Center Defensive Midfield,4,Inter Milan,238,['30a90e95-9ba2-477c-8df1-368f66acc2f7'],21,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:21.756,Pass,
,,,,,,,,,,,,,,,,,1.018241,,,,,,,,,,,,,,,73311fa8-23b8-463c-830c-109f2cbd2c56,37,,,"[41.8, 52.2]",3879550,0,,,,0.41106454,,Right Foot,,,"[57.4, 59.0]",,Ground Pass,,17.017637,,,,Mauro Emanuel Icardi Rivero,6987.0,,,,,,1,Regular Play,Geoffrey Kondogbia,6589.0,Left Center Midfield,4,Inter Milan,238,"['544a7686-4ba1-4ff0-be26-48ae182c6e0e', 'c8eddcc5-9207-41e5-a2a4-a866eb7933f6']",23,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:23.291,Pass,True
,,,,,,,,,,,,,,,,,1.235562,,,,,,,,,,,,,,,afd687be-d737-4a9a-b2f5-36fb9e53cf8c,41,,,"[57.2, 59.0]",3879550,0,,,,2.4279664,,Left Foot,,,"[49.0, 66.1]",,Ground Pass,,10.846659,,,,Fredy Alejandro Guarín Vásquez,32807.0,,,,,,1,Regular Play,Mauro Emanuel Icardi Rivero,6987.0,Left Center Forward,4,Inter Milan,238,"['2cb9f64d-01fd-4d53-8672-419d086883c7', 'cddaac19-6ebe-469e-9664-ff29eb93f62b']",24,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:24.389,Pass,True
,,,,,,,,,,,,,,,,,3.950553,,,,,,,,,,,,,,,2161aa5f-a6e0-4f5e-b8f9-e8ee3ac52ab8,44,,,"[49.0, 66.1]",3879550,0,,,,-0.7226101,,Right Foot,,,"[93.8, 26.6]",,High Pass,,59.726795,,,,Rodrigo Sebastián Palacio,7165.0,,,,,,1,Regular Play,Fredy Alejandro Guarín Vásquez,32807.0,Right Center Midfield,4,Inter Milan,238,['41e777a5-a37e-439c-bb9e-320abedda37b'],25,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:25.664,Pass,
,,,,,,,,,,,,,,,,,1.378684,,,,,,,,,,,,,,,101b9c07-f2b5-4ef7-ae51-23da7659cd80,48,,,"[95.5, 22.9]",3879550,0,,,,-1.9358343,,Right Foot,,,"[89.5, 7.2]",,Ground Pass,,16.807438,,,,Alex Nicolao Telles,11183.0,,,,,,1,Regular Play,Rodrigo Sebastián Palacio,7165.0,Right Center Forward,4,Inter Milan,238,['1dbf177e-3d1c-4e68-a866-78e8d8e91d01'],32,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:32.340,Pass,
,,,,,,,,,,,,,,,,,0.729182,,,,,,,,,,,,,,,e1eb6260-b6fd-4580-8f80-e9a4de77eac9,53,,,"[118.6, 4.9]",3879550,0,,,,1.4259838,,Left Foot,,,"[120.0, 14.5]",,High Pass,,9.701547,,Out,,,,,,,,,1,Regular Play,Alex Nicolao Telles,11183.0,Left Wing Back,4,Inter Milan,238,['03d58a40-d6e3-4852-8539-11f801c449d8'],41,,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:41.289,Pass,True
,,,,,,,,,,,,,,,,,1.895998,,,,,,,,,,,,,,,69e14492-e967-4fa6-bbb3-1d4758447ad5,54,,,"[6.0, 44.0]",3879550,0,,,,-1.3769978,,Right Foot,,,"[12.3, 11.9]",,Ground Pass,,32.712383,,,,Davide Astori,8275.0,,,,,Goal Kick,1,From Goal Kick,Anton Ciprian Tătărușanu,3112.0,Goalkeeper,5,Fiorentina,239,['500f4cfd-c72a-424b-ad3b-6757c772c0eb'],51,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:51.813,Pass,
,,,,,,,,,,,,,,,,,1.882075,,,,,,,,,,,,,,,d78fd761-4791-458d-b311-3cb95096d9c5,58,,,"[17.5, 9.3]",3879550,0,,,,-0.124354996,,Left Foot,,,"[52.7, 4.9]",,High Pass,,35.473934,,,,Borja Valero Iglesias,6997.0,,,,,,1,From Goal Kick,Davide Astori,8275.0,Left Center Back,5,Fiorentina,239,['8b3d6b71-feb1-4c20-99c4-cce3252cd5bc'],56,,,,,,,,,,,,,,,,,,Fiorentina,239,00:00:56.947,Pass,
,,,,,,,,,,,,,,,,,2.141475,,,,,,,,,,,,,,,d2b4dabf-007e-41a0-9e69-8ad71c3f9895,64,,,"[50.6, 9.0]",3879550,1,,,,1.4795867,,Left Foot,,,"[55.1, 58.2]",,High Pass,,49.405365,,,,Facundo Sebastián Roncaglia,6830.0,,True,,,Free Kick,1,From Free Kick,Davide Astori,8275.0,Left Center Back,6,Fiorentina,239,['b74d0556-d15d-463c-8b69-ccb61d3095dd'],13,,,,,,,,,,,,,,,,,,Fiorentina,239,00:01:13.836,Pass,
,,,,,,,,,,,,,,,,,0.762155,,,,,,,,,,,,,,,e0764896-878d-4d55-a92b-e052da2a584f,68,,,"[55.1, 57.6]",3879550,1,,,,-1.403457,,Right Foot,,,"[57.6, 42.8]",,Ground Pass,,15.009664,,,,Milan Badelj,6305.0,,,,,,1,From Free Kick,Facundo Sebastián Roncaglia,6830.0,Right Center Back,6,Fiorentina,239,"['5a21c48d-516d-4718-b32b-188b247dc5f1', 'cf880663-8bac-458b-974e-0f634d0f9686']",17,,,,,,,,,,,,,,,,,,Fiorentina,239,00:01:17.091,Pass,True
,,,,,,,,,,,,,,,,,0.733129,,,,,,,,,,,,,,,a4aa6038-3b23-4fd7-991f-488e45de06cd,71,,,"[63.5, 49.0]",3879550,1,,,,0.2812322,,Right Foot,,,"[72.5, 51.6]",,Ground Pass,,9.368031,,,,Josip Iličić,7139.0,,,,,,1,From Free Kick,Milan Badelj,6305.0,Right Defensive Midfield,6,Fiorentina,239,['2d5a399a-57ff-41b8-83d3-fbf74d4d5e59'],19,,,,,,,,,,,,,,,,,,Fiorentina,239,00:01:19.735,Pass,
,,,,,,,,,,,,,,,,,0.46581,,,,,,,,,,,,,,,50925070-52ff-4cb6-87d8-39d57aa45d76,74,,,"[71.9, 50.6]",3879550,1,,,,2.9736967,,Left Foot,,,"[66.0, 51.6]",,Ground Pass,,5.9841456,,,,Milan Badelj,6305.0,,,,,,1,From Free Kick,Josip Iličić,7139.0,Right Attacking Midfield,6,Fiorentina,239,['16e093c8-78a3-4356-beec-6c6d30df8946'],20,,,,,,,,,,,,,,,,,,Fiorentina,239,00:01:20.508,Pass,
,,,,,,,,,,,,,,,,,1.613247,,,,,,,,,,,,,,,f079bd74-d21c-4ef5-a09e-b107b8828f79,77,,,"[68.4, 51.6]",3879550,1,,,,1.5555303,,Right Foot,,,"[68.6, 64.7]",,Ground Pass,,13.101526,,,,Jakub Błaszczykowski,5663.0,,,,,,1,From Free Kick,Milan Badelj,6305.0,Right Defensive Midfield,6,Fiorentina,239,['dc0ca3e7-3dc0-42a2-9eaf-0064d1181332'],21,,,,,,,,,,,,,,,,,,Fiorentina,239,00:01:21.074,Pass,
,,,,,,,,,,,,,,,,,0.969076,,,,,,,,,,,,,,,a5042bf2-e3d4-48bd-8d93-dde1cc9037ab,80,,,"[69.7, 74.2]",3879550,1,,,,-2.538966,,Right Foot,,,"[57.2, 65.6]",,Ground Pass,,15.172673,,,,Facundo Sebastián Roncaglia,6830.0,,,,,,1,From Free Kick,Jakub Błaszczykowski,5663.0,Right Wing Back,6,Fiorentina,239,['fe3a4b3b-3238-477b-861b-36cc27e890b8'],24,,,,,,,,,,,,,,,,,,Fiorentina,239,00:01:24.225,Pass,
,,,,,,,,,,,,,,,,,0.996445,,,,,,,,,,,,,,,f5852218-5f84-46b7-9c26-8d161c73060b,83,,,"[57.2, 60.8]",3879550,1,,,,-2.28654,,Right Foot,,,"[49.2, 51.6]",,Ground Pass,,12.1918,,,,Gonzalo Javier Rodríguez,25931.0,,,,,,1,From Free Kick,Facundo Sebastián Roncaglia,6830.0,Right Center Back,6,Fiorentina,239,['ab5fcff7-de0a-4d2e-b8bd-65282f456444'],26,,,,,,,,,,,,,,,,,,Fiorentina,239,00:01:26.027,Pass,
,,,,,,,,,,,,,,,,,1.908589,,,,,,,,,,,,,,,fe99f38d-4624-4027-9938-b3a1e5c999a9,86,,,"[49.2, 51.6]",3879550,1,,,,-1.3953611,,Right Foot,,,"[54.5, 21.7]",,Ground Pass,,30.3661,,,,Davide Astori,8275.0,,,,,,1,From Free Kick,Gonzalo Javier Rodríguez,25931.0,Center Back,6,Fiorentina,239,['14b44e73-3380-4a69-bedc-3da556d7ec20'],27,,,,,,,,,,,,,,,,,,Fiorentina,239,00:01:27.949,Pass,
