50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_open_goal,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,1.301977,,,,,,,,,,,,,95cd9dcd-5edd-438c-9188-0e260c8018f8,16,,"[16.1, 15.4]",3878554,0,,,,-0.9038881,,Left Foot,,,"[27.2, 1.3]",,Ground Pass,,17.944916,,,,Armando Izzo,9940.0,,,,,,1,From Kick Off,Nicolás Andrés Burdisso,7467.0,Center Back,2,Hellas Verona,226,['10189187-a611-44fa-b17b-0b887541ee4a'],11,,,,,,,,,,,,,,,,,,Genoa,233,00:00:11.166,Pass,
,,,,,,,,,,,,,,,,0.881162,,,,,,,,,,,,,9ea87ac9-f02e-4aba-9b61-63036950a7d4,20,,"[27.1, 0.8]",3878554,0,,,,-0.22923194,,Left Foot,,,"[30.1, 0.1]",,Ground Pass,,3.0805843,,Out,,,,,,,,,1,From Kick Off,Armando Izzo,9940.0,Left Center Back,2,Hellas Verona,226,['3233c32d-09ed-49b5-9717-2b2f238fb0ba'],12,,,,,,,,,,,,,,,,,,Genoa,233,00:00:12.714,Pass,True
,,,,,,,,,,,,,,,,1.230136,,,,,,,,,,,,,9de7f58d-a504-423f-ab1d-b2791e70d536,21,,"[91.3, 80.0]",3878554,0,,,,-0.62597823,,,,,"[106.1, 69.3]",,High Pass,,18.262804,,,,Luca Toni,20252.0,,,,,Throw-in,1,From Throw In,Eros Pisano,11342.0,Right Back,3,Hellas Verona,226,['09b8b587-ca8f-4641-af6a-9174c88bb68b'],21,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:21.547,Pass,
,,,,,,,,,,,,,,,,1.901989,,,,,,,,,,,,,a5b03e48-d22c-4622-904c-0e10017d5d84,23,,"[108.1, 74.2]",3878554,0,,,,-2.4993527,,Head,,,"[95.4, 64.7]",,High Pass,,15.860013,,Incomplete,,Jacopo Sala,7020.0,,,,,,1,From Throw In,Luca Toni,20252.0,Center Forward,3,Hellas Verona,226,"['46c89456-b81e-4668-b6bb-cb32e00dde1e', 'ecf5278d-9cd8-471f-94ff-082a0b727ccc']",22,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:22.804,Pass,
,,,,,,,,,,,,,,,,0.737531,,,,,,,,,,,,,fe4ba0b0-749b-40be-9fb2-15c08951ce8d,28,,"[29.2, 8.3]",3878554,0,,,,0.28062886,,Right Foot,,,"[46.2, 13.2]",,Ground Pass,,17.69209,,,,Goran Pandev,7146.0,,,,,,1,Regular Play,Jules Olivier Ntcham,10530.0,Left Center Midfield,4,Genoa,233,"['39281d83-c463-4bc9-9d55-145874f57879', 'fee89d26-a616-4a99-85af-0b8aa1069211']",27,,,,,,,,,,,,,,,,,,Genoa,233,00:00:27.426,Pass,True
,,,,,,,,,,,,,,,,1.338083,,,,,,,,,,,,,667d6e54-dd44-4ca3-87b7-4ca05e9eb7fb,36,,"[85.8, 39.8]",3878554,0,,,,1.8091671,,Head,,,"[83.2, 50.5]",,Low Pass,,11.011357,,Incomplete,,Emil Hallfreðsson,5512.0,,,,,Recovery,1,Regular Play,Juan Ignacio Gómez Taleb,386651.0,Left Wing,4,Genoa,233,"['073bd437-2ee0-40a4-8a13-4866e1d12856', '8b6e4583-dd50-465e-b5ee-3631fb357ba9']",33,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:33.108,Pass,
,,,,,,,,,,,,,,,,2.225412,,,,,,,,,,,,,073bd437-2ee0-40a4-8a13-4866e1d12856,39,,"[36.9, 29.6]",3878554,0,,,,1.7644705,,Right Foot,,,"[29.8, 65.8]",,High Pass,,36.8897,,,,Issa Cissokho,4369.0,,,,,Recovery,1,Regular Play,Alberto Facundo Costa,26728.0,Center Defensive Midfield,4,Genoa,233,"['667d6e54-dd44-4ca3-87b7-4ca05e9eb7fb', '95634907-e8ff-4949-a0b5-1b9f563615b9', 'acf6191f-85bf-47af-ab75-18699b799399']",34,,,,,,,,,,,,,,,,,,Genoa,233,00:00:34.446,Pass,True
,,,,,,,,,,,,,,,,2.478968,,,,,,,,,,,,,b8c10a49-5481-493d-8efb-c7f9df106a04,43,,"[77.7, 75.3]",3878554,0,,,,-0.15210079,,Right Foot,,,"[105.1, 71.1]",,Ground Pass,,27.720028,,,,Serge Gakpé,3556.0,,,,,,1,Regular Play,Issa Cissokho,4369.0,Right Wing Back,4,Genoa,233,"['64ce5a2c-ba72-44c4-a40e-0327276e9c59', '92a85c6c-b555-4809-8a9a-11b3b7f2f94b']",40,,,,,,,,,,,,,,,,,,Genoa,233,00:00:40.955,Pass,True
,,,,,,,,,,,,,,,,1.624208,,,,,,,,,,,,,fac0e8c2-98fc-4d53-b7aa-81b032013fa8,48,,"[25.3, 0.1]",3878554,0,,,,0.3498556,,,,,"[40.1, 5.5]",,High Pass,,15.754364,,,,Juan Ignacio Gómez Taleb,386651.0,,,,,Throw-in,1,From Throw In,Samuel Souprayen,7695.0,Left Back,5,Hellas Verona,226,['72f826bb-0ed5-4c1d-b7a4-d23e0f56006d'],57,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:57.443,Pass,
,,,,,,,,,,,,,,,,1.692558,,,,,,,,,,,,,c0712ac4-e768-46d0-85e2-41414469d94f,55,,"[40.4, 6.1]",3878554,0,,,,2.429235,,Other,,,"[33.8, 11.8]",,Low Pass,,8.720665,,,,Samuel Souprayen,7695.0,,,,,,1,From Throw In,Juan Ignacio Gómez Taleb,386651.0,Left Wing,5,Hellas Verona,226,['28fb3a6b-85b4-4a28-934e-bc3c9cc3a71c'],59,,,,,,,,,,,,,,,,,,Hellas Verona,226,00:00:59.147,Pass,
