50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,9da1b4f7-b35d-4f25-97aa-57fadfb829f0,1,,,3879742,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 7036, 'name': 'Gianluigi Donnarumma'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 99}, {'player': {'id': 6944, 'name': 'Mattia De Sciglio'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 40945, 'name': 'Alex Rodrigo Dias da Costa'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 7458, 'name': 'Alessio Romagnoli'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 13}, {'player': {'id': 8874, 'name': 'Luca Antonelli'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 31}, {'player': {'id': 7166, 'name': 'Riccardo Montolivo'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 18}, {'player': {'id': 7147, 'name': 'Andrea Bertolacci'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 91}, {'player': {'id': 5683, 'name': 'Keisuke Honda'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 10}, {'player': {'id': 7026, 'name': 'Giacomo Bonaventura'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 28}, {'player': {'id': 5661, 'name': ""M''Baye Babacar Niang""}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 19}, {'player': {'id': 5688, 'name': 'Carlos Arturo Bacca Ahumada'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 70}]}",AC Milan,243,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,99f07706-81c2-4566-92fe-b66c8a531f20,2,,,3879742,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,,0,,,,,,,,,,,,,,,,"{'formation': 343, 'lineup': [{'player': {'id': 7148, 'name': 'Mattia Perin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 9940, 'name': 'Armando Izzo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7467, 'name': 'Nicolás Andrés Burdisso'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 8}, {'player': {'id': 7176, 'name': 'Sebastian De Maio'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 4}, {'player': {'id': 34355, 'name': 'Riccardo Fiamozzi'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 29}, {'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 34}, {'player': {'id': 7461, 'name': 'Luca Rigoni'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 30}, {'player': {'id': 5554, 'name': 'Blerim Džemaili'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 31}, {'player': {'id': 7022, 'name': 'Jesús Joaquín Fernández Sáez de la Torre'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 17}, {'player': {'id': 5717, 'name': 'Diego Sebastián Laxalt Suárez'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 93}, {'player': {'id': 7852, 'name': 'Tim Matavž'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 42}]}",Genoa,233,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,4d1ac265-0518-47fd-81ec-26d31b7d7406,3,,,3879742,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['c078f08f-6ee0-458b-8793-b4ce6a15816c'],0,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,c078f08f-6ee0-458b-8793-b4ce6a15816c,4,,,3879742,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,AC Milan,243,['4d1ac265-0518-47fd-81ec-26d31b7d7406'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,a9a39069-e1f1-4af7-8a21-d1a8428d811b,1776,,,3879742,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,113,Genoa,233,['851e6114-7115-4838-bede-a0a40cfc8aa3'],0,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,851e6114-7115-4838-bede-a0a40cfc8aa3,1777,,,3879742,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Free Kick,,,,113,Genoa,233,['a9a39069-e1f1-4af7-8a21-d1a8428d811b'],0,,,,,,,,,,,,,,,,,AC Milan,243,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,1.348069,,,,,,,,,,,,1da9c3cf-6840-4128-8cbe-75ad4f55c2c3,5,,"[60.0, 40.0]",3879742,0,,,,,3.0434244,,Right Foot,,,,"[46.8, 41.3]",,Ground Pass,,13.263861,,,,,Blerim Džemaili,5554.0,,,,,,Kick Off,1,From Kick Off,Tim Matavž,7852.0,Center Forward,2,Genoa,233,['7e8e2214-3e0d-45df-ac00-401796b6b505'],0,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.548,Pass,
,,,,,,,,,,,,,,,,,0.902478,,,,,,,,,,,,e710105a-f69f-4f62-ad3b-b14810db0cf0,8,,"[61.6, 52.5]",3879742,0,,,,,1.4034271,,Left Foot,,,,"[65.3, 74.4]",,Ground Pass,,22.210358,,,,,Jesús Joaquín Fernández Sáez de la Torre,7022.0,,,,,,,1,From Kick Off,Blerim Džemaili,5554.0,Left Defensive Midfield,2,Genoa,233,['e2a85c91-585c-4ea0-9033-89a7f26f7c3f'],7,,,,,,,,,,,,,,,,,Genoa,233,00:00:07.634,Pass,
,,,,,,,,,,,,,,,,,2.793584,,,,,,,,,,,,4fc46c3c-8e60-496c-82ee-2a6ac3d94fda,11,,"[66.1, 71.8]",3879742,0,,,,,-2.3413258,,Left Foot,,,,"[39.6, 44.5]",,Ground Pass,,38.04655,,,,,Nicolás Andrés Burdisso,7467.0,,,,,,,1,From Kick Off,Jesús Joaquín Fernández Sáez de la Torre,7022.0,Right Wing,2,Genoa,233,['b02aa370-1092-4c06-b12c-5ece6d3c28fb'],11,,,,,,,,,,,,,,,,,Genoa,233,00:00:11.714,Pass,
,,,,,,,,,,,,,,,,,1.693518,,,,,,,,,,,,2f1449ec-a03e-4479-ba03-58ed68f6c99a,14,,"[40.0, 42.7]",3879742,0,,,,,-1.4351163,,Right Foot,,,,"[44.0, 13.4]",,Ground Pass,,29.571777,,,,,Sebastian De Maio,7176.0,,,,,,,1,From Kick Off,Nicolás Andrés Burdisso,7467.0,Center Back,2,Genoa,233,['669fc2ee-a38b-43b7-8d13-7d8370a7b3b6'],15,,,,,,,,,,,,,,,,,Genoa,233,00:00:15.306,Pass,
