50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,f0588289-acd5-4014-80e2-73c7f9256788,1,,,3879679,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,,0,,,,,,,,,,,,,,,,,"{'formation': 442, 'lineup': [{'player': {'id': 386510, 'name': 'Massimo Zenildo Zappino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 31721, 'name': 'Matteo Ciofani'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 13}, {'player': {'id': 174418, 'name': 'Modibo Diakité'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 24}, {'player': {'id': 387847, 'name': 'Leonardo Blanchard'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 6}, {'player': {'id': 296873, 'name': 'Roberto Crivello'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 23349, 'name': 'Paolo Sammarco'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 30911, 'name': 'Robert Gucher'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 23470, 'name': 'Luca Paganini'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 17}, {'player': {'id': 8793, 'name': 'Oliver Kragl'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 11}, {'player': {'id': 13613, 'name': 'Daniel Ciofani'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 24235, 'name': 'Federico Dionisi'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 18}]}",Frosinone,291,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,41085fbd-3299-40b2-8a3a-115b17ccd6f4,2,,,3879679,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7028, 'name': 'José Manuel Reina Páez'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 7031, 'name': 'Elseid Hysaj'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 2}, {'player': {'id': 7030, 'name': 'Raúl Albiol i Tortajada'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 33}, {'player': {'id': 5675, 'name': 'Kalidou Koulibaly'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 26}, {'player': {'id': 5457, 'name': 'Ivan Strinić'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 7024, 'name': 'Jorge Luiz Frello Filho'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 8}, {'player': {'id': 7035, 'name': 'Allan Marques Loureiro'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 5}, {'player': {'id': 7025, 'name': 'Marek Hamšík'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 17}, {'player': {'id': 7029, 'name': 'José María Callejón Bueno'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 5630, 'name': 'Dries Mertens'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 14}, {'player': {'id': 5497, 'name': 'Gonzalo Gerardo Higuaín'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Napoli,227,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ef271f02-8cb9-4bee-8830-0efcd3cf2a19,3,,,3879679,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,['1e620ce1-1db0-4c11-9207-83efeb4a70a4'],0,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1e620ce1-1db0-4c11-9207-83efeb4a70a4,4,,,3879679,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Frosinone,291,['ef271f02-8cb9-4bee-8830-0efcd3cf2a19'],0,,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,a5c59eb2-09de-4bb1-b9cb-1b5c14c2a9cd,1853,,,3879679,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,91,Frosinone,291,['d305d8d8-574f-4b1f-9a66-45e77d58a5b8'],0,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,d305d8d8-574f-4b1f-9a66-45e77d58a5b8,1854,,,3879679,45,,,,,,,,,,,,,,,,,,,,,,,,,,,2,From Corner,,,,91,Frosinone,291,['a5c59eb2-09de-4bb1-b9cb-1b5c14c2a9cd'],0,,,,,,,,,,,,,,,,,,Napoli,227,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.261265,,,,,,,,,,,,,00747a31-489d-49c4-8060-d265ddee942e,5,,"[60.0, 40.0]",3879679,0,,True,,,-1.5208379,,Right Foot,,,"[60.1, 38.0]",,Ground Pass,,2.0024984,,,,,Paolo Sammarco,23349.0,,,,,,Kick Off,1,From Kick Off,Robert Gucher,30911.0,Left Defensive Midfield,2,Frosinone,291,['04fbb167-2260-44b1-8560-90b3686b1ad1'],0,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.553,Pass,
,,,,,,,,,,,,,,,,,1.263526,,,,,,,,,,,,,f5496fec-8a3f-429c-8119-63f493d25fc4,7,,"[58.2, 37.2]",3879679,0,,True,,,-3.090236,,Right Foot,,,"[36.8, 36.1]",,Ground Pass,,21.428253,,,,,Leonardo Blanchard,387847.0,,,,,,,1,From Kick Off,Paolo Sammarco,23349.0,Right Defensive Midfield,2,Frosinone,291,['4aa296d9-84a8-4da0-bd54-8810ac8dbf5d'],0,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:00.894,Pass,
,,,,,,,,,,,,,,,,,2.883303,,,,,,,,,,,,,2363a9d8-955f-4916-af44-c244a42aa748,9,,"[36.8, 36.1]",3879679,0,,,,,0.62503964,,Left Foot,,,"[86.0, 71.6]",,High Pass,,60.670338,,,Incomplete,,Luca Paganini,23470.0,,,,,,,1,From Kick Off,Leonardo Blanchard,387847.0,Left Center Back,2,Frosinone,291,"['0a256083-f576-4f51-b914-0dfdc566da44', '980ec6c9-9286-4e5b-9713-78eb9a6a8216']",2,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:02.998,Pass,
,,,,,,,,,,,,,,,,,3.622862,,,,,,,,,,,,,e6a186ee-549f-453b-b626-9d6b83114780,15,,"[78.2, 80.0]",3879679,0,,,,,-2.7306821,,,,,"[50.2, 67.8]",,Low Pass,,30.542429,,,,,Modibo Diakité,174418.0,,,,,,Throw-in,1,From Throw In,Matteo Ciofani,31721.0,Right Back,3,Frosinone,291,['70a4a26a-c71a-43aa-b452-e922afab8bcc'],15,,,,,,,,,,,,,,,,,,Frosinone,291,00:00:15.654,Pass,
