50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7b07e415-4f32-40aa-9e4a-9ab4d84fba09,1,,,3879564,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,"{'formation': 41212, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 12}, {'player': {'id': 23329, 'name': 'Abdelhamid El Kaoutari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 34}, {'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 30735, 'name': 'Mato Jajalo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 7461, 'name': 'Luca Rigoni'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 40349, 'name': 'Ivaylo Chochev'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 10}, {'player': {'id': 30512, 'name': 'Aleksandar Trajkovski'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 8}, {'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 20}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,094f939f-e086-4ea0-ad91-a767bab8b073,2,,,3879564,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,"{'formation': 4411, 'lineup': [{'player': {'id': 5669, 'name': 'Wojciech Szczęsny'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 25}, {'player': {'id': 8104, 'name': 'Vassilis Torosidis'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 35}, {'player': {'id': 7048, 'name': 'Konstantinos Manolas'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 44}, {'player': {'id': 7051, 'name': 'Daniele De Rossi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 16}, {'player': {'id': 6849, 'name': 'Lucas Digne'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 3}, {'player': {'id': 6962, 'name': 'Radja Nainggolan'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 6947, 'name': 'Miralem Pjanić'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 6964, 'name': 'Alessandro Florenzi'}, 'position': {'id': 12, 'name': 'Right Midfield'}, 'jersey_number': 24}, {'player': {'id': 7468, 'name': 'Iago Falqué Silva'}, 'position': {'id': 16, 'name': 'Left Midfield'}, 'jersey_number': 14}, {'player': {'id': 3531, 'name': 'Mohamed Salah'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 11}, {'player': {'id': 15818, 'name': 'Gervais Lombe Yao Kouassi'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 27}]}",AS Roma,229,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,ec8f2761-7516-401e-9d5c-9f043e544a33,3,,,3879564,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['95d1fb46-279c-4192-8e89-810562588c81'],0,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,95d1fb46-279c-4192-8e89-810562588c81,4,,,3879564,0,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['ec8f2761-7516-401e-9d5c-9f043e544a33'],0,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,1b1c7f25-fa1d-4870-8f43-fc5e46898628,1901,,,3879564,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,94,Palermo,2256,['4a050267-d2b6-41e0-ac66-d13de020f2ab'],0,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4a050267-d2b6-41e0-ac66-d13de020f2ab,1902,,,3879564,45,,,,,,,,,,,,,,,,,,,,,,,,2,From Goal Kick,,,,94,Palermo,2256,['1b1c7f25-fa1d-4870-8f43-fc5e46898628'],0,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,0.47893,,,,,,,,,,,,,4bf19d43-23c1-4067-82c1-8b92b0838605,5,,"[61.0, 40.1]",3879564,0,,True,,,-3.1031501,,Right Foot,,"[58.4, 40.0]",,Ground Pass,,2.6019223,,,Miralem Pjanić,6947.0,,,,,,Kick Off,1,From Kick Off,Gervais Lombe Yao Kouassi,15818.0,Center Forward,2,AS Roma,229,['88a705b6-b77b-460f-b57e-0bd554022b9d'],0,,,,,,,,,,,,,,,,AS Roma,229,00:00:00.569,Pass,
,,,,,,,,,,,,,,,,1.966566,,,,,,,,,,,,,badf3f1b-e2b5-431a-8759-9d2174b27408,7,,"[57.2, 39.3]",3879564,0,,,,,2.813925,,Right Foot,,"[31.9, 47.9]",,Ground Pass,,26.721714,,,Konstantinos Manolas,7048.0,,,,,,,1,From Kick Off,Miralem Pjanić,6947.0,Left Defensive Midfield,2,AS Roma,229,['1aa87bbe-d03c-455e-9b30-354742533455'],1,,,,,,,,,,,,,,,,AS Roma,229,00:00:01.308,Pass,
,,,,,,,,,,,,,,,,2.171158,,,,,,,,,,,,,4ddf123b-8a8b-4b5d-bcf6-10ceef36f0be,10,,"[30.0, 53.0]",3879564,0,,,,,1.4487642,,Right Foot,,"[32.6, 74.2]",,Ground Pass,,21.358839,,,Vassilis Torosidis,8104.0,,,,,,,1,From Kick Off,Konstantinos Manolas,7048.0,Right Center Back,2,AS Roma,229,['c2776369-6cfb-48ba-89c8-62e7f9fd790b'],4,,,,,,,,,,,,,,,,AS Roma,229,00:00:04.284,Pass,
,,,,,,,,,,,,,,,,1.437875,,,,,,,,,,,,,5a05bd17-d0bf-400c-87bb-074e8e1a9c57,13,,"[32.1, 73.1]",3879564,0,,,,,-2.0442717,,Right Foot,,"[23.8, 56.9]",,Ground Pass,,18.202473,,,Konstantinos Manolas,7048.0,,,,,,,1,From Kick Off,Vassilis Torosidis,8104.0,Right Back,2,AS Roma,229,['253cf5e7-6023-4c35-be1e-1d16c6aceccd'],7,,,,,,,,,,,,,,,,AS Roma,229,00:00:07.274,Pass,
