50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_no_touch,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,1.864386,,,,,,,,,,,,,,,973a500e-9872-42a2-82a0-478081f6e983,17,,,"[24.0, 23.9]",3879784,0,,,,,-0.75073,,Left Foot,,,,"[41.9, 7.2]",,Ground Pass,,24.480604,,,,,Cristian Molinaro,7479.0,,,,,,,1,From Kick Off,Emiliano Moretti,7476.0,Left Center Back,2,Torino,241,['89a70a44-7099-47b1-865f-b62714389adf'],11,,,,,,,,,,,,,,,Torino,241,00:00:11.072,Pass,
,,,,,,,,,,,,,,,,,,1.042529,,,,,,,,,,,,,,,4a6739fb-3ba4-4eef-9577-87c61e7f48f0,21,,,"[46.3, 16.8]",3879784,0,,,,,0.5451717,,Right Foot,,,,"[67.9, 29.9]",,Ground Pass,,25.262028,,,,,Andrea Belotti,7471.0,,,,,,,1,From Kick Off,Cristian Molinaro,7479.0,Left Wing Back,2,Torino,241,['a3198cc7-45bf-475b-8c61-02991959e6cd'],14,,,,,,,,,,,,,,,Torino,241,00:00:14.532,Pass,
,,,,,,,,,,,,,,,,,,0.846796,,,,,,,,,,,,,,,5c642ad6-9557-4c13-80c5-8949eccd7215,25,,,"[64.3, 27.7]",3879784,0,,,,,3.0986085,,Right Foot,,,,"[55.0, 28.1]",,Ground Pass,,9.3085985,,,,,Cristian Molinaro,7479.0,,,,,,,1,From Kick Off,Andrea Belotti,7471.0,Right Center Forward,2,Torino,241,['ca384fe8-2978-457e-b2a4-77e21ac31f7e'],17,,,,,,,,,,,,,,,Torino,241,00:00:17.016,Pass,
,,,,,,,,,,,,,,,,,,2.392545,,,,,,,,,,,,,,,8e4b3a47-16bc-41e2-84f5-6dd8d5c5d75c,28,,,"[59.3, 30.3]",3879784,0,,,,,1.6638925,,Left Foot,,,,"[55.5, 71.0]",,High Pass,,40.87701,,,,,Nikola Maksimović,16202.0,,,True,,,,1,From Kick Off,Cristian Molinaro,7479.0,Left Wing Back,2,Torino,241,['a98166c8-0559-4cda-be35-29e1fa8d4e33'],18,,,,,,,,,,,,,,,Torino,241,00:00:18.978,Pass,
,,,,,,,,,,,,,,,,,,1.370546,,,,,,,,,,,,,,,a7823478-3f63-48c4-b143-3f9136678f1b,31,,,"[55.9, 69.7]",3879784,0,,,,,-0.77257836,,Right Foot,,,,"[63.8, 62.0]",,Ground Pass,,11.031773,,,,,Giuseppe Vives,40430.0,,,,,,,1,From Kick Off,Nikola Maksimović,16202.0,Right Center Back,2,Torino,241,['959fdfd3-7bb0-45b8-a0e9-66f24a36a9df'],22,,,,,,,,,,,,,,,Torino,241,00:00:22.807,Pass,
,,,,,,,,,,,,,,,,,,1.096096,,,,,,,,,,,,,,,36f105aa-8884-476b-a2d1-cc80d6fe9fdb,34,,,"[63.8, 62.0]",3879784,0,,,,,0.14004634,,Right Foot,,,,"[86.5, 65.2]",,Low Pass,,22.92444,,,Incomplete,,Bruno da Silva Peres,6965.0,,,,,,,1,From Kick Off,Giuseppe Vives,40430.0,Center Defensive Midfield,2,Torino,241,"['11d0b28c-f0b5-4141-bd40-e2e1771e63d6', '5b83d5e1-225b-4db2-80d5-17d630b88f1b']",24,,,,,,,,,,,,,,,Torino,241,00:00:24.218,Pass,
,,,,,,,,,,,,,,,,,,1.792181,,,,,,,,,,,,,,,ca785698-e8f3-4451-a0a5-bec44b85562b,39,,,"[58.3, 33.7]",3879784,0,,,,,-2.6779451,,Right Foot,,,,"[41.1, 25.1]",,Ground Pass,,19.230185,,,,,Emiliano Moretti,7476.0,,,,,,,1,From Kick Off,Marco Benassi,7149.0,Left Center Midfield,2,Torino,241,['e79ea97a-6338-4c15-85c5-7866d63db42c'],29,,,,,,,,,,,,,,,Torino,241,00:00:29.373,Pass,
,,,,,,,,,,,,,,,,,,1.280776,,,,,,,,,,,,,,,74a7dadd-58c7-4242-867e-9d7353e0db4a,42,,,"[41.8, 23.7]",3879784,0,,,,,-0.9052689,,Left Foot,,,,"[57.5, 3.7]",,Ground Pass,,25.426168,,,,,Cristian Molinaro,7479.0,,,,,,,1,From Kick Off,Emiliano Moretti,7476.0,Left Center Back,2,Torino,241,['d850cfad-ee62-4b60-94ec-2477844d4f70'],31,,,,,,,,,,,,,,,Torino,241,00:00:31.881,Pass,
,,,,,,,,,,,,,,,,,,2.751004,,,,,,,,,,,,,,,c8b3db8b-673d-4994-b0ca-160bc5b27cc5,46,,,"[61.5, 7.4]",3879784,0,,,,,0.48937395,,Right Foot,,,,"[106.0, 31.1]",,High Pass,,50.417656,,,Incomplete,,Andrea Belotti,7471.0,,,,,,,1,From Kick Off,Cristian Molinaro,7479.0,Left Wing Back,2,Torino,241,"['b045bfd8-3c8c-409e-85fb-92e290fbb270', 'ea4309b2-ebcb-4b11-9feb-bdc6496a042e', 'fe4ba984-779d-4110-bed8-4e59fb8e2d01']",35,,,,,,,,,,,,,,,Torino,241,00:00:35.855,Pass,True
,,,,,,,,,,,,,,,,,,2.207008,,,,,,,,,,,,,,,0fce6879-198c-410f-906f-22c915467831,50,,,"[16.3, 53.6]",3879784,0,,,,,-1.2818209,,Keeper Arm,,,,"[24.0, 27.7]",,Ground Pass,,27.020363,,,,,Sebastian De Maio,7176.0,,,,,,,1,From Keeper,Mattia Perin,7148.0,Goalkeeper,3,Genoa,233,['679119b7-6acc-474c-8580-c127bced4026'],40,,,,,,,,,,,,,,,Genoa,233,00:00:40.566,Pass,
