50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,1.199432,,,,,,,,,,,,,82434f23-553b-40bf-9ff5-2e9dc82c89f6,16,,"[85.0, 73.5]",3878551,0,,,,1.1869787,,Right Foot,,,,"[87.1, 78.7]",,Ground Pass,,5.60803,,,,,Mattia De Sciglio,6944.0,,,,,,1,From Throw In,Nigel de Jong,20057.0,Center Defensive Midfield,3,AC Milan,243,['11e8ae9b-7bd6-4e3d-9b07-965478a0cca3'],13,,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:13.815,Pass,
,,,,,,,,,,,,,,,,,1.422381,,,,,,,,,,,,,463f4b5f-4032-41c6-ad62-89a94559b4a9,18,,"[85.6, 78.7]",3878551,0,,,,-2.818109,,Right Foot,,,,"[68.3, 72.9]",,Ground Pass,,18.24637,,,,,Cristian Eduardo Zapata Valencia,6360.0,,,,,,1,From Throw In,Mattia De Sciglio,6944.0,Right Back,3,AC Milan,243,['1ee6588a-a511-4b70-9a23-8498c86b2772'],15,,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:15.014,Pass,
,,,,,,,,,,,,,,,,,2.160401,,,,,,,,,,,,,2502fc2a-5ef5-438b-8739-0579f3fa0814,21,,"[64.6, 71.4]",3878551,0,,,,-2.3342545,,Right Foot,,,,"[49.0, 55.1]",,Ground Pass,,22.562136,,,,,Alessio Romagnoli,7458.0,,,,,,1,From Throw In,Cristian Eduardo Zapata Valencia,6360.0,Right Center Back,3,AC Milan,243,['b311855f-5c68-4763-a83c-ad1fc0c00be5'],17,,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:17.702,Pass,
,,,,,,,,,,,,,,,,,2.736328,,,,,,,,,,,,,cd1f204c-353d-401b-9578-32959efdb4c7,24,,"[47.3, 53.9]",3878551,0,,,,-1.4766445,,Left Foot,,,,"[51.2, 12.6]",,Ground Pass,,41.48373,,,,,Luca Antonelli,8874.0,,True,,,,1,From Throw In,Alessio Romagnoli,7458.0,Left Center Back,3,AC Milan,243,['267ebfdc-1e85-4e74-a0de-c6e112a66956'],20,,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:20.974,Pass,
,,,,,,,,,,,,,,,,,1.223649,,,,,,,,,,,,,a9a967a0-0beb-4d36-a8eb-1b45372d642c,27,,"[60.1, 10.4]",3878551,0,,,,-0.09176608,,Left Foot,,,,"[76.4, 8.9]",,Ground Pass,,16.368874,,,,,Antonio Nocerino,20561.0,,,,,,1,From Throw In,Luca Antonelli,8874.0,Left Back,3,AC Milan,243,['79c90c35-0225-46f7-ba4b-9c1ad6802e47'],25,,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:25.704,Pass,
,,,,,,,,,,,,,,,,,0.85601,,,,,,,,,,,,,d85e8c1d-19b8-42eb-a37f-124e01420a75,34,,"[42.8, 72.4]",3878551,0,,,,0.049958397,,Right Foot,,,,"[48.8, 72.7]",,Ground Pass,,6.0074954,,,,,Manuel Pucciarelli,7054.0,,,,,,1,Regular Play,Marco Zambelli,40250.0,Right Back,4,Empoli,290,"['19a69194-b77d-48e0-a469-ba859f059fac', '3f50e9f6-01a6-4113-ad0d-98a0b1e18cf0']",27,,,,,,,,,,,,,,,,,,,Empoli,290,00:00:27.949,Pass,True
,,,,,,,,,,,,,,,,,0.874326,,,,,,,,,,,,,0a13e648-44d4-4e0f-b353-6a350eada4fb,38,,"[48.6, 75.4]",3878551,0,,,,-2.113986,,Left Foot,,,,"[45.4, 70.1]",,Low Pass,,6.1911225,,,,,Piotr Zieliński,5660.0,,,,,,1,Regular Play,Manuel Pucciarelli,7054.0,Right Center Forward,4,Empoli,290,['39c72228-7c6d-4db6-a457-5f4259ea6d46'],30,,,,,,,,,,,,,,,,,,,Empoli,290,00:00:30.750,Pass,
,,,,,,,,,,,,,,,,,0.858742,,,,,,,,,,,,,739b3eca-fe64-445a-8c1a-cedb7f93ab9e,42,,"[37.3, 71.6]",3878551,0,,,,-1.2068174,,Left Foot,,,,"[41.3, 61.1]",,Ground Pass,,11.236102,,,,,Assane Dioussé El Hadji,3412.0,,,,,,1,Regular Play,Piotr Zieliński,5660.0,Right Center Midfield,4,Empoli,290,['118ba646-8f4b-40b7-aa72-e0a915e908a8'],33,,,,,,,,,,,,,,,,,,,Empoli,290,00:00:33.687,Pass,
,,,,,,,,,,,,,,,,,0.897496,,,,,,,,,,,,,9e430267-084c-4800-a538-bd2c219664f8,45,,"[40.9, 60.7]",3878551,0,,,,0.87872237,,Left Foot,,,,"[50.1, 71.8]",,Ground Pass,,14.417004,,,,,Manuel Pucciarelli,7054.0,,,,,,1,Regular Play,Assane Dioussé El Hadji,3412.0,Center Defensive Midfield,4,Empoli,290,['52dcdac6-ba49-4c87-8915-bf2c90dd4f9f'],34,,,,,,,,,,,,,,,,,,,Empoli,290,00:00:34.700,Pass,
,,,,,,,,,,,,,,,,,0.832654,,,,,,,,,,,,,1731fc91-a12d-4e0b-9435-9ed679903b4d,49,,"[55.5, 73.1]",3878551,0,,,,0.34653887,,Right Foot,,,,"[62.7, 75.7]",,Ground Pass,,7.6550636,,,,,Marco Zambelli,40250.0,,,,,,1,Regular Play,Manuel Pucciarelli,7054.0,Right Center Forward,4,Empoli,290,['a5fdd882-5122-4622-a591-35be81b8079c'],37,,,,,,,,,,,,,,,,,,,Empoli,290,00:00:37.030,Pass,
,,,,,,,,,,,,,,,,,2.330338,,,,,,,,,,,,,f9fe9cd4-06b4-4d5e-bab2-1e73a59622b0,55,,"[56.5, 73.9]",3878551,0,,,,-0.69505244,,Right Foot,,,,"[87.8, 47.8]",,High Pass,,40.754143,,,Incomplete,,Massimo Maccarone,40252.0,,,,,Free Kick,1,From Free Kick,Marco Zambelli,40250.0,Right Back,5,Empoli,290,"['db604a95-52a4-43be-a873-3fd0b6fce4b4', 'fb7a437f-1f9c-4c41-8cec-155329b7e301']",53,,,,,,,,,,,,,,,,,,,Empoli,290,00:00:53.928,Pass,
,,,,,,,,,,,,,,,,,1.566272,,,,,,,,,,,,,fb7a437f-1f9c-4c41-8cec-155329b7e301,57,,"[32.3, 32.3]",3878551,0,,,,-1.4066074,,Head,,,,"[35.1, 15.4]",,High Pass,,17.130383,,,,,Luca Antonelli,8874.0,,,,,Recovery,1,From Free Kick,Cristian Eduardo Zapata Valencia,6360.0,Right Center Back,5,Empoli,290,"['f055ce60-19b9-4fcc-a2be-0a7e1abcc9cd', 'f9fe9cd4-06b4-4d5e-bab2-1e73a59622b0']",56,,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:56.259,Pass,
,,,,,,,,,,,,,,,,,2.909625,,,,,,,,,,,,,722f052e-c7ae-4ee4-a837-0d2277ebe13b,61,,"[30.4, 17.5]",3878551,0,,,,0.29451993,,Left Foot,,,,"[69.3, 29.3]",,High Pass,,40.650337,,,Incomplete,,Luiz Adriano de Souza da Silva,21272.0,,,,,,1,From Free Kick,Luca Antonelli,8874.0,Left Back,5,Empoli,290,"['5f905143-9543-4d2e-a5bf-bf83b1879260', '91dab9d1-dc1f-42e6-8d7c-f7cfcdd25e15', 'dea35758-4031-44db-9c2f-4f1893472226']",58,,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:58.768,Pass,True
,,,,,,,,,,,,,,,,,2.540951,,,,,,,,,,,,,91dab9d1-dc1f-42e6-8d7c-f7cfcdd25e15,63,,"[50.8, 50.8]",3878551,1,,,,-1.6647221,,Head,,,,"[48.2, 23.2]",,High Pass,,27.722193,,,,,Mário Rui Silva Duarte,7151.0,,,,,Recovery,1,From Free Kick,Lorenzo Tonelli,7160.0,Right Center Back,5,Empoli,290,"['6dd39ab0-05fb-4bb3-a295-b27bdf0cfc99', '722f052e-c7ae-4ee4-a837-0d2277ebe13b']",1,,,,,,,,,,,,,,,,,,,Empoli,290,00:01:01.677,Pass,
,,,,,,,,,,,,,,,,,2.092302,,,,,,,,,,,,,ce322831-11bd-4d31-9b89-f1586dd13088,67,,"[48.2, 21.3]",3878551,1,,,,2.4545882,,Left Foot,,,,"[35.4, 31.8]",,Ground Pass,,16.555664,,,,,Federico Barba,17520.0,,,,,,1,From Free Kick,Mário Rui Silva Duarte,7151.0,Left Back,5,Empoli,290,"['6ab955d4-de46-4dd3-a59a-baf3a8155545', 'c3d73ec0-d54b-44ea-a379-1dde8b6cfe40']",4,,,,,,,,,,,,,,,,,,,Empoli,290,00:01:04.401,Pass,True
,,,,,,,,,,,,,,,,,1.639999,,,,,,,,,,,,,b6c323cd-688f-4708-9e2f-91a4e0101d6c,71,,"[33.6, 30.1]",3878551,1,,,,2.9134097,,Left Foot,,,,"[12.5, 35.0]",,Ground Pass,,21.661486,,,,,Łukasz Skorupski,11508.0,,,,,,1,From Free Kick,Federico Barba,17520.0,Left Center Back,5,Empoli,290,"['12eb78a6-d452-4391-8144-130a24ec1570', '9711167e-d829-461c-a7e4-f7fae4d6e7c4']",7,,,,,,,,,,,,,,,,,,,Empoli,290,00:01:07.134,Pass,True
,,,,,,,,,,,,,,,,,3.079189,,,,,,,,,,,,,e17c2d26-7ad3-4883-9e64-1fa9cb67dd70,74,,"[12.0, 34.8]",3878551,1,,,,-0.7035707,,Right Foot,,,,"[52.9, 0.1]",,High Pass,,53.63674,,,Out,,Massimo Maccarone,40252.0,,,,,,1,From Free Kick,Łukasz Skorupski,11508.0,Goalkeeper,5,Empoli,290,['4cf6478f-d2e8-49a3-9614-6518915b5d55'],8,,,,,,,,,,,,,,,,,,,Empoli,290,00:01:08.862,Pass,
