50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_redirect,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,3.818968,,,,,,,,,,,,,bfcc4b25-c3cf-4652-ba82-13a175113efc,16,,"[68.5, 80.0]",3879836,0,,,,-2.6701832,,,,,"[37.7, 64.3]",Low Pass,,34.570652,,,,Alex Rodrigo Dias da Costa,40945.0,,,,Throw-in,1,From Throw In,Ignazio Abate,7463.0,Right Back,3,AC Milan,243,['34680111-26ff-4841-bd7a-06e744d5fc2c'],14,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:14.965,Pass,
,,,,,,,,,,,,,,,,,,2.450988,,,,,,,,,,,,,073e1710-7ec8-4e11-ad1e-e7d1d1756c37,19,,"[37.7, 64.3]",3879836,0,,,,-1.7182335,,Left Foot,,,"[33.2, 34.0]",Ground Pass,,30.632336,,,,Alessio Romagnoli,7458.0,,,,,1,From Throw In,Alex Rodrigo Dias da Costa,40945.0,Right Center Back,3,AC Milan,243,['50760155-e269-4b9c-8a1d-36a682de01ce'],18,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:18.805,Pass,
,,,,,,,,,,,,,,,,,,1.401889,,,,,,,,,,,,,38305ab6-cc59-4c8a-b20f-e3f967fe97c5,22,,"[49.1, 26.5]",3879836,0,,,,-1.2612776,,Right Foot,,,"[55.4, 6.8]",Ground Pass,,20.682842,,,,Luca Antonelli,8874.0,,,,,1,From Throw In,Alessio Romagnoli,7458.0,Left Center Back,3,AC Milan,243,['a2f985fa-8239-4961-ace3-c507fbb57ece'],24,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:24.988,Pass,
,,,,,,,,,,,,,,,,,,1.70636,,,,,,,,,,,,,181451c4-e55c-494c-88fa-dd593ea8752c,25,,"[55.4, 6.8]",3879836,0,,,,2.2597208,,Left Foot,,,"[40.0, 25.5]",Ground Pass,,24.224987,,,,Alessio Romagnoli,7458.0,,,,,1,From Throw In,Luca Antonelli,8874.0,Left Back,3,AC Milan,243,['894a1105-d112-4e06-af79-9af8d59d2206'],27,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:27.152,Pass,
,,,,,,,,,,,,,,,,,,2.305279,,,,,,,,,,,,,e850dfc3-c0cb-45e8-b165-53af667b7598,28,,"[39.8, 27.4]",3879836,0,,,,1.6864074,,Left Foot,,,"[36.2, 58.4]",Ground Pass,,31.208332,,,,Alex Rodrigo Dias da Costa,40945.0,,,,,1,From Throw In,Alessio Romagnoli,7458.0,Left Center Back,3,AC Milan,243,['0232f452-a0d4-4a79-8c43-9ee3c3956b75'],29,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:29.755,Pass,
,,,,,,,,,,,,,,,,,,1.409926,,,,,,,,,,,,,883c62c0-303b-4a43-90df-c22a380ff7a0,31,,"[35.9, 57.4]",3879836,0,,,,0.83414,,Right Foot,,,"[51.5, 74.6]",Ground Pass,,23.22068,,,,Ignazio Abate,7463.0,,,,,1,From Throw In,Alex Rodrigo Dias da Costa,40945.0,Right Center Back,3,AC Milan,243,['12bec52a-e126-4825-9bfe-c255f8a642e6'],32,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:32.884,Pass,
,,,,,,,,,,,,,,,,,,1.102657,,,,,,,,,,,,,29063b0d-9948-498a-9fb2-2df097888fa1,34,,"[51.5, 74.9]",3879836,0,,,,-0.52165866,,Right Foot,,,"[72.9, 62.6]",Ground Pass,,24.682991,,,,Mario Barwuah Balotelli,3371.0,,,,,1,From Throw In,Ignazio Abate,7463.0,Right Back,3,AC Milan,243,['010d3337-f706-4dc2-b424-eaa7868ea461'],35,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:35.826,Pass,
,,,,,,,,,,,,,,,,,,1.740945,,,,,,,,,,,,,b796adc3-0202-4f1b-8581-80f02e6b801b,38,,"[72.3, 77.3]",3879836,0,,,,-2.55359,,Right Foot,,,"[59.7, 68.9]",Ground Pass,,15.143315,,,,Ignazio Abate,7463.0,,,,,1,From Throw In,Mario Barwuah Balotelli,3371.0,Left Center Forward,3,AC Milan,243,"['8f3cf235-056f-4bcb-bae2-c01c02d213f2', 'd7861be1-2b54-4345-94a8-c33f8cc90357']",39,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:39.305,Pass,True
,,,,,,,,,,,,,,,,,,3.633637,,,,,,,,,,,,,69585d69-0f5b-4211-853a-433968cae14f,41,,"[59.7, 68.9]",3879836,0,,,,-1.6460923,,Right Foot,,,"[55.4, 11.9]",High Pass,,57.161964,,,,Giacomo Bonaventura,7026.0,,True,,,1,From Throw In,Ignazio Abate,7463.0,Right Back,3,AC Milan,243,['9a0b071a-0d55-4949-9c9b-5456030929dc'],41,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:41.557,Pass,
,,,,,,,,,,,,,,,,,,1.074306,,,,,,,,,,,,,ab74f538-bef6-4268-aecb-99a8cea7b2c5,44,,"[60.2, 11.3]",3879836,0,,,,0.1309823,,Right Foot,,,"[76.9, 13.5]",Ground Pass,,16.844286,,,,Carlos Arturo Bacca Ahumada,5688.0,,,,,1,From Throw In,Giacomo Bonaventura,7026.0,Left Center Midfield,3,AC Milan,243,['38801d41-9c21-4a68-8d40-880876dc5184'],46,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:46.687,Pass,
,,,,,,,,,,,,,,,,,,1.301976,,,,,,,,,,,,,9c679b42-4987-49b0-bf47-bfaaf96e6ef9,47,,"[76.9, 13.7]",3879836,0,,,,-2.6412385,,Right Foot,,,"[63.0, 6.1]",Low Pass,,15.842032,,,,Giacomo Bonaventura,7026.0,,,,,1,From Throw In,Carlos Arturo Bacca Ahumada,5688.0,Right Center Forward,3,AC Milan,243,['7ac182c7-a888-472c-9dba-77fc408d1796'],47,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:47.802,Pass,
,,,,,,,,,,,,,,,,,,0.870436,,,,,,,,,,,,,b3198217-f7d7-4ed7-9ab6-9b443a17d325,50,,"[63.0, 6.1]",3879836,0,,,,1.0885029,,Right Foot,,,"[71.9, 23.1]",Ground Pass,,19.188799,,,,Carlos Arturo Bacca Ahumada,5688.0,,,,,1,From Throw In,Giacomo Bonaventura,7026.0,Left Center Midfield,3,AC Milan,243,['6e8ac6f8-7a5e-41ce-9bf3-1dae06f9fefa'],49,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:49.672,Pass,
,,,,,,,,,,,,,,,,,,1.856147,,,,,,,,,,,,,a7d0c8af-3147-4bec-a190-6834f94cc3ed,57,,"[96.8, 22.4]",3879836,0,,,,-0.67474097,,Right Foot,,,"[107.3, 14.0]",Ground Pass,,13.446561,,,,Luca Antonelli,8874.0,,,,,1,From Throw In,Carlos Arturo Bacca Ahumada,5688.0,Right Center Forward,3,AC Milan,243,['d1e5eed8-a094-49d3-a09b-8a8050e343ae'],56,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:56.123,Pass,
,,,,,,,,,,,,,,,,,,1.273364,,,,,,,,,,,,,eb16dc59-41fe-47aa-b5b9-91b312a23e98,59,,"[107.3, 13.7]",3879836,0,,,,1.6532859,,Left Foot,True,,"[105.2, 39.1]",High Pass,,25.486664,,Incomplete,,,,,,,,1,From Throw In,Luca Antonelli,8874.0,Left Back,3,AC Milan,243,['f82d8778-2532-4eb3-a470-89bed545d9ef'],57,,,,,,,,,,,,,,,,,,AC Milan,243,00:00:57.979,Pass,
,,,,,,,,,,,,,,,,,,1.482039,,,,,,,,,,,,,dcd0a621-6511-4636-b441-da6249440dfa,61,,"[29.2, 44.4]",3879836,1,,,,0.07982998,,Head,,,"[41.7, 45.4]",Low Pass,,12.539936,,,,Jerry Uche Mbakogu,32608.0,,,,Recovery,1,Regular Play,Jonathan de Guzmán,8675.0,Center Attacking Midfield,4,Carpi,1683,['882cd239-fe48-490f-94db-dbc5fefd4b4f'],0,,,,,,,,,,,,,,,,,,Carpi,1683,00:01:00.514,Pass,
