50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0823ca35-33ef-4d53-8b01-426645aeeeaa,1,,,3879700,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 23}, {'player': {'id': 8102, 'name': 'Edoardo Goldaniga'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 6}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 12}, {'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 7}, {'player': {'id': 30735, 'name': 'Mato Jajalo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 5605, 'name': 'Oscar Hiljemark'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 10}, {'player': {'id': 40349, 'name': 'Ivaylo Chochev'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 18}, {'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 20}, {'player': {'id': 8552, 'name': 'Robin Quaison'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 21}, {'player': {'id': 38389, 'name': 'Alberto Gilardino'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 11}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,6a023fa9-b4b5-43ef-8a30-d99477891715,2,,,3879700,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,,0,,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 6938, 'name': 'Felipe Dias da Silva dal Belo'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 30}, {'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 89}, {'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 21}, {'player': {'id': 40367, 'name': 'Francesco Lodi'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 7805, 'name': 'Stipe Perica'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 18}, {'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 77}]}",Udinese,230,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7e9f115e-299e-4446-966f-660c2726753e,3,,,3879700,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['e8fe9d69-19d1-4793-9e60-a3764209b2a5'],0,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e8fe9d69-19d1-4793-9e60-a3764209b2a5,4,,,3879700,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Palermo,2256,['7e9f115e-299e-4446-966f-660c2726753e'],0,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,83dd09a2-c4dd-432a-a1e3-dba599263fa6,1787,,,3879700,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Palermo,2256,['69ff2e53-2c0c-49c2-b91a-391e12a8a951'],0,,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,69ff2e53-2c0c-49c2-b91a-391e12a8a951,1788,,,3879700,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,97,Palermo,2256,['83dd09a2-c4dd-432a-a1e3-dba599263fa6'],0,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.466595,,,,,,,,,,,,,dc8d4dac-342c-41d8-aa0f-6de61b5c9fdb,5,,"[61.0, 40.1]",3879700,0,,,,,2.3864882,,Right Foot,,"[59.3, 41.7]",,Ground Pass,,2.3345234,,,Franco Damián Vázquez,6719.0,,,,,Kick Off,1,From Kick Off,Alberto Gilardino,38389.0,Center Forward,2,Palermo,2256,['e04c19f3-08df-4775-80e3-199e07f20be1'],0,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.467,Pass,
,,,,,,,,,,,,,,,,,1.215887,,,,,,,,,,,,,5480634c-71e4-445a-9d78-953d376da6f1,7,,"[59.7, 42.9]",3879700,0,,,,,-3.1219873,,Right Foot,,"[44.4, 42.6]",,Ground Pass,,15.302941,,,Mato Jajalo,30735.0,,,,,,1,From Kick Off,Franco Damián Vázquez,6719.0,Right Wing,2,Palermo,2256,['e7bd1cd8-7042-48dc-a03f-ce9f8af24417'],0,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.934,Pass,
,,,,,,,,,,,,,,,,,1.546444,,,,,,,,,,,,,b3db590f-3144-4329-ab05-62147750c6d7,10,,"[44.4, 42.9]",3879700,0,,,,,-1.7940642,,Right Foot,,"[39.7, 22.2]",,Ground Pass,,21.22687,,,Achraf Lazaar,10032.0,,,,,,1,From Kick Off,Mato Jajalo,30735.0,Center Defensive Midfield,2,Palermo,2256,['ea4677c2-4372-477d-ada8-b68229d2e450'],3,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:03.135,Pass,
,,,,,,,,,,,,,,,,,2.229394,,,,,,,,,,,,,a7a7ae1e-723f-4dd3-b9cb-d89bbca3cc51,13,,"[43.9, 14.7]",3879700,0,,,,,0.15758654,,Left Foot,,"[80.4, 20.5]",,High Pass,,36.95795,,,Alberto Gilardino,38389.0,,,,,,1,From Kick Off,Achraf Lazaar,10032.0,Left Back,2,Palermo,2256,['94546be2-4b49-4f60-b5ed-ada4221eb698'],6,,,,,,,,,,,,,,,,,,Palermo,2256,00:00:06.235,Pass,
