50_50,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_to_post,goalkeeper_technique,goalkeeper_type,half_start_late_video_start,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_height,pass_inswinging,pass_length,pass_miscommunication,pass_outcome,pass_recipient,pass_recipient_id,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_to_post,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,d032e532-fdfe-4c08-aabc-7bda60a695da,1,,,,3879809,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,,"{'formation': 433, 'lineup': [{'player': {'id': 7132, 'name': 'Andrea Consigli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 47}, {'player': {'id': 5461, 'name': 'Šime Vrsaljko'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 11}, {'player': {'id': 8848, 'name': 'Paolo Cannavaro'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 28}, {'player': {'id': 7119, 'name': 'Francesco Acerbi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 7118, 'name': 'Federico Peluso'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 13}, {'player': {'id': 7127, 'name': 'Francesco Magnanelli'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 4}, {'player': {'id': 10030, 'name': 'Davide Biondini'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 7698, 'name': 'Joseph Alfred Duncan'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 32}, {'player': {'id': 7131, 'name': 'Domenico Berardi'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 25}, {'player': {'id': 6859, 'name': 'Nicola Sansone'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 17}, {'player': {'id': 7457, 'name': 'Gregoire Defrel'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 92}]}",Sassuolo,232,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,3546223d-47d9-4657-a4ab-30ed8e2259fd,2,,,,3879809,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 7148, 'name': 'Mattia Perin'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 7176, 'name': 'Sebastian De Maio'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 4}, {'player': {'id': 6894, 'name': 'Ezequiel Muñoz'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 24}, {'player': {'id': 40457, 'name': 'Giovanni Marchese'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 15}, {'player': {'id': 34355, 'name': 'Riccardo Fiamozzi'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 29}, {'player': {'id': 3416, 'name': 'Gabriel Moisés Antunes da Silva'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 34}, {'player': {'id': 7475, 'name': 'Tomás Eduardo Rincón Hernández'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 88}, {'player': {'id': 7461, 'name': 'Luca Rigoni'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 30}, {'player': {'id': 5554, 'name': 'Blerim Džemaili'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 31}, {'player': {'id': 7022, 'name': 'Jesús Joaquín Fernández Sáez de la Torre'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 17}, {'player': {'id': 7852, 'name': 'Tim Matavž'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 42}]}",Genoa,233,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,,True,1b57f930-e11d-417b-9805-eeb1cc523512,3,,,,3879809,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['2c955130-0c43-45c8-8c1b-ee1088a7cf4b'],0,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,True,2c955130-0c43-45c8-8c1b-ee1088a7cf4b,4,,,,3879809,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Sassuolo,232,['1b57f930-e11d-417b-9805-eeb1cc523512'],0,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,5c35624c-c033-4519-b92d-28c121c6ee9a,1868,,,,3879809,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Sassuolo,232,['27c2b2e0-fcbe-48b8-9cb5-a10505c3e984'],0,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,27c2b2e0-fcbe-48b8-9cb5-a10505c3e984,1869,,,,3879809,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,99,Sassuolo,232,['5c35624c-c033-4519-b92d-28c121c6ee9a'],0,,,,,,,,,,,,,,,,,Sassuolo,232,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.236195,,,,,,,,,,,,,,,,86bf6bae-3c74-41b7-bcf8-8d41977d724b,5,,,"[61.0, 40.1]",3879809,0,,True,,,2.9391081,,Right Foot,,,,"[45.9, 43.2]",Ground Pass,,15.4149275,,,Tomás Eduardo Rincón Hernández,7475.0,,,,,,Kick Off,1,From Kick Off,Tim Matavž,7852.0,Left Center Forward,2,Genoa,233,['2d909493-0a37-4247-9c96-fb7a75f4c37e'],0,,,,,,,,,,,,,,,,,Genoa,233,00:00:00.504,Pass,
,,,,,,,,,,,,,,,,,1.661216,,,,,,,,,,,,,,,,5cce1bcb-90e9-4359-8e68-357627824ca8,7,,,"[47.6, 44.9]",3879809,0,,,,,2.1385152,,Left Foot,,,,"[35.1, 64.5]",Ground Pass,,23.24672,,,Sebastian De Maio,7176.0,,,,,,,1,From Kick Off,Tomás Eduardo Rincón Hernández,7475.0,Center Defensive Midfield,2,Genoa,233,['937a9aae-6812-4e54-a795-2f0a742b9754'],1,,,,,,,,,,,,,,,,,Genoa,233,00:00:01.753,Pass,
,,,,,,,,,,,,,,,,,1.203854,,,,,,,,,,,,,,,,37297543-d07d-4df6-939a-eb5fb3cea0ed,10,,,"[34.4, 66.5]",3879809,0,,,,,-2.0690212,,Right Foot,,,,"[27.6, 54.0]",Ground Pass,,14.229898,,,Ezequiel Muñoz,6894.0,,,,,,,1,From Kick Off,Sebastian De Maio,7176.0,Right Center Back,2,Genoa,233,['e268f11b-973e-4ed1-800f-4f0862e99c37'],3,,,,,,,,,,,,,,,,,Genoa,233,00:00:03.612,Pass,
,,,,,,,,,,,,,,,,,1.642619,,,,,,,,,,,,,,,,ae3f86ef-91d9-4349-a8b6-5e8c3964aa40,13,,,"[29.9, 48.7]",3879809,0,,,,,-1.546801,,Right Foot,,,,"[30.5, 23.7]",Ground Pass,,25.007198,,,Giovanni Marchese,40457.0,,,,,,,1,From Kick Off,Ezequiel Muñoz,6894.0,Center Back,2,Genoa,233,['1d27b6ea-4334-4cbf-a7d5-4dd7dbe4af5a'],6,,,,,,,,,,,,,,,,,Genoa,233,00:00:06.228,Pass,
