50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.897219,,,,,,,,,,,,0b5b07ed-c017-48d9-b3bf-b9c97769e8e9,3038,,"[49.3, 58.0]",3879867,77,,,,,-0.9563586,,Right Foot,,,,"[86.2, 5.7]",,High Pass,,64.007034,,,Danilo Soddimo,11608.0,,True,,,,2,From Keeper,Paolo Sammarco,23349.0,Right Center Midfield,163,Frosinone,291,['356038f3-53c8-4fa4-bb8a-28c5e69b2252'],45,,,,,,,,,,,,,,,,Frosinone,291,00:32:45.520,Pass,
,,,,,,,,,,,,,,,,,,1.83807,,,,,,,,,,,,cb5b594d-4d80-4245-b4de-37007f0e9e37,3043,,"[93.5, 0.1]",3879867,77,,,,,0.9447972,,,,,,"[108.9, 21.4]",,High Pass,,26.284025,Incomplete,,Danilo Soddimo,11608.0,,,,,Throw-in,2,From Throw In,Roberto Crivello,296873.0,Left Back,164,Frosinone,291,"['0e18b639-497c-4e12-98be-dea57bf8ac22', '9dd30f18-0318-46ea-bdc7-10924b1acaef']",59,,,,,,,,,,,,,,,,Frosinone,291,00:32:59.149,Pass,
,,,,,,,,,,,,,,,,,,1.413592,,,,,,,,,,,,d144d0c3-9bc9-40be-8277-ca0699bd99a1,3047,,"[19.6, 44.1]",3879867,78,,,,True,-2.894331,,,,,,"[9.3, 41.5]",,Low Pass,,10.623088,Incomplete,,José Manuel Reina Páez,7028.0,,,,,Recovery,2,From Throw In,Marek Hamšík,7025.0,Left Center Midfield,164,Frosinone,291,"['116ea86d-88eb-429a-a6ff-5b8d227181f5', '41906109-f366-4734-ab22-69dfc30a4e1a', 'e7fdc3ce-1bb0-49c3-a100-03b42043880b']",3,,,,,,,,,,,,,,,,Napoli,227,00:33:03.325,Pass,True
,,,,,,,,,,,,,,,,,,3.547035,,,,,,,,,,,,4fe9bd8b-0d12-4e8f-90b9-8b224d4596d9,3057,,"[7.0, 36.1]",3879867,78,,True,,,-0.32175055,,Right Foot,,,,"[23.5, 30.6]",,Ground Pass,,17.392527,,,Jorge Luiz Frello Filho,7024.0,,,,,Goal Kick,2,From Goal Kick,José Manuel Reina Páez,7028.0,Goalkeeper,165,Napoli,227,['416c333e-8b8b-4366-a538-52d12a436b36'],18,,,,,,,,,,,,,,,,Napoli,227,00:33:18.773,Pass,
,,,,,,,,,,,,,,,,,,0.921345,,,,,,,,,,,,5d4bae9b-c938-4e60-a1f6-057d858a0895,3059,,"[64.3, 42.5]",3879867,78,,,,,1.1071488,,Right Foot,,,,"[71.4, 56.7]",,Ground Pass,,15.876082,,,Gonzalo Gerardo Higuaín,5497.0,,,,,,2,From Goal Kick,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,165,Napoli,227,['eae018ab-23e1-49d2-b7a8-1e569f1c2f38'],24,,,,,,,,,,,,,,,,Napoli,227,00:33:24.723,Pass,
,,,,,,,,,,,,,,,,,,1.772372,,,,,,,,,,,,38874c9d-0f70-4776-8fa5-252c51a8d5aa,3061,,"[71.4, 56.7]",3879867,78,,,,,1.7070438,,Right Foot,,,,"[69.7, 69.1]",,Ground Pass,,12.515989,,,Allan Marques Loureiro,7035.0,,,,,,2,From Goal Kick,Gonzalo Gerardo Higuaín,5497.0,Center Forward,165,Napoli,227,['eab2c5e6-d6a8-4396-bb84-1cf300cfebd4'],25,,,,,,,,,,,,,,,,Napoli,227,00:33:25.645,Pass,
,,,,,,,,,,,,,,,,,,0.69148,,,,,,,,,,,,c04b77c3-aabd-4675-9c20-ebe55f1ed717,3065,,"[69.7, 69.1]",3879867,78,,,,,0.348771,,Right Foot,,,,"[77.4, 71.9]",,Ground Pass,,8.19329,,,Lorenzo Insigne,7037.0,,,,,,2,From Goal Kick,Allan Marques Loureiro,7035.0,Right Center Midfield,165,Napoli,227,['1397ff74-73b1-44d6-90a1-cbd61e5109d7'],27,,,,,,,,,,,,,,,,Napoli,227,00:33:27.469,Pass,
,,,,,,,,,,,,,,,,,,1.111793,,,,,,,,,,,,f1f3feb4-7b18-4d26-8f1c-457a56a0a545,3068,,"[77.4, 71.9]",3879867,78,,,,,-2.4301336,,Right Foot,,,,"[68.7, 64.4]",,Ground Pass,,11.486514,,,Jorge Luiz Frello Filho,7024.0,,,,,,2,From Goal Kick,Lorenzo Insigne,7037.0,Right Wing,165,Napoli,227,['70104c6b-e111-416b-a8ba-56fc8351e639'],29,,,,,,,,,,,,,,,,Napoli,227,00:33:29.992,Pass,
,,,,,,,,,,,,,,,,,,2.330947,,,,,,,,,,,,6a47d201-e225-4ef9-9508-33dd9a11629c,3071,,"[67.0, 64.4]",3879867,78,,,,,-1.3811827,,Right Foot,,,,"[70.8, 44.6]",,Ground Pass,,20.161348,,,Marek Hamšík,7025.0,,,,,,2,From Goal Kick,Jorge Luiz Frello Filho,7024.0,Center Defensive Midfield,165,Napoli,227,['12167d89-b2e7-408f-a470-a69d8aee2d99'],32,,,,,,,,,,,,,,,,Napoli,227,00:33:32.299,Pass,
,,,,,,,,,,,,,,,,,,3.461608,,,,,,,,,,,,ee400faa-eb53-453b-9ae0-228d477d4e6b,3074,,"[81.4, 46.7]",3879867,78,,,,,0.7853982,,Left Foot,,,,"[114.7, 80.0]",,High Pass,,47.09331,Out,,Allan Marques Loureiro,7035.0,,,,,,2,From Goal Kick,Marek Hamšík,7025.0,Left Center Midfield,165,Napoli,227,['835e839a-9bf0-48cb-8510-2ecd6d12c26b'],38,,,,,,,,,,,,,,,,Napoli,227,00:33:38.178,Pass,
