50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,block_save_block,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,f7b54ebb-c21c-4de1-a858-e6a2d4cb4fca,1,,,3878557,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 8852, 'name': 'Thomas Heurtaux'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 75}, {'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 46670, 'name': 'Iván Rodrigo Piris Leguizamón'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 89}, {'player': {'id': 25116, 'name': 'Edenílson Andrade dos Santos'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 21}, {'player': {'id': 8191, 'name': 'Ali Adnan Kadhim Al Tameemi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 53}, {'player': {'id': 6743, 'name': 'Manuel Rolando Iturra Urrutia'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 16}, {'player': {'id': 15161, 'name': 'Alexander Merkel'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 52}, {'player': {'id': 5204, 'name': 'Bruno Miguel Borges Fernandes'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 8}, {'player': {'id': 7017, 'name': 'Duván Esteban Zapata Banguera'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 77}]}",Udinese,230,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,a8864d61-ab31-45e0-bcc9-79b0581bed53,2,,,3878557,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,,0,,,,,,,,,,,,,,,,"{'formation': 3511, 'lineup': [{'player': {'id': 7055, 'name': 'Stefano Sorrentino'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 70}, {'player': {'id': 24061, 'name': 'Aljaž Struna'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 23}, {'player': {'id': 5584, 'name': 'Giancarlo González Castro'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 12}, {'player': {'id': 23329, 'name': 'Abdelhamid El Kaoutari'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 34}, {'player': {'id': 30769, 'name': 'Andrea Rispoli'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 3}, {'player': {'id': 10032, 'name': 'Achraf Lazaar'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 7}, {'player': {'id': 30735, 'name': 'Mato Jajalo'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 28}, {'player': {'id': 7461, 'name': 'Luca Rigoni'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 27}, {'player': {'id': 8552, 'name': 'Robin Quaison'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 21}, {'player': {'id': 6719, 'name': 'Franco Damián Vázquez'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 20}, {'player': {'id': 30512, 'name': 'Aleksandar Trajkovski'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 8}]}",Palermo,2256,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,49d572c0-204b-4013-bfd9-5e9ca5700ead,3,,,3878557,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,['df5572d5-8ce7-48f4-8282-70976b683cef'],0,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,df5572d5-8ce7-48f4-8282-70976b683cef,4,,,3878557,0,,,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Udinese,230,['49d572c0-204b-4013-bfd9-5e9ca5700ead'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0d8f9d25-3afd-4422-998c-81b440049f34,1835,,,3878557,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Udinese,230,['0a241ae5-d4c0-49ac-aaf4-f2432092046b'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0a241ae5-d4c0-49ac-aaf4-f2432092046b,1836,,,3878557,45,,,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,102,Udinese,230,['0d8f9d25-3afd-4422-998c-81b440049f34'],0,,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,,,1.930715,,,,,,,,,,,,,,e3709750-8c10-4d02-9793-96302000abbc,5,,"[60.0, 40.0]",3878557,0,,,,,3.1373732,,Right Foot,,,,"[36.3, 40.1]",,Ground Pass,,23.70021,,,Giancarlo González Castro,5584.0,,,,,Kick Off,1,From Kick Off,Franco Damián Vázquez,6719.0,Center Attacking Midfield,2,Palermo,2256,['b23a9cf3-f3c9-4da1-ae58-99656e2a96d9'],0,,,,,,,,,,,,,,,,,Palermo,2256,00:00:00.327,Pass,
,,,,,,,,,,,,,,,,,,,3.036408,,,,,,,,,,,,,,a65f40aa-8337-481c-ab1f-fa0a0b75b5d2,8,,"[39.1, 42.0]",3878557,0,,,,,0.4869928,,Right Foot,,,,"[88.2, 68.0]",,High Pass,,55.559067,Incomplete,,Luca Rigoni,7461.0,,,,,,1,From Kick Off,Giancarlo González Castro,5584.0,Center Back,2,Palermo,2256,"['26646322-0f9c-4919-bd80-9936a7483548', '8b027d52-fa35-40e5-af13-3800828b69e9']",3,,,,,,,,,,,,,,,,,Palermo,2256,00:00:03.501,Pass,
,,,,,,,,,,,,,,,,,,,1.578898,,,,,,,,,,,,,,2f115555-ee10-4b9a-89ce-958eecd53f10,12,,"[85.9, 80.0]",3878557,0,,,,,-0.5893431,,,,,,"[103.1, 68.5]",,Low Pass,,20.690336,,,Aleksandar Trajkovski,30512.0,,,,,Throw-in,1,From Throw In,Andrea Rispoli,30769.0,Right Wing Back,3,Palermo,2256,['46e464f4-14d3-4e65-8616-de532a316fdb'],13,,,,,,,,,,,,,,,,,Palermo,2256,00:00:13.112,Pass,
,,,,,,,,,,,,,,,,,,,1.103124,,,,,,,,,,,,,,91cfbc14-5654-4035-8187-3b5ed2531963,17,,"[96.3, 71.8]",3878557,0,,,,,2.7610862,,Left Foot,,,,"[91.8, 73.6]",,Ground Pass,,4.846648,,,Franco Damián Vázquez,6719.0,,,,,,1,From Throw In,Aleksandar Trajkovski,30512.0,Center Forward,3,Palermo,2256,"['79b5dafe-c000-4178-b6e2-29a4fbb75dfc', 'bd961a42-cf3c-4469-bf3a-332756e39762']",16,,,,,,,,,,,,,,,,,Palermo,2256,00:00:16.975,Pass,True
