50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,block_offensive,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_punched_out,goalkeeper_shot_saved_off_target,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_saved_off_target,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,2.081649,,,,,,,,,,,,,,,,,3c57dbbb-df72-4c00-bd1a-fd67e34e14f8,1427,,,"[47.1, 51.9]",3879782,42,,,,True,1.582917,,,,,"[46.9, 68.4]",,High Pass,,16.501211,,Incomplete,,Lorenzo Lollo,30829.0,,,,,Recovery,1,From Throw In,Raffaele Bianco,352172.0,Left Defensive Midfield,94,Carpi,1683,"['7bbc7db2-81a6-48e5-9539-c9ecbbaffc22', '958ce197-a594-4e20-94b6-fd69c0a3431a', 'c894c765-d428-4acb-b50c-82df649fe918', 'fe984fc7-1365-4ea0-b167-ac82406d2086']",44,,,,,,,,,,,,,,,,,,Carpi,1683,00:42:44.638,Pass,True
,,,,,,,,,,,,,,,,,,1.883192,,,,,,,,,,,,,,,,,7bab3bfb-3378-4027-9709-9c1f6a20337c,1442,,,"[38.1, 66.7]",3879782,42,,,,,0.3529904,,Left Foot,,,"[51.4, 71.6]",,Low Pass,,14.17392,,Incomplete,,Lorenzo Lollo,30829.0,,,,,,1,From Throw In,Lorenzo Pasciuti,387472.0,Right Midfield,94,Carpi,1683,"['1bff4da8-02e1-49ad-9f9b-26cee4d033f3', '2f0c2cf2-7c7b-4f50-8c05-c512271034d2']",52,,,,,,,,,,,,,,,,,,Carpi,1683,00:42:52.929,Pass,
,,,,,,,,,,,,,,,,,,0.727616,,,,,,,,,,,,,,,,,1bff4da8-02e1-49ad-9f9b-26cee4d033f3,1445,,,"[68.7, 8.5]",3879782,42,,,,,0.8960554,,Left Foot,,,"[74.7, 16.0]",,Ground Pass,,9.604687,,,,Alessandro Frara,386512.0,,,,,Recovery,1,From Throw In,Daniel Pavlovic,8661.0,Left Back,94,Carpi,1683,"['7bab3bfb-3378-4027-9709-9c1f6a20337c', 'f51be944-5b8f-4cfb-b15d-c13aab461a51']",54,,,,,,,,,,,,,,,,,,Frosinone,291,00:42:54.813,Pass,
,,,,,,,,,,,,,,,,,,3.518924,,,,,,,,,,,,,,,,,dafd1449-71be-4281-bc0d-81c99494dcef,1454,,,"[51.6, 70.1]",3879782,43,,,,,-0.47331992,,Right Foot,,,"[105.1, 42.7]",,High Pass,,60.10832,,Incomplete,,,,,,,,,1,Other,Isaac Cofie,7460.0,Right Defensive Midfield,96,Carpi,1683,['e7352063-b10c-4d0e-bb7e-b8c92df156ed'],47,,,,,,,,,,,,,,,,,,Carpi,1683,00:43:47.045,Pass,
,,,,,,,,,,,,,,,,,,1.888651,,,,,,,,,,,,,,,,,7bc4e156-398b-470b-93b8-0fbd48628d48,1457,,,"[19.3, 39.1]",3879782,43,,,,,-1.1617262,,Right Foot,,,"[26.8, 21.8]",,Ground Pass,,18.855768,,,,Vasyl Pryyma,398941.0,,,,,,1,Regular Play,Nicola Leali,32037.0,Goalkeeper,97,Frosinone,291,['1fd99557-7e24-4420-982c-fbbff2af7fbf'],53,,,,,,,,,,,,,,,,,,Frosinone,291,00:43:53.426,Pass,
,,,,,,,,,,,,,,,,,,1.611814,,,,,,,,,,,,,,,,,87ed2c11-0c57-4aa1-ae72-c74ef3f76b1f,1460,,,"[30.2, 17.7]",3879782,43,,,,,-0.6306813,,Right Foot,,,"[42.8, 8.5]",,Ground Pass,,15.601282,,,,Daniel Pavlovic,8661.0,,,,,,1,Regular Play,Vasyl Pryyma,398941.0,Left Center Back,97,Frosinone,291,['3dde5b64-cd05-4356-86e8-d05a6e4ea94c'],56,,,,,,,,,,,,,,,,,,Frosinone,291,00:43:56.073,Pass,
,,,,,,,,,,,,,,,,,,2.751674,,,,,,,,,,,,,,,,,5c1b8a6d-9837-446f-a781-1722524b6dc0,1463,,,"[46.2, 10.2]",3879782,43,,,,,0.41388032,,Right Foot,,,"[56.9, 14.9]",,High Pass,,11.686745,,Unknown,,,,,,,,,1,Regular Play,Daniel Pavlovic,8661.0,Left Back,97,Frosinone,291,,57,,,,,,,,,,,,,,,,,,Frosinone,291,00:43:57.760,Pass,
,,,,,,,,,,,,,,,,,,2.593212,,,,,,,,,,,,,,,,,e617c65e-8425-4b07-9d30-faf94b24c2d0,1467,,,"[60.4, 13.6]",3879782,44,,,,,0.9106471,,Left Foot,,,"[96.5, 60.1]",,High Pass,,58.868156,,,,Daniel Ciofani,13613.0,,True,,,Free Kick,1,From Free Kick,Daniel Pavlovic,8661.0,Left Back,98,Frosinone,291,['944a5cec-e517-4ea9-b8f0-3309e48f1ce3'],59,,,,,,,,,,,,,,,,,,Frosinone,291,00:44:59.945,Pass,
,,,,,,,,,,,,,,,,,,1.02986,,,,,,,,,,,,,,,,,54abeaba-759f-40a5-9c43-ed931331fadc,1469,,,"[97.4, 60.3]",3879782,45,,,,,-0.6383198,,Head,,,"[109.8, 51.1]",,High Pass,,15.4402075,,Incomplete,,Arlind Afrim Ajeti,8291.0,,,,,,1,From Free Kick,Daniel Ciofani,13613.0,Center Forward,98,Frosinone,291,"['3c3208fe-11b7-41b2-abb9-32cc7e00b633', 'dd540d73-8372-40bf-bdc6-18dc345563f5']",2,,,,,,,,,,,,,,,,,,Frosinone,291,00:45:02.539,Pass,
,,,,,,,,,,,,,,,,,,5.094507,,,,,,,,,,,,,,,,,fab91fb9-13f6-4dd9-8889-8eb79ae26333,1472,,,"[17.2, 16.4]",3879782,45,,,,,-0.3949727,,Right Foot,,,"[56.3, 0.1]",,High Pass,,42.361538,,Out,,Antonio Di Gaudio,11502.0,,,,,Recovery,1,From Free Kick,Gaetano Letizia,7114.0,Left Back,98,Frosinone,291,['788db068-245d-4a12-8d12-3ef8d893ad2f'],6,,,,,,,,,,,,,,,,,,Carpi,1683,00:45:06.635,Pass,
