50_50,bad_behaviour_card,ball_receipt_outcome,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_offensive,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,foul_won_penalty,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_one_on_one,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,3f5a5f74-ccd4-49d6-b8dc-f8e98d97b6c2,1,,,3879801,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7001, 'name': 'Samir Handanovič'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 6999, 'name': 'Davide Santon'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 21}, {'player': {'id': 5551, 'name': 'João Miranda de Souza Filho'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 25}, {'player': {'id': 6969, 'name': 'Juan Guilherme Nunes Jesus'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 5}, {'player': {'id': 5690, 'name': 'Yuto Nagatomo'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 55}, {'player': {'id': 16453, 'name': 'Gary Alexis Medel Soto'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 17}, {'player': {'id': 5469, 'name': 'Marcelo Brozović'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 77}, {'player': {'id': 5587, 'name': 'Adem Ljajić'}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 22}, {'player': {'id': 7165, 'name': 'Rodrigo Sebastián Palacio'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 8}, {'player': {'id': 5474, 'name': 'Ivan Perišić'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 44}, {'player': {'id': 6987, 'name': 'Mauro Emanuel Icardi Rivero'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 9}]}",Inter Milan,238,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,cf8105cb-2e13-4ac8-b3aa-06caf03bbca1,2,,,3879801,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,,0,,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 34881, 'name': 'Daniele Padelli'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 1}, {'player': {'id': 40427, 'name': 'Cesare Bovo'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 4709, 'name': 'Pontus Jansson'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 18}, {'player': {'id': 7476, 'name': 'Emiliano Moretti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 24}, {'player': {'id': 6965, 'name': 'Bruno da Silva Peres'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 33}, {'player': {'id': 7479, 'name': 'Cristian Molinaro'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 3}, {'player': {'id': 40430, 'name': 'Giuseppe Vives'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 20}, {'player': {'id': 7149, 'name': 'Marco Benassi'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 15}, {'player': {'id': 7470, 'name': 'Joel Chukwuma Obi'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 4}, {'player': {'id': 7471, 'name': 'Andrea Belotti'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 8193, 'name': 'Maximiliano Gastón López'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 11}]}",Torino,241,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,7f1a48cd-fccf-4669-9cfa-a9e1462bb40e,3,,,3879801,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['dcc1be4b-7dc7-44b8-8e85-d71ce106de2e'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,dcc1be4b-7dc7-44b8-8e85-d71ce106de2e,4,,,3879801,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Inter Milan,238,['7f1a48cd-fccf-4669-9cfa-a9e1462bb40e'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,d46bd149-e4da-499f-94c0-7bf2bc611528,1946,,,3879801,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Inter Milan,238,['c1a65092-ee9c-4db8-8f2d-e66db6980654'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,c1a65092-ee9c-4db8-8f2d-e66db6980654,1947,,,3879801,45,,,,,,,,,,,,,,,,,,,,,,,2,Regular Play,,,,77,Inter Milan,238,['d46bd149-e4da-499f-94c0-7bf2bc611528'],0,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,,,0.654146,,,,,,,,,,,,,,,94d4d5e2-ee81-4559-8f3a-ba11b75ad2eb,5,,"[61.0, 40.1]",3879801,0,True,,,2.2974386,,Right Foot,,,"[60.2, 41.0]",,Ground Pass,,1.2041595,,,Andrea Belotti,7471.0,,,,,Kick Off,1,From Kick Off,Maximiliano Gastón López,8193.0,Left Center Forward,2,Torino,241,['df89499b-dbcd-4536-ac52-3589b91f2c37'],0,,,,,,,,,,,,,,,,,Torino,241,00:00:00.644,Pass,
,,,,,,,,,,,,,,,,,1.374871,,,,,,,,,,,,,,,8fbfae34-983d-40f5-b0c9-e0877133743f,7,,"[59.9, 41.0]",3879801,0,,,,-3.078848,,Right Foot,,,"[40.8, 39.8]",,Ground Pass,,19.13766,,,Giuseppe Vives,40430.0,,,,,,1,From Kick Off,Andrea Belotti,7471.0,Right Center Forward,2,Torino,241,['dcdeaf60-007c-44d8-84ee-c3788e290c06'],1,,,,,,,,,,,,,,,,,Torino,241,00:00:01.298,Pass,
,,,,,,,,,,,,,,,,,0.714369,,,,,,,,,,,,,,,07634b60-5ba9-4574-95e3-5b188ec674f1,11,,"[75.4, 39.1]",3879801,0,,,,1.7454685,,Right Foot,,,"[74.8, 42.5]",,Ground Pass,,3.4525354,,,Rodrigo Sebastián Palacio,7165.0,,,,,Recovery,1,From Kick Off,Mauro Emanuel Icardi Rivero,6987.0,Center Forward,2,Torino,241,"['9ddb775c-65cd-47ac-ba4f-a91dffd18ddf', 'df3daa23-9855-4fe2-92ea-78dedd959626']",3,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:03.935,Pass,True
,,,,,,,,,,,,,,,,,1.39248,,,,,,,,,,,,,,,c9705ce9-e4ae-4985-b2d4-6d819e2b71c2,13,,"[75.4, 43.4]",3879801,0,,,,-0.2914568,,Right Foot,,,"[88.4, 39.5]",,Ground Pass,,13.572398,Incomplete,,Mauro Emanuel Icardi Rivero,6987.0,,,,,,1,From Kick Off,Rodrigo Sebastián Palacio,7165.0,Center Attacking Midfield,2,Torino,241,"['a6748592-9c5c-49af-b5fa-f236e5f5ed42', 'b0f9eed0-230f-4fdf-9999-b29d2a54f321']",4,,,,,,,,,,,,,,,,,Inter Milan,238,00:00:04.649,Pass,
