50_50,ball_receipt_outcome,ball_recovery_recovery_failure,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,injury_stoppage_in_chain,interception_outcome,location,match_id,minute,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_end_location,pass_goal_assist,pass_height,pass_length,pass_miscommunication,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_recipient_id,pass_shot_assist,pass_switch,pass_technique,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_outcome_id,substitution_replacement,substitution_replacement_id,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4928a5bf-904a-4c4a-98e5-6a048500de36,1,,,,3879863,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,,0,,,,,,,,,,,,,,,"{'formation': 4231, 'lineup': [{'player': {'id': 7157, 'name': 'Marco Sportiello'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 57}, {'player': {'id': 386607, 'name': 'Gianpaolo Bellini'}, 'position': {'id': 2, 'name': 'Right Back'}, 'jersey_number': 6}, {'player': {'id': 6992, 'name': 'Andrea Masiello'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 5}, {'player': {'id': 7108, 'name': 'Berat Djimsiti'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 55}, {'player': {'id': 31231, 'name': 'Davide Brivio'}, 'position': {'id': 6, 'name': 'Left Back'}, 'jersey_number': 28}, {'player': {'id': 8420, 'name': 'Luca Cigarini'}, 'position': {'id': 9, 'name': 'Right Defensive Midfield'}, 'jersey_number': 21}, {'player': {'id': 6994, 'name': 'Marten de Roon'}, 'position': {'id': 11, 'name': 'Left Defensive Midfield'}, 'jersey_number': 15}, {'player': {'id': 8184, 'name': ""Marco D''Alessandro""}, 'position': {'id': 17, 'name': 'Right Wing'}, 'jersey_number': 7}, {'player': {'id': 19847, 'name': 'Alessandro Diamanti'}, 'position': {'id': 19, 'name': 'Center Attacking Midfield'}, 'jersey_number': 23}, {'player': {'id': 6941, 'name': 'Jasmin Kurtič'}, 'position': {'id': 21, 'name': 'Left Wing'}, 'jersey_number': 27}, {'player': {'id': 8871, 'name': 'Marco Borriello'}, 'position': {'id': 23, 'name': 'Center Forward'}, 'jersey_number': 22}]}",Atalanta,228,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,617ea382-feea-4eac-a73c-a547617514a6,2,,,,3879863,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,,0,,,,,,,,,,,,,,,"{'formation': 352, 'lineup': [{'player': {'id': 3742, 'name': 'Orestis Karnezis'}, 'position': {'id': 1, 'name': 'Goalkeeper'}, 'jersey_number': 31}, {'player': {'id': 3577, 'name': 'Molla Wagué'}, 'position': {'id': 3, 'name': 'Right Center Back'}, 'jersey_number': 2}, {'player': {'id': 7799, 'name': 'Danilo Larangeira'}, 'position': {'id': 4, 'name': 'Center Back'}, 'jersey_number': 5}, {'player': {'id': 386654, 'name': 'Maurizio Domizzi'}, 'position': {'id': 5, 'name': 'Left Center Back'}, 'jersey_number': 11}, {'player': {'id': 7796, 'name': 'Silvan Widmer'}, 'position': {'id': 7, 'name': 'Right Wing Back'}, 'jersey_number': 27}, {'player': {'id': 8191, 'name': 'Ali Adnan Kadhim Al Tameemi'}, 'position': {'id': 8, 'name': 'Left Wing Back'}, 'jersey_number': 53}, {'player': {'id': 6577, 'name': 'Zdravko Kuzmanović'}, 'position': {'id': 10, 'name': 'Center Defensive Midfield'}, 'jersey_number': 22}, {'player': {'id': 24722, 'name': 'Emmanuel Agyemang-Badu'}, 'position': {'id': 13, 'name': 'Right Center Midfield'}, 'jersey_number': 7}, {'player': {'id': 5512, 'name': 'Emil Hallfreðsson'}, 'position': {'id': 15, 'name': 'Left Center Midfield'}, 'jersey_number': 55}, {'player': {'id': 7017, 'name': 'Duván Esteban Zapata Banguera'}, 'position': {'id': 22, 'name': 'Right Center Forward'}, 'jersey_number': 9}, {'player': {'id': 8272, 'name': 'Cyril Théréau'}, 'position': {'id': 24, 'name': 'Left Center Forward'}, 'jersey_number': 77}]}",Udinese,230,00:00:00.000,Starting XI,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,7117e60a-78bd-4e0a-926d-c4f7afbf9374,3,,,,3879863,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,['4c3b1a62-ff12-4c0c-8a68-57e442eeb74e'],0,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,4c3b1a62-ff12-4c0c-8a68-57e442eeb74e,4,,,,3879863,0,,,,,,,,,,,,,,,,,,,,,,,1,Regular Play,,,,1,Atalanta,228,['7117e60a-78bd-4e0a-926d-c4f7afbf9374'],0,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,863d317a-ae59-40d2-865e-2e7380cae894,1839,,,,3879863,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,Atalanta,228,['e91f0392-b3f7-4212-8f4b-d925e64eab8c'],0,,,,,,,,,,,,,,,,Udinese,230,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,e91f0392-b3f7-4212-8f4b-d925e64eab8c,1840,,,,3879863,45,,,,,,,,,,,,,,,,,,,,,,,2,From Throw In,,,,88,Atalanta,228,['863d317a-ae59-40d2-865e-2e7380cae894'],0,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.000,Half Start,
,,,,,,,,,,,,,,,0.462911,,,,,,,,,,,,,819a652e-ec2e-408b-9c40-253c2be88817,5,,,"[61.0, 40.1]",3879863,0,,,,2.425849,,Right Foot,,,"[58.7, 42.1]",,Ground Pass,3.04795,,,,,Luca Cigarini,8420.0,,,,Kick Off,1,From Kick Off,Marten de Roon,6994.0,Left Defensive Midfield,2,Atalanta,228,['48c2d1ac-974b-49ae-ad53-d67d7d4964ed'],0,,,,,,,,,,,,,,,,Atalanta,228,00:00:00.556,Pass,
,,,,,,,,,,,,,,,1.485047,,,,,,,,,,,,,3f4a5604-9133-4782-92ce-3e09dcd39a1e,8,,,"[57.6, 42.1]",3879863,0,,,,2.9494236,,Right Foot,,,"[35.5, 46.4]",,Ground Pass,22.51444,,,,,Andrea Masiello,6992.0,,,,,1,From Kick Off,Luca Cigarini,8420.0,Right Defensive Midfield,2,Atalanta,228,['86364818-6ea7-48c7-9b6a-4c31e98c8a88'],1,,,,,,,,,,,,,,,,Atalanta,228,00:00:01.424,Pass,
,,,,,,,,,,,,,,,2.24525,,,,,,,,,,,,,8a442c77-0c85-4679-8249-6c76a7efca08,11,,,"[37.3, 46.2]",3879863,0,,,,-0.72297937,,Right Foot,,,"[78.1, 10.2]",,High Pass,54.411762,,,Incomplete,,Jasmin Kurtič,6941.0,,,,,1,From Kick Off,Andrea Masiello,6992.0,Right Center Back,2,Atalanta,228,"['3ef041a3-3b8e-47d2-9e1d-a2d3d7e0cf31', '77690229-6f19-48d7-b712-27c6768792f1']",3,,,,,,,,,,,,,,,,Atalanta,228,00:00:03.925,Pass,
,,,,,,,,,,,,,,,2.842875,,,,,,,,,,,,,77690229-6f19-48d7-b712-27c6768792f1,13,,,"[42.0, 69.9]",3879863,0,,,,-1.2302918,,Head,,,"[52.7, 39.7]",,High Pass,32.039505,,,,,Emil Hallfreðsson,5512.0,,,,Interception,1,From Kick Off,Silvan Widmer,7796.0,Right Wing Back,2,Atalanta,228,"['569e7e43-1151-4a02-8708-3e3b67c7a746', '8a442c77-0c85-4679-8249-6c76a7efca08']",6,,,,,,,,,,,,,,,,Udinese,230,00:00:06.170,Pass,
